year,pgisced97,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,male,No,0.80071,34,34,0.66441,0.93700
2009,No answer / don't know,female,No,0.89517,35,35,0.79221,0.99814
2009,Pre-primary Level,male,No,0.78228,35,35,0.64356,0.92101
2009,Pre-primary Level,female,No,0.89568,52,52,0.81179,0.97958
2009,Lower Secondary Level,male,No,0.92877,91,91,0.87563,0.98191
2009,Lower Secondary Level,female,No,0.91498,112,112,0.86309,0.96686
2009,Upper Secondary Level,male,No,0.95134,497,497,0.93240,0.97027
2009,Upper Secondary Level,female,Yes,0.08040,34,422,0.05442,0.10637
2009,Upper Secondary Level,female,No,0.91960,388,422,0.89363,0.94558
2009,Post-secondary Non-tertiary Level,male,No,0.86293,55,55,0.77119,0.95466
2009,Post-secondary Non-tertiary Level,female,No,0.92077,76,76,0.85964,0.98190
2009,First Stage of Tertiary Education,male,No,0.83973,69,69,0.75254,0.92693
2009,First Stage of Tertiary Education,female,No,0.96801,38,38,0.91130,1.02471
2009,Second Stage of Tertiary Education,male,No,0.92670,304,304,0.89735,0.95604
2009,Second Stage of Tertiary Education,female,No,0.88769,232,232,0.84698,0.92841
2014,No answer / don't know,male,No,0.91283,63,63,0.84261,0.98305
2014,No answer / don't know,female,No,0.92181,58,58,0.85212,0.99151
2014,Pre-primary Level,male,No,0.98766,60,60,0.95950,1.01583
2014,Pre-primary Level,female,No,0.74199,80,80,0.64550,0.83847
2014,Primary Level,male,No,0.86897,35,35,0.75555,0.98239
2014,Primary Level,female,No,0.98763,34,34,0.94991,1.02534
2014,Lower Secondary Level,male,No,0.90908,169,169,0.86561,0.95255
2014,Lower Secondary Level,female,No,0.94122,170,170,0.90575,0.97668
2014,Upper Secondary Level,male,Yes,0.04387,39,651,0.02813,0.05962
2014,Upper Secondary Level,male,No,0.95613,612,651,0.94038,0.97187
2014,Upper Secondary Level,female,Yes,0.06051,46,664,0.04236,0.07866
2014,Upper Secondary Level,female,No,0.93949,618,664,0.92134,0.95764
2014,Post-secondary Non-tertiary Level,male,No,0.93186,101,101,0.88247,0.98125
2014,Post-secondary Non-tertiary Level,female,No,0.95394,132,132,0.91805,0.98984
2014,First Stage of Tertiary Education,male,No,0.92692,82,82,0.87024,0.98360
2014,First Stage of Tertiary Education,female,No,0.94932,40,40,0.88048,1.01816
2014,Second Stage of Tertiary Education,male,Yes,0.06900,33,425,0.04487,0.09312
2014,Second Stage of Tertiary Education,male,No,0.93100,392,425,0.90688,0.95513
2014,Second Stage of Tertiary Education,female,No,0.88952,406,406,0.85899,0.92005
2019,No answer / don't know,male,No,0.93714,53,53,0.87118,1.00311
2019,No answer / don't know,female,No,0.83970,52,52,0.73900,0.94039
2019,Pre-primary Level,male,No,0.90150,48,48,0.81631,0.98670
2019,Pre-primary Level,female,No,0.84747,56,56,0.75245,0.94249
2019,Primary Level,male,No,0.98982,32,32,0.95448,1.02516
2019,Lower Secondary Level,male,No,0.97621,162,162,0.95268,0.99975
2019,Lower Secondary Level,female,No,0.94401,152,152,0.90733,0.98068
2019,Upper Secondary Level,male,Yes,0.05732,39,677,0.03979,0.07484
2019,Upper Secondary Level,male,No,0.94268,638,677,0.92516,0.96021
2019,Upper Secondary Level,female,Yes,0.06666,40,616,0.04695,0.08637
2019,Upper Secondary Level,female,No,0.93334,576,616,0.91363,0.95305
2019,Post-secondary Non-tertiary Level,male,No,0.93089,128,128,0.88678,0.97501
2019,Post-secondary Non-tertiary Level,female,No,0.86287,179,179,0.81234,0.91341
2019,First Stage of Tertiary Education,male,No,0.87910,93,93,0.81248,0.94572
2019,First Stage of Tertiary Education,female,No,0.92796,36,36,0.84230,1.01362
2019,Second Stage of Tertiary Education,male,Yes,0.06430,35,553,0.04384,0.08477
2019,Second Stage of Tertiary Education,male,No,0.93570,518,553,0.91523,0.95616
2019,Second Stage of Tertiary Education,female,No,0.94647,462,462,0.92592,0.96702
