,Unnamed: 0,year,pgisced97,quintil_oecd,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Lower Secondary Level,1st Quintile,No,1.0,72,1724,0.8239,1.16312
1,1,2009,Lower Secondary Level,2nd Quintile,No,1.0,46,1724,0.78331,1.20621
2,2,2009,Lower Secondary Level,3rd Quintile,No,1.0,46,1724,0.75726,1.27692
3,3,2009,Upper Secondary Level,1st Quintile,No,1.0,180,1724,0.88074,1.13173
4,4,2009,Upper Secondary Level,2nd Quintile,No,1.0,162,1724,0.86162,1.13546
5,5,2009,Upper Secondary Level,3rd Quintile,No,1.0,164,1724,0.8588,1.13079
6,6,2009,Upper Secondary Level,4th Quintile,No,1.0,188,1724,0.8571,1.13121
7,7,2009,Upper Secondary Level,5th Quintile,No,1.0,191,1724,0.85744,1.14891
8,8,2009,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,32,1724,0.68324,1.31331
9,9,2009,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,38,1724,0.66703,1.31453
10,10,2009,First Stage of Tertiary Education,5th Quintile,No,1.0,37,1724,0.7845,1.27585
11,11,2009,Second Stage of Tertiary Education,1st Quintile,No,1.0,46,1724,0.82579,1.21888
12,12,2009,Second Stage of Tertiary Education,2nd Quintile,No,1.0,44,1724,0.74226,1.2732
13,13,2009,Second Stage of Tertiary Education,3rd Quintile,No,1.0,53,1724,0.73827,1.31879
14,14,2009,Second Stage of Tertiary Education,4th Quintile,No,1.0,98,1724,0.80447,1.24443
15,15,2009,Second Stage of Tertiary Education,5th Quintile,Yes,0.09669,32,1724,0.05842,0.14043
16,16,2009,Second Stage of Tertiary Education,5th Quintile,No,0.90331,295,1724,0.77248,1.0323
17,17,2014,Pre-primary Level,1st Quintile,No,1.0,49,2717,0.7738,1.25175
18,18,2014,Primary Level,1st Quintile,No,1.0,46,2717,0.7671,1.23824
19,19,2014,Lower Secondary Level,1st Quintile,No,1.0,137,2717,0.81602,1.2123
20,20,2014,Lower Secondary Level,2nd Quintile,No,1.0,75,2717,0.79744,1.20082
21,21,2014,Lower Secondary Level,3rd Quintile,No,1.0,59,2717,0.72162,1.33029
22,22,2014,Lower Secondary Level,4th Quintile,No,1.0,49,2717,0.75056,1.32418
23,23,2014,Upper Secondary Level,1st Quintile,No,1.0,312,2717,0.88658,1.16306
24,24,2014,Upper Secondary Level,2nd Quintile,No,1.0,258,2717,0.84337,1.17263
25,25,2014,Upper Secondary Level,3rd Quintile,No,1.0,258,2717,0.8813,1.12216
26,26,2014,Upper Secondary Level,4th Quintile,No,1.0,215,2717,0.8739,1.12166
27,27,2014,Upper Secondary Level,5th Quintile,No,1.0,187,2717,0.85984,1.1517
28,28,2014,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,58,2717,0.73528,1.497
29,29,2014,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,50,2717,0.69118,1.50104
30,30,2014,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,46,2717,0.61386,1.38591
31,31,2014,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,46,2717,0.66854,1.38911
32,32,2014,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,33,2717,0.62769,1.44439
33,33,2014,First Stage of Tertiary Education,4th Quintile,No,1.0,41,2717,0.65549,1.4911
34,34,2014,Second Stage of Tertiary Education,1st Quintile,No,1.0,106,2717,0.80563,1.24054
35,35,2014,Second Stage of Tertiary Education,2nd Quintile,No,1.0,74,2717,0.75962,1.2781
36,36,2014,Second Stage of Tertiary Education,3rd Quintile,No,1.0,124,2717,0.80629,1.20054
37,37,2014,Second Stage of Tertiary Education,4th Quintile,No,1.0,174,2717,0.80741,1.21173
38,38,2014,Second Stage of Tertiary Education,5th Quintile,No,1.0,320,2717,0.89473,1.12513
39,39,2019,Lower Secondary Level,1st Quintile,No,1.0,126,2301,0.78346,1.29284
40,40,2019,Lower Secondary Level,2nd Quintile,No,1.0,78,2301,0.66802,1.36812
41,41,2019,Lower Secondary Level,3rd Quintile,No,1.0,45,2301,0.72367,1.33265
42,42,2019,Upper Secondary Level,1st Quintile,No,1.0,257,2301,0.87682,1.15003
43,43,2019,Upper Secondary Level,2nd Quintile,No,1.0,221,2301,0.83393,1.21799
44,44,2019,Upper Secondary Level,3rd Quintile,No,1.0,222,2301,0.82909,1.15545
45,45,2019,Upper Secondary Level,4th Quintile,No,1.0,188,2301,0.84751,1.14998
46,46,2019,Upper Secondary Level,5th Quintile,No,1.0,160,2301,0.82115,1.2064
47,47,2019,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,46,2301,0.62331,1.42638
48,48,2019,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,70,2301,0.74418,1.28423
49,49,2019,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,54,2301,0.67387,1.29619
50,50,2019,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,41,2301,0.74617,1.29206
51,51,2019,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,41,2301,0.68328,1.39158
52,52,2019,Second Stage of Tertiary Education,1st Quintile,No,1.0,90,2301,0.81413,1.24644
53,53,2019,Second Stage of Tertiary Education,2nd Quintile,No,1.0,71,2301,0.69162,1.55188
54,54,2019,Second Stage of Tertiary Education,3rd Quintile,No,1.0,130,2301,0.81482,1.13488
55,55,2019,Second Stage of Tertiary Education,4th Quintile,No,1.0,168,2301,0.83947,1.18601
56,56,2019,Second Stage of Tertiary Education,5th Quintile,No,1.0,293,2301,0.85992,1.13797
