year,quintil_oecd,regtyp,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Urban regions,Yes,0.11425,31,313,0.07895,0.14955
2009,1st Quintile,Urban regions,No,0.88575,282,313,0.85045,0.92105
2009,1st Quintile,Rural regions,No,0.89584,84,84,0.83013,0.96156
2009,2nd Quintile,Urban regions,No,0.95435,249,249,0.92837,0.98033
2009,2nd Quintile,Rural regions,No,0.87158,73,73,0.79430,0.94886
2009,3rd Quintile,Urban regions,No,0.92074,227,227,0.88552,0.95596
2009,3rd Quintile,Rural regions,No,0.88492,105,105,0.82359,0.94625
2009,4th Quintile,Urban regions,No,0.96039,286,286,0.93775,0.98304
2009,4th Quintile,Rural regions,No,0.93105,127,127,0.88680,0.97529
2009,5th Quintile,Urban regions,Yes,0.08396,43,526,0.06024,0.10769
2009,5th Quintile,Urban regions,No,0.91604,483,526,0.89231,0.93976
2009,5th Quintile,Rural regions,No,0.90090,133,133,0.84993,0.95187
2014,1st Quintile,Urban regions,Yes,0.08594,50,576,0.06303,0.10885
2014,1st Quintile,Urban regions,No,0.91406,526,576,0.89115,0.93697
2014,1st Quintile,Rural regions,No,0.87519,232,232,0.83257,0.91781
2014,2nd Quintile,Urban regions,No,0.94925,390,390,0.92744,0.97106
2014,2nd Quintile,Rural regions,No,0.93499,156,156,0.89618,0.97381
2014,3rd Quintile,Urban regions,No,0.93596,376,376,0.91118,0.96074
2014,3rd Quintile,Rural regions,No,0.95314,182,182,0.92235,0.98393
2014,4th Quintile,Urban regions,Yes,0.05836,33,426,0.03608,0.08065
2014,4th Quintile,Urban regions,No,0.94164,393,426,0.91935,0.96392
2014,4th Quintile,Rural regions,No,0.94560,165,165,0.91089,0.98031
2014,5th Quintile,Urban regions,Yes,0.08435,45,545,0.06100,0.10770
2014,5th Quintile,Urban regions,No,0.91565,500,545,0.89230,0.93900
2014,5th Quintile,Rural regions,No,0.94864,131,131,0.91069,0.98658
2019,1st Quintile,Urban regions,Yes,0.08750,47,490,0.06246,0.11255
2019,1st Quintile,Urban regions,No,0.91250,443,490,0.88745,0.93754
2019,1st Quintile,Rural regions,No,0.96361,175,175,0.93578,0.99143
2019,2nd Quintile,Urban regions,No,0.96171,387,387,0.94257,0.98086
2019,2nd Quintile,Rural regions,No,0.88948,144,144,0.83809,0.94087
2019,3rd Quintile,Urban regions,No,0.94504,343,343,0.92088,0.96919
2019,3rd Quintile,Rural regions,No,0.86255,142,142,0.80572,0.91939
2019,4th Quintile,Urban regions,No,0.93913,351,351,0.91408,0.96418
2019,4th Quintile,Rural regions,No,0.91593,126,126,0.86728,0.96457
2019,5th Quintile,Urban regions,No,0.94933,462,462,0.92931,0.96935
2019,5th Quintile,Rural regions,No,0.85118,122,122,0.78776,0.91460
