year,regtyp,sampreg,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,Yes,0.07166,104,1476,0.05849,0.08482
2009,Urban regions,West,No,0.92834,1372,1476,0.91518,0.94151
2009,Urban regions,East,No,0.88264,155,155,0.83181,0.93348
2009,Rural regions,West,No,0.90102,337,337,0.86909,0.93295
2009,Rural regions,East,No,0.89308,186,186,0.84855,0.93761
2014,Urban regions,West,Yes,0.07361,168,2163,0.06260,0.08462
2014,Urban regions,West,No,0.92639,1995,2163,0.91538,0.93740
2014,Urban regions,East,No,0.95156,190,190,0.92095,0.98217
2014,Rural regions,West,Yes,0.06797,41,687,0.04913,0.08680
2014,Rural regions,West,No,0.93203,646,687,0.91320,0.95087
2014,Rural regions,East,No,0.92364,221,221,0.88855,0.95873
2019,No answer / don't know,West,No,0.93195,100,100,0.88235,0.98156
2019,Urban regions,West,Yes,0.06037,150,2207,0.05043,0.07031
2019,Urban regions,West,No,0.93963,2057,2207,0.92969,0.94957
2019,Urban regions,East,No,0.96063,215,215,0.93457,0.98668
2019,Rural regions,West,Yes,0.11735,45,587,0.09129,0.14340
2019,Rural regions,West,No,0.88265,542,587,0.85660,0.90871
2019,Rural regions,East,No,0.94778,267,267,0.92104,0.97451
