year,sampreg,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,male,Yes,0.07157,61,957,0.05523,0.08792
2009,West,male,No,0.92843,896,957,0.91208,0.94477
2009,West,female,Yes,0.08361,67,880,0.06531,0.10190
2009,West,female,No,0.91639,813,880,0.89810,0.93469
2009,East,male,No,0.90056,202,202,0.85919,0.94193
2009,East,female,No,0.87049,139,139,0.81447,0.92651
2014,West,male,Yes,0.06045,93,1403,0.04797,0.07292
2014,West,male,No,0.93955,1310,1403,0.92708,0.95203
2014,West,female,Yes,0.08600,116,1447,0.07155,0.10045
2014,West,female,No,0.91400,1331,1447,0.89955,0.92845
2014,East,male,No,0.93186,204,204,0.89720,0.96653
2014,East,female,No,0.94607,207,207,0.91522,0.97691
2019,West,male,Yes,0.06030,94,1490,0.04820,0.07239
2019,West,male,No,0.93970,1396,1490,0.92761,0.95180
2019,West,female,Yes,0.08390,109,1412,0.06944,0.09837
2019,West,female,No,0.91610,1303,1412,0.90163,0.93056
2019,East,male,No,0.94438,266,266,0.91678,0.97197
2019,East,female,No,0.96528,230,230,0.94157,0.98899
