year,sampreg,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.07715,128,1837,0.06495,0.08936
2009,West,No,0.92285,1709,1837,0.91064,0.93505
2009,East,Yes,0.11169,38,379,0.07993,0.14344
2009,East,No,0.88831,341,379,0.85656,0.92007
2014,West,Yes,0.07237,209,2850,0.06286,0.08188
2014,West,No,0.92763,2641,2850,0.91812,0.93714
2014,East,No,0.93794,411,411,0.91458,0.96129
2019,West,Yes,0.07133,203,2902,0.06196,0.08069
2019,West,No,0.92867,2699,2902,0.91931,0.93804
2019,East,No,0.95425,497,497,0.93586,0.97264
