year,migback,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.08009,128,1704,0.06720,0.09298
2009,No migration background,No,0.91991,1576,1704,0.90702,0.93280
2009,Direct migration background,No,0.91126,304,304,0.87923,0.94328
2009,Indirect migration background,No,0.91890,170,170,0.87774,0.96006
2014,No migration background,Yes,0.06656,152,2096,0.05589,0.07724
2014,No migration background,No,0.93344,1944,2096,0.92276,0.94411
2014,Direct migration background,Yes,0.07393,52,801,0.05580,0.09206
2014,Direct migration background,No,0.92607,749,801,0.90794,0.94420
2014,Indirect migration background,Yes,0.09452,32,391,0.06549,0.12356
2014,Indirect migration background,No,0.90548,359,391,0.87644,0.93451
2019,No migration background,Yes,0.07009,148,2367,0.05980,0.08038
2019,No migration background,No,0.92991,2219,2367,0.91962,0.94020
2019,Direct migration background,Yes,0.05734,41,698,0.04008,0.07460
2019,Direct migration background,No,0.94266,657,698,0.92540,0.95992
2019,Indirect migration background,Yes,0.08256,38,379,0.05482,0.11031
2019,Indirect migration background,No,0.91744,341,379,0.88969,0.94518
