year,bula_h,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Lower Saxony,male,No,0.93805,104,104,0.89150,0.98461
2009,Lower Saxony,female,No,0.98987,81,81,0.96792,1.01181
2009,North Rhine-Westphalia,male,No,0.94256,201,201,0.91031,0.97481
2009,North Rhine-Westphalia,female,No,0.95838,204,204,0.93091,0.98586
2009,Hesse,male,No,0.92643,102,102,0.87551,0.97735
2009,Hesse,female,No,0.88765,77,77,0.81665,0.95865
2009,"Rhineland-Palatinate, Saarland",male,No,0.89183,55,55,0.80898,0.97467
2009,"Rhineland-Palatinate, Saarland",female,No,0.96599,57,57,0.91852,1.01346
2009,Baden-Wuerttemberg,male,No,0.92494,158,158,0.88373,0.96616
2009,Baden-Wuerttemberg,female,No,0.87854,133,133,0.82281,0.93427
2009,Bavaria,male,No,0.93419,181,181,0.89797,0.97042
2009,Bavaria,female,No,0.89046,175,175,0.84406,0.93687
2009,Berlin,male,No,0.92809,58,58,0.86103,0.99516
2009,Berlin,female,No,0.86329,66,66,0.77978,0.94681
2009,Brandenburg,male,No,0.87252,34,34,0.75873,0.98631
2009,Saxony,male,No,0.87700,70,70,0.79950,0.95450
2009,Saxony,female,No,0.97676,40,40,0.92948,1.02405
2014,Schleswig-Holstein,male,No,0.95472,64,64,0.90339,1.00606
2014,Schleswig-Holstein,female,No,0.88987,59,59,0.80930,0.97044
2014,Lower Saxony,male,No,0.97325,144,144,0.94681,0.99970
2014,Lower Saxony,female,No,0.96489,175,175,0.93754,0.99224
2014,North Rhine-Westphalia,male,No,0.93504,323,323,0.90812,0.96196
2014,North Rhine-Westphalia,female,No,0.90696,299,299,0.87397,0.93994
2014,Hesse,male,No,0.94011,138,138,0.90038,0.97984
2014,Hesse,female,No,0.85740,125,125,0.79586,0.91895
2014,"Rhineland-Palatinate, Saarland",male,No,0.96576,75,75,0.92433,1.00719
2014,"Rhineland-Palatinate, Saarland",female,No,0.87804,79,79,0.80541,0.95066
2014,Baden-Wuerttemberg,male,No,0.92609,211,211,0.89070,0.96147
2014,Baden-Wuerttemberg,female,No,0.93725,221,221,0.90520,0.96930
2014,Bavaria,male,No,0.93304,270,270,0.90317,0.96291
2014,Bavaria,female,No,0.92110,275,275,0.88918,0.95302
2014,Berlin,male,No,0.94050,75,75,0.88660,0.99440
2014,Berlin,female,No,0.93138,86,86,0.87764,0.98513
2014,Brandenburg,female,No,0.99749,39,39,0.98156,1.01341
2014,Saxony,male,No,0.95990,60,60,0.90983,1.00996
2014,Saxony,female,No,0.92360,42,42,0.84229,1.00491
2014,Saxony-Anhalt,male,No,0.87643,31,31,0.75866,0.99419
2014,Saxony-Anhalt,female,No,0.91431,40,40,0.82647,1.00216
2014,Thuringa,male,No,0.99888,39,39,0.98826,1.00951
2014,Thuringa,female,No,0.97952,40,40,0.93506,1.02397
2019,Schleswig-Holstein,male,No,0.90026,72,72,0.83056,0.96996
2019,Schleswig-Holstein,female,No,0.99734,65,65,0.98472,1.00996
2019,Lower Saxony,male,No,0.92919,130,130,0.88492,0.97345
2019,Lower Saxony,female,No,0.91568,130,130,0.86773,0.96363
2019,North Rhine-Westphalia,male,No,0.94565,363,363,0.92229,0.96900
2019,North Rhine-Westphalia,female,No,0.95618,376,376,0.93547,0.97690
2019,Hesse,male,No,0.93869,152,152,0.90043,0.97696
2019,Hesse,female,No,0.92563,115,115,0.87747,0.97379
2019,"Rhineland-Palatinate, Saarland",male,No,0.98133,75,75,0.95049,1.01217
2019,"Rhineland-Palatinate, Saarland",female,No,0.92439,85,85,0.86785,0.98092
2019,Baden-Wuerttemberg,male,No,0.97559,204,204,0.95436,0.99682
2019,Baden-Wuerttemberg,female,No,0.90536,203,203,0.86500,0.94573
2019,Bavaria,male,No,0.91574,285,285,0.88343,0.94804
2019,Bavaria,female,No,0.86510,228,228,0.82066,0.90954
2019,Berlin,male,No,0.94163,116,116,0.89878,0.98448
2019,Berlin,female,No,0.91987,88,88,0.86282,0.97692
2019,Brandenburg,male,No,0.74806,39,39,0.61002,0.88609
2019,Brandenburg,female,No,0.94779,39,39,0.87706,1.01852
2019,Mecklenburg-Western Pomerania,male,No,0.99519,31,31,0.97043,1.01995
2019,Saxony,male,No,0.96513,76,76,0.92361,1.00665
2019,Saxony,female,No,0.93077,66,66,0.86906,0.99248
2019,Saxony-Anhalt,male,No,0.96275,48,48,0.90860,1.01689
2019,Saxony-Anhalt,female,No,0.99462,37,37,0.97071,1.01852
2019,Thuringa,female,No,0.99359,46,46,0.97027,1.01691
