year,pgisced97,sampreg,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,West,No,0.89334,56,56,0.81176,0.97492
2009,Pre-primary Level,West,No,0.89626,74,74,0.82631,0.96621
2009,Primary Level,West,No,0.89678,31,31,0.78791,1.00566
2009,Lower Secondary Level,West,No,0.92806,188,188,0.89103,0.96510
2009,Upper Secondary Level,West,Yes,0.05732,47,777,0.04097,0.07368
2009,Upper Secondary Level,West,No,0.94268,730,777,0.92632,0.95903
2009,Upper Secondary Level,East,No,0.91372,155,155,0.86937,0.95807
2009,Post-secondary Non-tertiary Level,West,No,0.90629,111,111,0.85183,0.96075
2009,First Stage of Tertiary Education,West,No,0.89065,83,83,0.82311,0.95820
2009,Second Stage of Tertiary Education,West,Yes,0.09617,35,471,0.06952,0.12283
2009,Second Stage of Tertiary Education,West,No,0.90383,436,471,0.87717,0.93048
2009,Second Stage of Tertiary Education,East,No,0.94991,100,100,0.90694,0.99288
2014,No answer / don't know,West,No,0.90920,109,109,0.85500,0.96339
2014,Pre-primary Level,West,No,0.84150,121,121,0.77615,0.90684
2014,Primary Level,West,No,0.91470,63,63,0.84518,0.98423
2014,Lower Secondary Level,West,No,0.95128,307,307,0.92716,0.97540
2014,Lower Secondary Level,East,No,0.64209,32,32,0.47334,0.81085
2014,Upper Secondary Level,West,Yes,0.05700,79,1139,0.04353,0.07047
2014,Upper Secondary Level,West,No,0.94300,1060,1139,0.92953,0.95647
2014,Upper Secondary Level,East,No,0.98395,170,170,0.96501,1.00290
2014,Post-secondary Non-tertiary Level,West,No,0.94839,201,201,0.91773,0.97905
2014,Post-secondary Non-tertiary Level,East,No,0.89286,32,32,0.78397,1.00174
2014,First Stage of Tertiary Education,West,No,0.92123,101,101,0.86843,0.97403
2014,Second Stage of Tertiary Education,West,Yes,0.09546,56,735,0.07420,0.11671
2014,Second Stage of Tertiary Education,West,No,0.90454,679,735,0.88329,0.92580
2014,Second Stage of Tertiary Education,East,No,0.95655,119,119,0.91976,0.99333
2019,No answer / don't know,West,No,0.86694,88,88,0.79557,0.93831
2019,Pre-primary Level,West,No,0.85708,87,87,0.78311,0.93106
2019,Primary Level,West,No,0.96978,58,58,0.92534,1.01422
2019,Lower Secondary Level,West,No,0.96037,271,271,0.93710,0.98364
2019,Lower Secondary Level,East,No,0.99225,42,42,0.96542,1.01909
2019,Upper Secondary Level,West,Yes,0.06736,73,1079,0.05239,0.08232
2019,Upper Secondary Level,West,No,0.93264,1006,1079,0.91768,0.94761
2019,Upper Secondary Level,East,No,0.97786,201,201,0.95747,0.99825
2019,Post-secondary Non-tertiary Level,West,No,0.90241,270,270,0.86695,0.93787
2019,Post-secondary Non-tertiary Level,East,No,0.75862,36,36,0.61684,0.90039
2019,First Stage of Tertiary Education,West,No,0.87402,100,100,0.80865,0.93938
2019,Second Stage of Tertiary Education,West,Yes,0.06009,52,871,0.04430,0.07589
2019,Second Stage of Tertiary Education,West,No,0.93991,819,871,0.92411,0.95570
2019,Second Stage of Tertiary Education,East,No,0.95380,153,153,0.92043,0.98717
