year,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.07567,78,1176,0.06055,0.09080
2009,male,No,0.92433,1098,1176,0.90920,0.93945
2009,female,Yes,0.08914,88,1040,0.07182,0.10647
2009,female,No,0.91086,952,1040,0.89353,0.92818
2014,male,Yes,0.06148,103,1617,0.04976,0.07319
2014,male,No,0.93852,1514,1617,0.92681,0.95024
2014,female,Yes,0.08226,133,1671,0.06908,0.09544
2014,female,No,0.91774,1538,1671,0.90456,0.93092
2019,male,Yes,0.05996,104,1776,0.04891,0.07100
2019,male,No,0.94004,1672,1776,0.92900,0.95109
2019,female,Yes,0.07844,123,1665,0.06552,0.09136
2019,female,No,0.92156,1542,1665,0.90864,0.93448
