year,regtyp,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.07540,119,1646,0.06264,0.08816
2009,Urban regions,No,0.92460,1527,1646,0.91184,0.93736
2009,Rural regions,Yes,0.10133,47,570,0.07654,0.12613
2009,Rural regions,No,0.89867,523,570,0.87387,0.92346
2014,Urban regions,Yes,0.07144,180,2365,0.06105,0.08182
2014,Urban regions,No,0.92856,2185,2365,0.91818,0.93895
2014,Rural regions,Yes,0.07000,56,923,0.05353,0.08647
2014,Rural regions,No,0.93000,867,923,0.91353,0.94647
2019,No answer / don't know,No,0.93427,136,136,0.89247,0.97607
2019,Urban regions,Yes,0.05890,161,2433,0.04954,0.06826
2019,Urban regions,No,0.94110,2272,2433,0.93174,0.95046
2019,Rural regions,Yes,0.10133,55,864,0.08119,0.12146
2019,Rural regions,No,0.89867,809,864,0.87854,0.91881
