year,migback,regtyp,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Urban regions,Yes,0.00758,85,1195,0.00266,0.01251
2009,No migration background,Urban regions,No,0.10291,1110,1195,0.08567,0.12014
2009,No migration background,Rural regions,Yes,0.00902,43,509,0.00080,0.01724
2009,No migration background,Rural regions,No,0.07424,466,509,0.05144,0.09704
2009,Direct migration background,Urban regions,No,0.20966,271,271,0.16110,0.25821
2009,Direct migration background,Rural regions,No,0.10167,33,33,-0.00304,0.20638
2009,Indirect migration background,Urban regions,No,0.13221,146,146,0.07708,0.18734
2014,No migration background,Urban regions,Yes,0.00629,108,1402,0.00215,0.01042
2014,No migration background,Urban regions,No,0.09010,1294,1402,0.07511,0.10510
2014,No migration background,Rural regions,Yes,0.00525,44,694,-0.00013,0.01063
2014,No migration background,Rural regions,No,0.07003,650,694,0.05103,0.08904
2014,Direct migration background,Urban regions,Yes,0.01472,45,635,0.00535,0.02410
2014,Direct migration background,Urban regions,No,0.17414,590,635,0.14462,0.20366
2014,Direct migration background,Rural regions,No,0.11542,159,159,0.06560,0.16524
2014,Indirect migration background,Urban regions,No,0.12003,301,301,0.08325,0.15681
2014,Indirect migration background,Rural regions,No,0.10567,58,58,0.02586,0.18548
2019,No migration background,Urban regions,Yes,0.00626,98,1582,0.00237,0.01014
2019,No migration background,Urban regions,No,0.09921,1484,1582,0.08448,0.11395
2019,No migration background,Rural regions,Yes,0.00712,43,671,0.00075,0.01348
2019,No migration background,Rural regions,No,0.05996,628,671,0.04199,0.07794
2019,Direct migration background,Urban regions,Yes,0.00753,33,547,0.00028,0.01478
2019,Direct migration background,Urban regions,No,0.15839,514,547,0.12777,0.18902
2019,Direct migration background,Rural regions,No,0.13729,129,129,0.07767,0.19692
2019,Indirect migration background,Urban regions,No,0.10004,274,274,0.06444,0.13563
2019,Indirect migration background,Rural regions,No,0.08597,52,52,0.00904,0.16291
