year,pgisced97,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,No,0.85258,69,69,0.76831,0.93684
2009,Pre-primary Level,No,0.85417,87,87,0.77957,0.92876
2009,Primary Level,No,0.89813,32,32,0.79165,1.00461
2009,Lower Secondary Level,No,0.92140,203,203,0.88429,0.95851
2009,Upper Secondary Level,Yes,0.06171,63,948,0.04638,0.07704
2009,Upper Secondary Level,No,0.93829,885,948,0.92296,0.95362
2009,Post-secondary Non-tertiary Level,No,0.89654,131,131,0.84418,0.94889
2009,First Stage of Tertiary Education,No,0.88980,107,107,0.83018,0.94941
2009,Second Stage of Tertiary Education,Yes,0.09036,42,578,0.06696,0.11375
2009,Second Stage of Tertiary Education,No,0.90964,536,578,0.88625,0.93304
2014,No answer / don't know,No,0.91711,121,121,0.86778,0.96644
2014,Pre-primary Level,No,0.84008,140,140,0.77915,0.90102
2014,Primary Level,No,0.92106,69,69,0.85697,0.98515
2014,Lower Secondary Level,No,0.92360,339,339,0.89528,0.95192
2014,Upper Secondary Level,Yes,0.05156,85,1315,0.03961,0.06352
2014,Upper Secondary Level,No,0.94844,1230,1315,0.93648,0.96039
2014,Post-secondary Non-tertiary Level,No,0.94175,233,233,0.91161,0.97189
2014,First Stage of Tertiary Education,No,0.93333,122,122,0.88888,0.97778
2014,Second Stage of Tertiary Education,Yes,0.08889,63,861,0.06987,0.10791
2014,Second Stage of Tertiary Education,No,0.91111,798,861,0.89209,0.93013
2019,No answer / don't know,No,0.88806,105,105,0.82747,0.94866
2019,Pre-primary Level,No,0.86264,104,104,0.79616,0.92912
2019,Primary Level,No,0.96867,61,61,0.92459,1.01275
2019,Lower Secondary Level,No,0.96238,315,315,0.94134,0.98343
2019,Upper Secondary Level,Yes,0.06134,79,1295,0.04827,0.07442
2019,Upper Secondary Level,No,0.93866,1216,1295,0.92558,0.95173
2019,Post-secondary Non-tertiary Level,No,0.89103,307,307,0.85611,0.92594
2019,First Stage of Tertiary Education,No,0.88962,129,129,0.83533,0.94391
2019,Second Stage of Tertiary Education,Yes,0.05917,61,1041,0.04483,0.07351
2019,Second Stage of Tertiary Education,No,0.94083,980,1041,0.92649,0.95517
