year,age_gr,sampreg,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,West,Yes,0.10441,62,620,0.08032,0.12850
2009,17-29 y.,West,No,0.89559,558,620,0.87150,0.91968
2009,17-29 y.,East,No,0.78861,123,123,0.71616,0.86107
2009,30-45 y.,West,No,0.94379,570,570,0.92487,0.96272
2009,30-45 y.,East,No,0.92940,120,120,0.88338,0.97543
2009,46-65 y.,West,No,0.93010,489,489,0.90748,0.95272
2009,46-65 y.,East,No,0.98584,89,89,0.96116,1.01053
2009,66 and older,West,No,0.91054,92,92,0.85190,0.96918
2014,17-29 y.,West,Yes,0.11586,125,948,0.09547,0.13624
2014,17-29 y.,West,No,0.88414,823,948,0.86376,0.90453
2014,17-29 y.,East,No,0.89952,127,127,0.84703,0.95202
2014,30-45 y.,West,Yes,0.06013,48,981,0.04524,0.07501
2014,30-45 y.,West,No,0.93987,933,981,0.92499,0.95476
2014,30-45 y.,East,No,0.96563,174,174,0.93848,0.99278
2014,46-65 y.,West,No,0.96952,756,756,0.95726,0.98178
2014,46-65 y.,East,No,0.96679,101,101,0.93167,1.00191
2014,66 and older,West,No,0.89921,129,129,0.84706,0.95137
2019,17-29 y.,West,Yes,0.11096,114,939,0.09086,0.13106
2019,17-29 y.,West,No,0.88904,825,939,0.86894,0.90914
2019,17-29 y.,East,No,0.95654,147,147,0.92347,0.98962
2019,30-45 y.,West,Yes,0.05981,43,836,0.04373,0.07589
2019,30-45 y.,West,No,0.94019,793,836,0.92411,0.95627
2019,30-45 y.,East,No,0.92449,164,164,0.88393,0.96505
2019,46-65 y.,West,Yes,0.04084,36,960,0.02831,0.05336
2019,46-65 y.,West,No,0.95916,924,960,0.94664,0.97169
2019,46-65 y.,East,No,0.98841,159,159,0.97173,1.00510
2019,66 and older,West,No,0.94038,157,157,0.90322,0.97754
