year,migback,sampreg,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,West,Yes,0.07198,90,1336,0.05811,0.08584
2009,No migration background,West,No,0.92802,1246,1336,0.91416,0.94189
2009,No migration background,East,Yes,0.11656,38,368,0.08373,0.14940
2009,No migration background,East,No,0.88344,330,368,0.85060,0.91627
2009,Direct migration background,West,No,0.90983,298,298,0.87725,0.94240
2009,Indirect migration background,West,No,0.91670,165,165,0.87441,0.95899
2014,No migration background,West,Yes,0.06651,127,1730,0.05476,0.07825
2014,No migration background,West,No,0.93349,1603,1730,0.92175,0.94524
2014,No migration background,East,No,0.93317,341,341,0.90663,0.95972
2014,Direct migration background,West,Yes,0.07618,50,745,0.05712,0.09524
2014,Direct migration background,West,No,0.92382,695,745,0.90476,0.94288
2014,Direct migration background,East,No,0.98101,54,54,0.94426,1.01776
2014,Indirect migration background,West,Yes,0.09731,32,375,0.06727,0.12735
2014,Indirect migration background,West,No,0.90269,343,375,0.87265,0.93273
2019,No migration background,West,Yes,0.07375,129,1905,0.06201,0.08549
2019,No migration background,West,No,0.92625,1776,1905,0.91451,0.93799
2019,No migration background,East,No,0.95188,426,426,0.93153,0.97222
2019,Direct migration background,West,Yes,0.05965,40,646,0.04137,0.07793
2019,Direct migration background,West,No,0.94035,606,646,0.92207,0.95863
2019,Direct migration background,East,No,0.99608,49,49,0.97839,1.01376
2019,Indirect migration background,West,Yes,0.08226,34,351,0.05348,0.11105
2019,Indirect migration background,West,No,0.91774,317,351,0.88895,0.94652
