year,age_gr,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,Yes,0.12167,35,363,0.08799,0.15535
2009,17-29 y.,male,No,0.87833,328,363,0.84465,0.91201
2009,17-29 y.,female,Yes,0.12085,50,403,0.08899,0.15272
2009,17-29 y.,female,No,0.87915,353,403,0.84728,0.91101
2009,30-45 y.,male,No,0.94031,384,384,0.91659,0.96404
2009,30-45 y.,female,No,0.94350,306,306,0.91759,0.96941
2009,46-65 y.,male,No,0.94482,326,326,0.92000,0.96965
2009,46-65 y.,female,No,0.92339,252,252,0.89048,0.95629
2009,66 and older,male,No,0.96090,60,60,0.91143,1.01036
2009,66 and older,female,No,0.85456,41,41,0.74530,0.96381
2014,17-29 y.,male,Yes,0.08565,51,500,0.06110,0.11021
2014,17-29 y.,male,No,0.91435,449,500,0.88979,0.93890
2014,17-29 y.,female,Yes,0.14336,88,589,0.11504,0.17169
2014,17-29 y.,female,No,0.85664,501,589,0.82831,0.88496
2014,30-45 y.,male,No,0.94534,547,547,0.92627,0.96441
2014,30-45 y.,female,No,0.94207,560,560,0.92270,0.96143
2014,46-65 y.,male,No,0.96592,431,431,0.94877,0.98307
2014,46-65 y.,female,No,0.97311,426,426,0.95773,0.98849
2014,66 and older,male,No,0.90622,87,87,0.84461,0.96784
2014,66 and older,female,No,0.87789,51,51,0.78713,0.96864
2019,17-29 y.,male,Yes,0.09999,53,531,0.07445,0.12553
2019,17-29 y.,male,No,0.90001,478,531,0.87447,0.92555
2019,17-29 y.,female,Yes,0.10743,74,571,0.08201,0.13285
2019,17-29 y.,female,No,0.89257,497,571,0.86715,0.91799
2019,30-45 y.,male,No,0.94334,465,465,0.92230,0.96437
2019,30-45 y.,female,No,0.93264,499,499,0.91062,0.95465
2019,46-65 y.,male,No,0.97271,622,622,0.95989,0.98552
2019,46-65 y.,female,No,0.94867,467,467,0.92864,0.96871
2019,66 and older,male,No,0.96795,107,107,0.93443,1.00148
2019,66 and older,female,No,0.91412,79,79,0.85193,0.97630
