year,age_gr,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Yes,0.12125,85,766,0.09812,0.14438
2009,17-29 y.,No,0.87875,681,766,0.85562,0.90188
2009,30-45 y.,Yes,0.05829,40,730,0.04128,0.07530
2009,30-45 y.,No,0.94171,690,730,0.92470,0.95872
2009,46-65 y.,Yes,0.06394,33,611,0.04453,0.08335
2009,46-65 y.,No,0.93606,578,611,0.91665,0.95547
2009,66 and older,No,0.91594,101,101,0.86155,0.97032
2014,17-29 y.,Yes,0.11373,139,1089,0.09486,0.13259
2014,17-29 y.,No,0.88627,950,1089,0.86741,0.90514
2014,30-45 y.,Yes,0.05615,53,1160,0.04289,0.06940
2014,30-45 y.,No,0.94385,1107,1160,0.93060,0.95711
2014,46-65 y.,No,0.96925,857,857,0.95768,0.98081
2014,66 and older,No,0.89593,138,138,0.84480,0.94706
2019,17-29 y.,Yes,0.10340,127,1104,0.08543,0.12137
2019,17-29 y.,No,0.89660,977,1104,0.87863,0.91457
2019,30-45 y.,Yes,0.06162,50,1015,0.04682,0.07642
2019,30-45 y.,No,0.93838,965,1015,0.92358,0.95318
2019,46-65 y.,Yes,0.03785,39,1128,0.02670,0.04899
2019,46-65 y.,No,0.96215,1089,1128,0.95101,0.97330
2019,66 and older,No,0.94298,186,186,0.90956,0.97639
