,Unnamed: 0,year,bula_h,regtyp,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Hamburg,Urban regions,No,1.0,43,1858,0.74093,1.29603
1,1,2009,Lower Saxony,Urban regions,No,1.0,96,1858,0.83989,1.19559
2,2,2009,Lower Saxony,Rural regions,No,1.0,89,1858,0.80935,1.26457
3,3,2009,North Rhine-Westphalia,Urban regions,No,1.0,401,1858,0.90808,1.09915
4,4,2009,Hesse,Urban regions,No,1.0,164,1858,0.86967,1.14107
5,5,2009,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,88,1858,0.80489,1.22307
6,6,2009,Baden-Wuerttemberg,Urban regions,No,1.0,273,1858,0.89488,1.11159
7,7,2009,Bavaria,Urban regions,No,1.0,192,1858,0.84856,1.162
8,8,2009,Bavaria,Rural regions,No,1.0,164,1858,0.85912,1.15183
9,9,2009,Berlin,Urban regions,No,1.0,124,1858,0.84468,1.16085
10,10,2009,Brandenburg,Rural regions,No,1.0,47,1858,0.74661,1.34906
11,11,2009,Saxony,Urban regions,No,1.0,62,1858,0.78095,1.22951
12,12,2009,Saxony,Rural regions,No,1.0,48,1858,0.74613,1.31128
13,13,2009,Saxony-Anhalt,Rural regions,No,1.0,36,1858,0.7073,1.29807
14,14,2009,Thuringa,Rural regions,No,1.0,31,1858,0.62904,1.40174
15,15,2014,Schleswig-Holstein,Urban regions,No,1.0,41,3054,0.70644,1.30653
16,16,2014,Schleswig-Holstein,Rural regions,No,1.0,82,3054,0.74756,1.2856
17,17,2014,Hamburg,Urban regions,No,1.0,46,3054,0.72573,1.38144
18,18,2014,Lower Saxony,Urban regions,No,1.0,147,3054,0.83173,1.18438
19,19,2014,Lower Saxony,Rural regions,No,1.0,172,3054,0.84184,1.16328
20,20,2014,Bremen,Urban regions,No,1.0,33,3054,0.6495,1.46458
21,21,2014,North Rhine-Westphalia,Urban regions,Yes,0.07805,42,3054,0.05268,0.10939
22,22,2014,North Rhine-Westphalia,Urban regions,No,0.92195,613,3054,0.84416,1.00646
23,23,2014,Hesse,Urban regions,No,1.0,226,3054,0.83584,1.1417
24,24,2014,Hesse,Rural regions,No,1.0,37,3054,0.64922,1.39839
25,25,2014,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,129,3054,0.80426,1.21835
26,26,2014,Baden-Wuerttemberg,Urban regions,Yes,0.05966,32,3054,0.041,0.08191
27,27,2014,Baden-Wuerttemberg,Urban regions,No,0.94034,377,3054,0.83562,1.04742
28,28,2014,Baden-Wuerttemberg,Rural regions,No,1.0,55,3054,0.64679,1.42483
29,29,2014,Bavaria,Urban regions,No,1.0,276,3054,0.87601,1.15787
30,30,2014,Bavaria,Rural regions,No,1.0,269,3054,0.84837,1.16935
31,31,2014,Berlin,Urban regions,No,1.0,161,3054,0.86804,1.15032
32,32,2014,Brandenburg,Rural regions,No,1.0,54,3054,0.70966,1.38289
33,33,2014,Mecklenburg-Western Pomerania,Rural regions,No,1.0,32,3054,0.65351,1.37899
34,34,2014,Saxony,Urban regions,No,1.0,62,3054,0.64216,1.34561
35,35,2014,Saxony,Rural regions,No,1.0,40,3054,0.70698,1.29585
36,36,2014,Saxony-Anhalt,Rural regions,No,1.0,49,3054,0.62611,1.38009
37,37,2014,Thuringa,Urban regions,No,1.0,33,3054,0.60553,1.57916
38,38,2014,Thuringa,Rural regions,No,1.0,46,3054,0.74029,1.28983
39,39,2019,Schleswig-Holstein,Urban regions,No,1.0,46,3078,0.56265,1.59798
40,40,2019,Schleswig-Holstein,Rural regions,No,1.0,89,3078,0.80939,1.2035
41,41,2019,Hamburg,Urban regions,No,1.0,47,3078,0.69415,1.37133
42,42,2019,Lower Saxony,Urban regions,No,1.0,140,3078,0.82304,1.19172
43,43,2019,Lower Saxony,Rural regions,No,1.0,111,3078,0.74631,1.32309
44,44,2019,Bremen,Urban regions,No,1.0,32,3078,0.64527,1.38067
45,45,2019,North Rhine-Westphalia,Urban regions,Yes,0.04813,50,3078,0.03288,0.06739
46,46,2019,North Rhine-Westphalia,Urban regions,No,0.95187,704,3078,0.84825,1.07031
47,47,2019,Hesse,Urban regions,No,1.0,207,3078,0.84875,1.17939
48,48,2019,Hesse,Rural regions,No,1.0,44,3078,0.6875,1.33061
49,49,2019,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,120,3078,0.78608,1.24073
50,50,2019,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,35,3078,0.66531,1.39405
51,51,2019,Baden-Wuerttemberg,Urban regions,No,1.0,353,3078,0.87133,1.15132
52,52,2019,Baden-Wuerttemberg,Rural regions,No,1.0,38,3078,0.62068,1.42508
53,53,2019,Bavaria,Urban regions,No,1.0,277,3078,0.84686,1.14406
54,54,2019,Bavaria,Rural regions,No,1.0,219,3078,0.81966,1.22019
55,55,2019,Berlin,Urban regions,No,1.0,185,3078,0.84113,1.1959
56,56,2019,Brandenburg,Rural regions,No,1.0,62,3078,0.70807,1.35844
57,57,2019,Mecklenburg-Western Pomerania,Rural regions,No,1.0,43,3078,0.54888,1.68006
58,58,2019,Saxony,Urban regions,No,1.0,79,3078,0.71387,1.37282
59,59,2019,Saxony,Rural regions,No,1.0,58,3078,0.7015,1.30518
60,60,2019,Saxony-Anhalt,Rural regions,No,1.0,56,3078,0.67858,1.32971
61,61,2019,Thuringa,Urban regions,No,1.0,35,3078,0.55252,1.55126
62,62,2019,Thuringa,Rural regions,No,1.0,48,3078,0.67675,1.39806
