year,regtyp,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,male,Yes,0.06575,55,851,0.04908,0.08241
2009,Urban regions,male,No,0.93425,796,851,0.91759,0.95092
2009,Urban regions,female,Yes,0.08624,64,795,0.06672,0.10577
2009,Urban regions,female,No,0.91376,731,795,0.89423,0.93328
2009,Rural regions,male,No,0.89725,302,302,0.86295,0.93155
2009,Rural regions,female,No,0.90070,221,221,0.86119,0.94022
2014,Urban regions,male,Yes,0.05815,78,1151,0.04462,0.07168
2014,Urban regions,male,No,0.94185,1073,1151,0.92832,0.95538
2014,Urban regions,female,Yes,0.08699,102,1214,0.07113,0.10285
2014,Urban regions,female,No,0.91301,1112,1214,0.89715,0.92887
2014,Rural regions,male,No,0.92864,441,441,0.90459,0.95269
2014,Rural regions,female,Yes,0.06844,31,457,0.04526,0.09161
2014,Rural regions,female,No,0.93156,426,457,0.90839,0.95474
2019,No answer / don't know,male,No,0.92092,74,74,0.85901,0.98282
2019,No answer / don't know,female,No,0.94878,59,59,0.89205,1.00551
2019,Urban regions,male,Yes,0.04768,72,1235,0.03579,0.05957
2019,Urban regions,male,No,0.95232,1163,1235,0.94043,0.96421
2019,Urban regions,female,Yes,0.07109,89,1198,0.05653,0.08565
2019,Urban regions,female,No,0.92891,1109,1198,0.91435,0.94347
2019,Rural regions,male,No,0.90530,435,435,0.87775,0.93285
2019,Rural regions,female,Yes,0.11009,31,405,0.07957,0.14061
2019,Rural regions,female,No,0.88991,374,405,0.85939,0.92043
