,Unnamed: 0,year,bula_h,migback,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,No migration background,No,1.0,40,1886,0.72209,1.38037
1,1,2009,Hamburg,No migration background,No,1.0,34,1886,0.69694,1.29365
2,2,2009,Lower Saxony,No migration background,No,1.0,149,1886,0.85681,1.18568
3,3,2009,North Rhine-Westphalia,No migration background,No,1.0,285,1886,0.88346,1.12106
4,4,2009,North Rhine-Westphalia,Direct migration background,No,1.0,85,1886,0.84057,1.21394
5,5,2009,North Rhine-Westphalia,Indirect migration background,No,1.0,35,1886,0.7348,1.31355
6,6,2009,Hesse,No migration background,No,1.0,128,1886,0.86844,1.16682
7,7,2009,Hesse,Direct migration background,No,1.0,39,1886,0.75138,1.26247
8,8,2009,"Rhineland-Palatinate, Saarland",No migration background,No,1.0,83,1886,0.82395,1.15969
9,9,2009,Baden-Wuerttemberg,No migration background,No,1.0,175,1886,0.87247,1.14217
10,10,2009,Baden-Wuerttemberg,Direct migration background,No,1.0,72,1886,0.7979,1.25841
11,11,2009,Baden-Wuerttemberg,Indirect migration background,No,1.0,44,1886,0.70614,1.30771
12,12,2009,Bavaria,No migration background,No,1.0,279,1886,0.8791,1.11985
13,13,2009,Bavaria,Direct migration background,No,1.0,40,1886,0.75514,1.28035
14,14,2009,Bavaria,Indirect migration background,No,1.0,37,1886,0.7043,1.27055
15,15,2009,Berlin,No migration background,No,1.0,101,1886,0.78671,1.18417
16,16,2009,Brandenburg,No migration background,No,1.0,52,1886,0.69018,1.26789
17,17,2009,Saxony,No migration background,No,1.0,108,1886,0.81982,1.16275
18,18,2009,Saxony-Anhalt,No migration background,No,1.0,51,1886,0.67867,1.29569
19,19,2009,Thuringa,No migration background,No,1.0,49,1886,0.73608,1.29469
20,20,2014,Schleswig-Holstein,No migration background,No,1.0,74,2884,0.76393,1.28236
21,21,2014,Schleswig-Holstein,Direct migration background,No,1.0,40,2884,0.63185,1.41003
22,22,2014,Hamburg,No migration background,No,1.0,33,2884,0.6254,1.37526
23,23,2014,Lower Saxony,No migration background,No,1.0,234,2884,0.85059,1.13739
24,24,2014,Lower Saxony,Direct migration background,No,1.0,66,2884,0.75628,1.2985
25,25,2014,North Rhine-Westphalia,No migration background,No,1.0,339,2884,0.87196,1.11613
26,26,2014,North Rhine-Westphalia,Direct migration background,No,1.0,177,2884,0.79742,1.20854
27,27,2014,North Rhine-Westphalia,Indirect migration background,No,1.0,106,2884,0.83328,1.18347
28,28,2014,Hesse,No migration background,No,1.0,148,2884,0.82221,1.17368
29,29,2014,Hesse,Direct migration background,No,1.0,77,2884,0.72947,1.26509
30,30,2014,Hesse,Indirect migration background,No,1.0,38,2884,0.59783,1.53384
31,31,2014,"Rhineland-Palatinate, Saarland",No migration background,No,1.0,93,2884,0.76953,1.28117
32,32,2014,"Rhineland-Palatinate, Saarland",Direct migration background,No,1.0,39,2884,0.73262,1.3026
33,33,2014,Baden-Wuerttemberg,No migration background,No,1.0,254,2884,0.86977,1.13069
34,34,2014,Baden-Wuerttemberg,Direct migration background,No,1.0,115,2884,0.77102,1.26271
35,35,2014,Baden-Wuerttemberg,Indirect migration background,No,1.0,63,2884,0.70861,1.31699
36,36,2014,Bavaria,No migration background,Yes,0.07815,31,2884,0.0418,0.12781
37,37,2014,Bavaria,No migration background,No,0.92185,343,2884,0.80313,1.06218
38,38,2014,Bavaria,Direct migration background,No,1.0,137,2884,0.77907,1.19129
39,39,2014,Bavaria,Indirect migration background,No,1.0,65,2884,0.73065,1.32621
40,40,2014,Berlin,No migration background,No,1.0,116,2884,0.82553,1.18558
41,41,2014,Brandenburg,No migration background,No,1.0,54,2884,0.69866,1.28191
42,42,2014,Mecklenburg-Western Pomerania,No migration background,No,1.0,32,2884,0.62767,1.34108
43,43,2014,Saxony,No migration background,No,1.0,88,2884,0.75859,1.29237
44,44,2014,Saxony-Anhalt,No migration background,No,1.0,58,2884,0.74313,1.2913
