year,hhtyp,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Urban regions,Yes,0.19663,206,1011,0.17212,0.22114
1996,Single-person household,Urban regions,No,0.80337,805,1011,0.77886,0.82788
1996,Single-person household,Rural regions,Yes,0.19669,92,422,0.15872,0.23467
1996,Single-person household,Rural regions,No,0.80331,330,422,0.76533,0.84128
1996,Couple without children,Urban regions,Yes,0.30490,369,1234,0.27920,0.33060
1996,Couple without children,Urban regions,No,0.69510,865,1234,0.66940,0.72080
1996,Couple without children,Rural regions,Yes,0.39761,256,607,0.35864,0.43657
1996,Couple without children,Rural regions,No,0.60239,351,607,0.56343,0.64136
1996,Single parent,Urban regions,Yes,0.45931,111,260,0.39862,0.52000
1996,Single parent,Urban regions,No,0.54069,149,260,0.48000,0.60138
1996,Single parent,Rural regions,Yes,0.54274,61,127,0.45575,0.62972
1996,Single parent,Rural regions,No,0.45726,66,127,0.37028,0.54425
1996,Couple with children,Urban regions,Yes,0.44747,707,1732,0.42405,0.47089
1996,Couple with children,Urban regions,No,0.55253,1025,1732,0.52911,0.57595
1996,Couple with children,Rural regions,Yes,0.56181,541,954,0.53031,0.59331
1996,Couple with children,Rural regions,No,0.43819,413,954,0.40669,0.46969
1996,Multi-generational household,Urban regions,No,0.59331,53,53,0.45979,0.72682
1996,Other Combinations,Urban regions,Yes,0.58279,49,94,0.48258,0.68301
1996,Other Combinations,Urban regions,No,0.41721,45,94,0.31699,0.51742
1996,Other Combinations,Rural regions,Yes,0.59082,35,66,0.47129,0.71035
1996,Other Combinations,Rural regions,No,0.40918,31,66,0.28965,0.52871
2001,Single-person household,Urban regions,Yes,0.20913,440,2062,0.19157,0.22669
2001,Single-person household,Urban regions,No,0.79087,1622,2062,0.77331,0.80843
2001,Single-person household,Rural regions,Yes,0.28429,266,864,0.25419,0.31438
2001,Single-person household,Rural regions,No,0.71571,598,864,0.68562,0.74581
2001,Couple without children,Urban regions,Yes,0.31039,757,2377,0.29178,0.32899
2001,Couple without children,Urban regions,No,0.68961,1620,2377,0.67101,0.70822
2001,Couple without children,Rural regions,Yes,0.40394,529,1212,0.37630,0.43158
2001,Couple without children,Rural regions,No,0.59606,683,1212,0.56842,0.62370
2001,Single parent,Urban regions,Yes,0.39477,192,467,0.35039,0.43915
2001,Single parent,Urban regions,No,0.60523,275,467,0.56085,0.64961
2001,Single parent,Rural regions,Yes,0.48146,122,239,0.41798,0.54494
2001,Single parent,Rural regions,No,0.51854,117,239,0.45506,0.58202
2001,Couple with children,Urban regions,Yes,0.47201,1231,2689,0.45314,0.49088
2001,Couple with children,Urban regions,No,0.52799,1458,2689,0.50912,0.54686
2001,Couple with children,Rural regions,Yes,0.59719,903,1486,0.57225,0.62214
2001,Couple with children,Rural regions,No,0.40281,583,1486,0.37786,0.42775
2001,Multi-generational household,Urban regions,Yes,0.43525,42,105,0.33996,0.53054
2001,Multi-generational household,Urban regions,No,0.56475,63,105,0.46946,0.66004
2001,Multi-generational household,Rural regions,Yes,0.71225,36,36,0.56227,0.86223
2001,Other Combinations,Urban regions,Yes,0.41031,32,83,0.30384,0.51678
2001,Other Combinations,Urban regions,No,0.58969,51,83,0.48322,0.69616
2006,Single-person household,Urban regions,Yes,0.18406,440,2260,0.16808,0.20004
2006,Single-person household,Urban regions,No,0.81594,1820,2260,0.79996,0.83192
2006,Single-person household,Rural regions,Yes,0.27745,298,1028,0.25006,0.30483
2006,Single-person household,Rural regions,No,0.72255,730,1028,0.69517,0.74994
2006,Couple without children,Urban regions,Yes,0.28690,855,2787,0.27010,0.30369
2006,Couple without children,Urban regions,No,0.71310,1932,2787,0.69631,0.72990
2006,Couple without children,Rural regions,Yes,0.42268,591,1371,0.39652,0.44884
2006,Couple without children,Rural regions,No,0.57732,780,1371,0.55116,0.60348
2006,Single parent,Urban regions,Yes,0.43410,212,495,0.39039,0.47781
2006,Single parent,Urban regions,No,0.56590,283,495,0.52219,0.60961
2006,Single parent,Rural regions,Yes,0.55274,150,277,0.49408,0.61140
2006,Single parent,Rural regions,No,0.44726,127,277,0.38860,0.50592
2006,Couple with children,Urban regions,Yes,0.47321,1204,2499,0.45363,0.49279
2006,Couple with children,Urban regions,No,0.52679,1295,2499,0.50721,0.54637
2006,Couple with children,Rural regions,Yes,0.63230,860,1338,0.60645,0.65815
2006,Couple with children,Rural regions,No,0.36770,478,1338,0.34185,0.39355
2006,Multi-generational household,Urban regions,No,0.57741,35,35,0.41136,0.74345
2006,Multi-generational household,Rural regions,Yes,0.54270,33,33,0.37009,0.71531
2006,Other Combinations,Urban regions,No,0.71050,46,46,0.57799,0.84301
2011,Single-person household,Urban regions,Yes,0.19742,487,2389,0.18146,0.21339
2011,Single-person household,Urban regions,No,0.80258,1902,2389,0.78661,0.81854
2011,Single-person household,Rural regions,Yes,0.28280,311,1121,0.25642,0.30917
2011,Single-person household,Rural regions,No,0.71720,810,1121,0.69083,0.74358
2011,Couple without children,Urban regions,Yes,0.30582,868,2772,0.28866,0.32297
2011,Couple without children,Urban regions,No,0.69418,1904,2772,0.67703,0.71134
2011,Couple without children,Rural regions,Yes,0.37271,626,1599,0.34901,0.39642
2011,Couple without children,Rural regions,No,0.62729,973,1599,0.60358,0.65099
2011,Single parent,Urban regions,Yes,0.38989,220,518,0.34785,0.43193
2011,Single parent,Urban regions,No,0.61011,298,518,0.56807,0.65215
2011,Single parent,Rural regions,Yes,0.47748,124,266,0.41734,0.53762
2011,Single parent,Rural regions,No,0.52252,142,266,0.46238,0.58266
2011,Couple with children,Urban regions,Yes,0.48807,1028,2087,0.46662,0.50952
2011,Couple with children,Urban regions,No,0.51193,1059,2087,0.49048,0.53338
2011,Couple with children,Rural regions,Yes,0.63157,734,1153,0.60371,0.65942
2011,Couple with children,Rural regions,No,0.36843,419,1153,0.34058,0.39629
2011,Other Combinations,Urban regions,No,0.68986,41,41,0.54651,0.83321
2016,Single-person household,Urban regions,Yes,0.17147,405,2319,0.15612,0.18681
2016,Single-person household,Urban regions,No,0.82853,1914,2319,0.81319,0.84388
2016,Single-person household,Rural regions,Yes,0.27249,283,1069,0.24578,0.29919
