year,regtyp,sampreg,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.31294,1211,3770,0.29814,0.32774
1996,Urban regions,West,No,0.68706,2559,3770,0.67226,0.70186
1996,Urban regions,East,Yes,0.35985,255,638,0.32258,0.39712
1996,Urban regions,East,No,0.64015,383,638,0.60288,0.67742
1996,Rural regions,West,Yes,0.37718,416,1023,0.34746,0.40689
1996,Rural regions,West,No,0.62282,607,1023,0.59311,0.65254
1996,Rural regions,East,Yes,0.44180,599,1200,0.41369,0.46991
1996,Rural regions,East,No,0.55820,601,1200,0.53009,0.58631
2001,Urban regions,West,Yes,0.31450,2301,6828,0.30349,0.32552
2001,Urban regions,West,No,0.68550,4527,6828,0.67448,0.69651
2001,Urban regions,East,Yes,0.37504,393,955,0.34432,0.40576
2001,Urban regions,East,No,0.62496,562,955,0.59424,0.65568
2001,Rural regions,West,Yes,0.39252,872,2009,0.37116,0.41388
2001,Rural regions,West,No,0.60748,1137,2009,0.58612,0.62884
2001,Rural regions,East,Yes,0.48805,1011,1888,0.46550,0.51060
2001,Rural regions,East,No,0.51195,877,1888,0.48940,0.53450
2006,Urban regions,West,Yes,0.29713,2389,7176,0.28656,0.30771
2006,Urban regions,West,No,0.70287,4787,7176,0.69229,0.71344
2006,Urban regions,East,Yes,0.31556,368,992,0.28662,0.34449
2006,Urban regions,East,No,0.68444,624,992,0.65551,0.71338
2006,Rural regions,West,Yes,0.41191,952,2161,0.39115,0.43267
2006,Rural regions,West,No,0.58809,1209,2161,0.56733,0.60885
2006,Rural regions,East,Yes,0.47101,1001,1936,0.44877,0.49325
2006,Rural regions,East,No,0.52899,935,1936,0.50675,0.55123
2011,Urban regions,West,Yes,0.29633,2294,6851,0.28551,0.30714
2011,Urban regions,West,No,0.70367,4557,6851,0.69286,0.71449
2011,Urban regions,East,Yes,0.28803,353,1022,0.26025,0.31581
2011,Urban regions,East,No,0.71197,669,1022,0.68419,0.73975
2011,Rural regions,West,Yes,0.36577,960,2341,0.34625,0.38528
2011,Rural regions,West,No,0.63423,1381,2341,0.61472,0.65375
2011,Rural regions,East,Yes,0.44454,876,1870,0.42201,0.46707
2011,Rural regions,East,No,0.55546,994,1870,0.53293,0.57799
2016,Urban regions,West,Yes,0.28050,2693,8255,0.27081,0.29020
2016,Urban regions,West,No,0.71950,5562,8255,0.70980,0.72919
2016,Urban regions,East,Yes,0.28258,393,1122,0.25622,0.30894
2016,Urban regions,East,No,0.71742,729,1122,0.69106,0.74378
2016,Rural regions,West,Yes,0.37245,1256,2973,0.35507,0.38983
2016,Rural regions,West,No,0.62755,1717,2973,0.61017,0.64493
2016,Rural regions,East,Yes,0.44510,943,1952,0.42305,0.46715
2016,Rural regions,East,No,0.55490,1009,1952,0.53285,0.57695
2021,Urban regions,West,Yes,0.28953,2143,6533,0.27853,0.30053
2021,Urban regions,West,No,0.71047,4390,6533,0.69947,0.72147
2021,Urban regions,East,Yes,0.27376,291,901,0.24463,0.30289
2021,Urban regions,East,No,0.72624,610,901,0.69711,0.75537
2021,Rural regions,West,Yes,0.36858,945,2162,0.34824,0.38892
2021,Rural regions,West,No,0.63142,1217,2162,0.61108,0.65176
2021,Rural regions,East,Yes,0.41608,719,1495,0.39108,0.44107
2021,Rural regions,East,No,0.58392,776,1495,0.55893,0.60892
