year,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.31734,1466,4408,0.30360,0.33108
1996,Urban regions,No,0.68266,2942,4408,0.66892,0.69640
1996,Rural regions,Yes,0.40236,1015,2223,0.38197,0.42275
1996,Rural regions,No,0.59764,1208,2223,0.57725,0.61803
2001,Urban regions,Yes,0.32007,2694,7783,0.30970,0.33043
2001,Urban regions,No,0.67993,5089,7783,0.66957,0.69030
2001,Rural regions,Yes,0.43108,1883,3897,0.41553,0.44663
2001,Rural regions,No,0.56892,2014,3897,0.55337,0.58447
2006,Urban regions,Yes,0.29887,2757,8168,0.28894,0.30880
2006,Urban regions,No,0.70113,5411,8168,0.69120,0.71106
2006,Rural regions,Yes,0.43516,1953,4097,0.41997,0.45034
2006,Rural regions,No,0.56484,2144,4097,0.54966,0.58003
2011,Urban regions,Yes,0.29552,2647,7873,0.28544,0.30560
2011,Urban regions,No,0.70448,5226,7873,0.69440,0.71456
2011,Rural regions,Yes,0.39515,1836,4211,0.38038,0.40992
2011,Rural regions,No,0.60485,2375,4211,0.59008,0.61962
2016,Urban regions,Yes,0.28070,3086,9377,0.27161,0.28980
2016,Urban regions,No,0.71930,6291,9377,0.71020,0.72839
2016,Rural regions,Yes,0.39868,2199,4925,0.38500,0.41235
2016,Rural regions,No,0.60132,2726,4925,0.58765,0.61500
2021,Urban regions,Yes,0.28816,2434,7434,0.27786,0.29846
2021,Urban regions,No,0.71184,5000,7434,0.70154,0.72214
2021,Rural regions,Yes,0.38581,1664,3657,0.37004,0.40159
2021,Rural regions,No,0.61419,1993,3657,0.59841,0.62996
