year,hhtyp,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Owner,Yes,0.23537,76,293,0.18671,0.28403
1996,Single-person household,Owner,No,0.76463,217,293,0.71597,0.81329
1996,Single-person household,Tenant,Yes,0.18432,222,1140,0.16180,0.20684
1996,Single-person household,Tenant,No,0.81568,918,1140,0.79316,0.83820
1996,Couple without children,Owner,Yes,0.35946,283,691,0.32366,0.39527
1996,Couple without children,Owner,No,0.64054,408,691,0.60473,0.67634
1996,Couple without children,Tenant,Yes,0.30891,342,1150,0.28219,0.33562
1996,Couple without children,Tenant,No,0.69109,808,1150,0.66438,0.71781
1996,Single parent,Owner,Yes,0.54920,56,102,0.45216,0.64624
1996,Single parent,Owner,No,0.45080,46,102,0.35376,0.54784
1996,Single parent,Tenant,Yes,0.45492,116,285,0.39701,0.51284
1996,Single parent,Tenant,No,0.54508,169,285,0.48716,0.60299
1996,Couple with children,Owner,Yes,0.53702,659,1173,0.50847,0.56556
1996,Couple with children,Owner,No,0.46298,514,1173,0.43444,0.49153
1996,Couple with children,Tenant,Yes,0.42244,589,1513,0.39754,0.44734
1996,Couple with children,Tenant,No,0.57756,924,1513,0.55266,0.60246
1996,Multi-generational household,Owner,Yes,0.52578,38,38,0.36489,0.68668
1996,Multi-generational household,Tenant,No,0.54828,40,40,0.39209,0.70448
1996,Other Combinations,Owner,Yes,0.66531,43,43,0.52260,0.80802
1996,Other Combinations,Tenant,Yes,0.51952,41,92,0.41686,0.62217
1996,Other Combinations,Tenant,No,0.48048,51,92,0.37783,0.58314
2001,Single-person household,Owner,Yes,0.28304,249,773,0.25126,0.31482
2001,Single-person household,Owner,No,0.71696,524,773,0.68518,0.74874
2001,Single-person household,Tenant,Yes,0.21067,457,2153,0.19344,0.22790
2001,Single-person household,Tenant,No,0.78933,1696,2153,0.77210,0.80656
2001,Couple without children,Owner,Yes,0.36624,698,1781,0.34385,0.38862
2001,Couple without children,Owner,No,0.63376,1083,1781,0.61138,0.65615
2001,Couple without children,Tenant,Yes,0.31098,588,1808,0.28964,0.33232
2001,Couple without children,Tenant,No,0.68902,1220,1808,0.66768,0.71036
2001,Single parent,Owner,Yes,0.44315,91,192,0.37270,0.51360
2001,Single parent,Owner,No,0.55685,101,192,0.48640,0.62730
2001,Single parent,Tenant,Yes,0.41403,223,514,0.37141,0.45666
2001,Single parent,Tenant,No,0.58597,291,514,0.54334,0.62859
2001,Couple with children,Owner,Yes,0.56410,1330,2339,0.54400,0.58420
