year,age_gr,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Born in Germany or immigrated <1950,0.84071,438,793,0.81522,0.86620
1984,17-29 y.,1st Quintile,Not born in Germany,0.15929,355,793,0.13380,0.18478
1984,17-29 y.,2nd Quintile,Born in Germany or immigrated <1950,0.88195,451,685,0.85777,0.90613
1984,17-29 y.,2nd Quintile,Not born in Germany,0.11805,234,685,0.09387,0.14223
1984,17-29 y.,3rd Quintile,Born in Germany or immigrated <1950,0.91708,503,660,0.89602,0.93813
1984,17-29 y.,3rd Quintile,Not born in Germany,0.08292,157,660,0.06187,0.10398
1984,17-29 y.,4th Quintile,Born in Germany or immigrated <1950,0.92885,562,730,0.91019,0.94751
1984,17-29 y.,4th Quintile,Not born in Germany,0.07115,168,730,0.05249,0.08981
1984,17-29 y.,5th Quintile,Born in Germany or immigrated <1950,0.94242,476,561,0.92312,0.96171
1984,17-29 y.,5th Quintile,Not born in Germany,0.05758,85,561,0.03829,0.07688
1984,30-45 y.,1st Quintile,Born in Germany or immigrated <1950,0.76980,364,788,0.74039,0.79921
1984,30-45 y.,1st Quintile,Not born in Germany,0.23020,424,788,0.20079,0.25961
1984,30-45 y.,2nd Quintile,Born in Germany or immigrated <1950,0.84252,463,786,0.81704,0.86800
1984,30-45 y.,2nd Quintile,Not born in Germany,0.15748,323,786,0.13200,0.18296
1984,30-45 y.,3rd Quintile,Born in Germany or immigrated <1950,0.87992,521,761,0.85680,0.90303
1984,30-45 y.,3rd Quintile,Not born in Germany,0.12008,240,761,0.09697,0.14320
1984,30-45 y.,4th Quintile,Born in Germany or immigrated <1950,0.89915,541,785,0.87807,0.92023
1984,30-45 y.,4th Quintile,Not born in Germany,0.10085,244,785,0.07977,0.12193
1984,30-45 y.,5th Quintile,Born in Germany or immigrated <1950,0.91125,627,784,0.89133,0.93117
1984,30-45 y.,5th Quintile,Not born in Germany,0.08875,157,784,0.06883,0.10867
1984,46-65 y.,1st Quintile,Born in Germany or immigrated <1950,0.89011,333,558,0.86414,0.91608
1984,46-65 y.,1st Quintile,Not born in Germany,0.10989,225,558,0.08392,0.13586
1984,46-65 y.,2nd Quintile,Born in Germany or immigrated <1950,0.87054,451,652,0.84475,0.89633
1984,46-65 y.,2nd Quintile,Not born in Germany,0.12946,201,652,0.10367,0.15525
1984,46-65 y.,3rd Quintile,Born in Germany or immigrated <1950,0.88515,494,697,0.86146,0.90884
1984,46-65 y.,3rd Quintile,Not born in Germany,0.11485,203,697,0.09116,0.13854
1984,46-65 y.,4th Quintile,Born in Germany or immigrated <1950,0.91316,591,765,0.89319,0.93313
1984,46-65 y.,4th Quintile,Not born in Germany,0.08684,174,765,0.06687,0.10681
1984,46-65 y.,5th Quintile,Born in Germany or immigrated <1950,0.93205,735,879,0.91541,0.94870
1984,46-65 y.,5th Quintile,Not born in Germany,0.06795,144,879,0.05130,0.08459
1984,66 and older,1st Quintile,Born in Germany or immigrated <1950,0.97489,336,336,0.95814,0.99165
1984,66 and older,2nd Quintile,Born in Germany or immigrated <1950,0.97423,268,268,0.95522,0.99323
1984,66 and older,3rd Quintile,Born in Germany or immigrated <1950,0.97227,232,232,0.95110,0.99345
1984,66 and older,4th Quintile,Born in Germany or immigrated <1950,0.99497,202,202,0.98519,1.00475
1984,66 and older,5th Quintile,Born in Germany or immigrated <1950,0.98360,191,191,0.96554,1.00166
1985,17-29 y.,1st Quintile,Born in Germany or immigrated <1950,0.86653,461,777,0.84261,0.89046
1985,17-29 y.,1st Quintile,Not born in Germany,0.13347,316,777,0.10954,0.15739
1985,17-29 y.,2nd Quintile,Born in Germany or immigrated <1950,0.88417,404,583,0.85818,0.91017
1985,17-29 y.,2nd Quintile,Not born in Germany,0.11583,179,583,0.08983,0.14182
1985,17-29 y.,3rd Quintile,Born in Germany or immigrated <1950,0.92813,492,647,0.90821,0.94805
1985,17-29 y.,3rd Quintile,Not born in Germany,0.07187,155,647,0.05195,0.09179
1985,17-29 y.,4th Quintile,Born in Germany or immigrated <1950,0.94023,522,630,0.92170,0.95875
1985,17-29 y.,4th Quintile,Not born in Germany,0.05977,108,630,0.04125,0.07830
1985,17-29 y.,5th Quintile,Born in Germany or immigrated <1950,0.94027,434,500,0.91948,0.96106
1985,17-29 y.,5th Quintile,Not born in Germany,0.05973,66,500,0.03894,0.08052
1985,30-45 y.,1st Quintile,Born in Germany or immigrated <1950,0.76038,319,688,0.72846,0.79230
1985,30-45 y.,1st Quintile,Not born in Germany,0.23962,369,688,0.20770,0.27154
1985,30-45 y.,2nd Quintile,Born in Germany or immigrated <1950,0.85152,460,750,0.82605,0.87698
1985,30-45 y.,2nd Quintile,Not born in Germany,0.14848,290,750,0.12302,0.17395
1985,30-45 y.,3rd Quintile,Born in Germany or immigrated <1950,0.88224,440,642,0.85729,0.90719
1985,30-45 y.,3rd Quintile,Not born in Germany,0.11776,202,642,0.09281,0.14271
1985,30-45 y.,4th Quintile,Born in Germany or immigrated <1950,0.87762,487,682,0.85301,0.90224
1985,30-45 y.,4th Quintile,Not born in Germany,0.12238,195,682,0.09776,0.14699
1985,30-45 y.,5th Quintile,Born in Germany or immigrated <1950,0.91926,587,711,0.89922,0.93930
1985,30-45 y.,5th Quintile,Not born in Germany,0.08074,124,711,0.06070,0.10078
1985,46-65 y.,1st Quintile,Born in Germany or immigrated <1950,0.88478,325,534,0.85767,0.91189
1985,46-65 y.,1st Quintile,Not born in Germany,0.11522,209,534,0.08811,0.14233
