year,migback,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.80192,1444,1444,0.78136,0.82249
1984,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.80957,1601,1601,0.79033,0.82881
1984,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.82797,1728,1728,0.81017,0.84577
1984,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.86123,1864,1864,0.84554,0.87693
1984,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.90051,2016,2016,0.88744,0.91358
1984,Direct migration background,1st Quintile,Not born in Germany,0.83107,1019,1019,0.80805,0.85409
1984,Direct migration background,2nd Quintile,Not born in Germany,0.90042,766,766,0.87921,0.92164
1984,Direct migration background,3rd Quintile,Not born in Germany,0.88982,605,605,0.86484,0.91479
1984,Direct migration background,4th Quintile,Not born in Germany,0.91787,589,589,0.89568,0.94007
1984,Direct migration background,5th Quintile,Not born in Germany,0.94434,390,390,0.92155,0.96712
1984,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.11332,32,32,0.00173,0.22490
1984,Indirect migration background,4th Quintile,Born in Germany or immigrated <1950,0.20324,32,32,0.06158,0.34490
1985,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.80765,1312,1312,0.78632,0.82899
1985,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.81238,1473,1473,0.79243,0.83232
1985,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.85137,1622,1622,0.83405,0.86869
1985,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.88204,1705,1705,0.86673,0.89736
1985,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.91051,1862,1862,0.89755,0.92348
1985,Direct migration background,1st Quintile,Not born in Germany,0.84794,909,909,0.82458,0.87129
1985,Direct migration background,2nd Quintile,Not born in Germany,0.91486,648,648,0.89336,0.93637
1985,Direct migration background,3rd Quintile,Not born in Germany,0.92424,556,556,0.90223,0.94626
1985,Direct migration background,4th Quintile,Not born in Germany,0.95022,480,480,0.93075,0.96970
1985,Direct migration background,5th Quintile,Not born in Germany,0.95259,310,310,0.92890,0.97629
1985,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.06948,36,36,-0.01476,0.15373
1985,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.14849,38,38,0.03392,0.26307
1986,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.81454,1223,1223,0.79275,0.83634
1986,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.81276,1378,1378,0.79216,0.83337
1986,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.84149,1520,1520,0.82312,0.85986
1986,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.88185,1689,1689,0.86645,0.89724
1986,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.91078,1791,1791,0.89758,0.92399
1986,Direct migration background,1st Quintile,Not born in Germany,0.86670,806,806,0.84322,0.89018
1986,Direct migration background,2nd Quintile,Not born in Germany,0.90722,685,685,0.88548,0.92897
1986,Direct migration background,3rd Quintile,Not born in Germany,0.93953,547,547,0.91954,0.95952
1986,Direct migration background,4th Quintile,Not born in Germany,0.96929,500,500,0.95415,0.98442
1986,Direct migration background,5th Quintile,Not born in Germany,0.94497,287,287,0.91855,0.97140
1986,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.11144,45,45,0.01846,0.20442
1986,Indirect migration background,3rd Quintile,Born in Germany or immigrated <1950,0.19456,32,32,0.05521,0.33392
1987,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.82234,1193,1193,0.80064,0.84404
1987,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.80634,1353,1353,0.78528,0.82741
1987,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.83762,1509,1509,0.81900,0.85623
1987,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.88180,1632,1632,0.86613,0.89747
1987,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.90516,1779,1779,0.89155,0.91878
1987,Direct migration background,1st Quintile,Not born in Germany,0.88404,800,800,0.86184,0.90625
1987,Direct migration background,2nd Quintile,Not born in Germany,0.91152,668,668,0.88997,0.93308
1987,Direct migration background,3rd Quintile,Not born in Germany,0.95831,563,563,0.94179,0.97484
1987,Direct migration background,4th Quintile,Not born in Germany,0.95977,485,485,0.94227,0.97728
1987,Direct migration background,5th Quintile,Not born in Germany,0.98356,297,297,0.96907,0.99805
1987,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.06076,43,43,-0.01149,0.13300
1987,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.13557,43,43,0.03204,0.23911
1987,Indirect migration background,3rd Quintile,Born in Germany or immigrated <1950,0.12840,32,32,0.01063,0.24616
1987,Indirect migration background,4th Quintile,Born in Germany or immigrated <1950,0.38697,40,40,0.23411,0.53984
1988,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.80969,1127,1127,0.78676,0.83262
1988,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.80701,1308,1308,0.78562,0.82841
1988,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.84119,1440,1440,0.82231,0.86008
1988,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.87803,1532,1532,0.86163,0.89442
1988,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.91630,1674,1674,0.90303,0.92957
1988,Direct migration background,1st Quintile,Not born in Germany,0.91010,780,780,0.89002,0.93019
1988,Direct migration background,2nd Quintile,Not born in Germany,0.92606,617,617,0.90540,0.94673
1988,Direct migration background,3rd Quintile,Not born in Germany,0.95321,525,525,0.93512,0.97129
1988,Direct migration background,4th Quintile,Not born in Germany,0.94575,491,491,0.92569,0.96580
1988,Direct migration background,5th Quintile,Not born in Germany,0.96021,256,256,0.93622,0.98420
1988,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.10217,66,66,0.02854,0.17580
1988,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.16863,59,59,0.07226,0.26499
1988,Indirect migration background,3rd Quintile,Born in Germany or immigrated <1950,0.20467,41,41,0.07964,0.32971
1988,Indirect migration background,4th Quintile,Born in Germany or immigrated <1950,0.30520,41,41,0.16249,0.44790
1989,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.81749,1074,1074,0.79438,0.84061
1989,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.79505,1221,1221,0.77239,0.81770
1989,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.83853,1376,1376,0.81908,0.85798
1989,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.89922,1531,1531,0.88414,0.91431
1989,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.90707,1616,1616,0.89291,0.92123
1989,Direct migration background,1st Quintile,Not born in Germany,0.91178,788,788,0.89197,0.93160
1989,Direct migration background,2nd Quintile,Not born in Germany,0.94329,665,665,0.92570,0.96088
1989,Direct migration background,3rd Quintile,Not born in Germany,0.94965,475,475,0.92996,0.96934
1989,Direct migration background,4th Quintile,Not born in Germany,0.97647,437,437,0.96224,0.99070
1989,Direct migration background,5th Quintile,Not born in Germany,0.97897,223,223,0.96010,0.99785
1989,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.13567,70,70,0.05487,0.21647
1989,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.19413,79,79,0.10636,0.28191
1989,Indirect migration background,3rd Quintile,Born in Germany or immigrated <1950,0.20405,44,44,0.08359,0.32451
1989,Indirect migration background,4th Quintile,Born in Germany or immigrated <1950,0.27797,41,41,0.13913,0.41680
1990,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.79969,1018,1018,0.77510,0.82429
1990,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.79810,1240,1240,0.77575,0.82046
1990,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.83465,1295,1295,0.81441,0.85489
1990,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.89932,1507,1507,0.88412,0.91452
1990,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.90694,1575,1575,0.89259,0.92129
1990,Direct migration background,1st Quintile,Not born in Germany,0.93767,807,807,0.92097,0.95436
1990,Direct migration background,2nd Quintile,Not born in Germany,0.96135,576,576,0.94560,0.97711
1990,Direct migration background,3rd Quintile,Not born in Germany,0.94528,535,535,0.92599,0.96457
1990,Direct migration background,4th Quintile,Not born in Germany,0.97725,380,380,0.96223,0.99226
1990,Direct migration background,5th Quintile,Not born in Germany,0.98267,234,234,0.96591,0.99942
1990,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.14375,80,80,0.06639,0.22112
1990,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.22280,73,73,0.12668,0.31893
1990,Indirect migration background,3rd Quintile,Born in Germany or immigrated <1950,0.16486,66,66,0.07466,0.25507
1990,Indirect migration background,4th Quintile,Born in Germany or immigrated <1950,0.37410,56,56,0.24622,0.50199
1991,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.80869,997,997,0.78426,0.83311
1991,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.79650,1203,1203,0.77374,0.81926
1991,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.82519,1322,1322,0.80471,0.84567
1991,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.87714,1486,1486,0.86045,0.89384
1991,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.90458,1575,1575,0.89007,0.91910
1991,Direct migration background,1st Quintile,Not born in Germany,0.94112,748,748,0.92424,0.95800
1991,Direct migration background,2nd Quintile,Not born in Germany,0.97407,603,603,0.96137,0.98676
1991,Direct migration background,3rd Quintile,Not born in Germany,0.96017,486,486,0.94277,0.97758
1991,Direct migration background,4th Quintile,Not born in Germany,0.99058,404,404,0.98115,1.00001
1991,Direct migration background,5th Quintile,Not born in Germany,0.97936,241,241,0.96137,0.99735
1991,Indirect migration background,1st Quintile,Born in Germany or immigrated <1950,0.18069,98,98,0.10412,0.25726
1991,Indirect migration background,2nd Quintile,Born in Germany or immigrated <1950,0.20345,87,87,0.11837,0.28853
1991,Indirect migration background,3rd Quintile,Born in Germany or immigrated <1950,0.24811,75,75,0.14970,0.34651
1991,Indirect migration background,4th Quintile,Born in Germany or immigrated <1950,0.29827,54,54,0.17510,0.42144
1992,No migration background,1st Quintile,Born in Germany or immigrated <1950,0.80486,2175,2175,0.78820,0.82152
1992,No migration background,2nd Quintile,Born in Germany or immigrated <1950,0.76999,2161,2161,0.75225,0.78774
1992,No migration background,3rd Quintile,Born in Germany or immigrated <1950,0.81811,1973,1973,0.80108,0.83513
1992,No migration background,4th Quintile,Born in Germany or immigrated <1950,0.86641,1967,1967,0.85137,0.88145
1992,No migration background,5th Quintile,Born in Germany or immigrated <1950,0.90322,2084,2084,0.89052,0.91591
1992,Direct migration background,1st Quintile,Not born in Germany,0.98001,522,522,0.96799,0.99203
1992,Direct migration background,2nd Quintile,Not born in Germany,0.96798,612,612,0.95401,0.98194
