year,migback,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Born in Germany or immigrated <1950,0.84189,8672,8672,0.83421,0.84957
1984,Direct migration background,West,Not born in Germany,0.88866,3373,3373,0.87804,0.89928
1984,Indirect migration background,West,Born in Germany or immigrated <1950,0.11718,126,126,0.06080,0.17357
1985,No migration background,West,Born in Germany or immigrated <1950,0.85420,7979,7979,0.84646,0.86195
1985,Direct migration background,West,Not born in Germany,0.91028,2906,2906,0.89989,0.92067
1985,Indirect migration background,West,Born in Germany or immigrated <1950,0.14429,141,141,0.08609,0.20250
1986,No migration background,West,Born in Germany or immigrated <1950,0.85380,7605,7605,0.84586,0.86174
1986,Direct migration background,West,Not born in Germany,0.91838,2827,2827,0.90828,0.92847
1986,Indirect migration background,West,Born in Germany or immigrated <1950,0.14661,153,153,0.09037,0.20284
1987,No migration background,West,Born in Germany or immigrated <1950,0.85200,7467,7467,0.84394,0.86005
1987,Direct migration background,West,Not born in Germany,0.93210,2815,2815,0.92280,0.94139
1987,Indirect migration background,West,Born in Germany or immigrated <1950,0.14585,173,173,0.09310,0.19860
1988,No migration background,West,Born in Germany or immigrated <1950,0.85208,7083,7083,0.84381,0.86035
1988,Direct migration background,West,Not born in Germany,0.93532,2669,2669,0.92599,0.94465
1988,Indirect migration background,West,Born in Germany or immigrated <1950,0.16999,220,220,0.12024,0.21974
1989,No migration background,West,Born in Germany or immigrated <1950,0.85361,6819,6819,0.84522,0.86200
1989,Direct migration background,West,Not born in Germany,0.94577,2588,2588,0.93705,0.95450
1989,Indirect migration background,West,Born in Germany or immigrated <1950,0.19017,257,257,0.14210,0.23825
1990,No migration background,West,Born in Germany or immigrated <1950,0.85021,6638,6638,0.84163,0.85880
1990,No migration background,East,Born in Germany or immigrated <1950,0.78249,4283,4283,0.77013,0.79485
1990,Direct migration background,West,Not born in Germany,0.95614,2532,2532,0.94816,0.96412
1990,Direct migration background,East,Not born in Germany,0.95914,143,143,0.92658,0.99170
1990,Indirect migration background,West,Born in Germany or immigrated <1950,0.19876,293,293,0.15299,0.24453
1991,No migration background,West,Born in Germany or immigrated <1950,0.84477,6621,6621,0.83605,0.85349
1991,No migration background,East,Born in Germany or immigrated <1950,0.80780,3996,3996,0.79558,0.82002
1991,Direct migration background,West,Not born in Germany,0.96592,2483,2483,0.95878,0.97306
1991,Direct migration background,East,Not born in Germany,0.96492,141,141,0.93445,0.99540
1991,Indirect migration background,West,Born in Germany or immigrated <1950,0.21656,344,344,0.17297,0.26015
1992,No migration background,West,Born in Germany or immigrated <1950,0.83974,6539,6539,0.83085,0.84863
1992,No migration background,East,Born in Germany or immigrated <1950,0.81300,3821,3821,0.80063,0.82536
1992,Direct migration background,West,Not born in Germany,0.98044,2407,2407,0.97491,0.98597
1992,Direct migration background,East,Not born in Germany,0.97281,145,145,0.94625,0.99938
1992,Indirect migration background,West,Born in Germany or immigrated <1950,0.26180,395,395,0.21839,0.30520
1993,No migration background,West,Born in Germany or immigrated <1950,0.83772,6478,6478,0.82874,0.84670
