year,sampreg,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Born in Germany or immigrated <1950,0.89791,4177,5956,0.89022,0.90560
1984,West,male,Not born in Germany,0.10209,1779,5956,0.09440,0.10978
1984,West,female,Born in Germany or immigrated <1950,0.91321,4621,6215,0.90621,0.92021
1984,West,female,Not born in Germany,0.08679,1594,6215,0.07979,0.09379
1985,West,male,Born in Germany or immigrated <1950,0.89832,3875,5414,0.89026,0.90637
1985,West,male,Not born in Germany,0.10168,1539,5414,0.09363,0.10974
1985,West,female,Born in Germany or immigrated <1950,0.91311,4245,5612,0.90574,0.92048
1985,West,female,Not born in Germany,0.08689,1367,5612,0.07952,0.09426
1986,West,male,Born in Germany or immigrated <1950,0.89221,3717,5232,0.88381,0.90061
1986,West,male,Not born in Germany,0.10779,1515,5232,0.09939,0.11619
1986,West,female,Born in Germany or immigrated <1950,0.90849,4041,5353,0.90077,0.91622
1986,West,female,Not born in Germany,0.09151,1312,5353,0.08378,0.09923
1987,West,male,Born in Germany or immigrated <1950,0.88751,3673,5175,0.87890,0.89612
1987,West,male,Not born in Germany,0.11249,1502,5175,0.10388,0.12110
1987,West,female,Born in Germany or immigrated <1950,0.90425,3967,5280,0.89631,0.91219
1987,West,female,Not born in Germany,0.09575,1313,5280,0.08781,0.10369
1988,West,male,Born in Germany or immigrated <1950,0.89170,3524,4932,0.88303,0.90038
1988,West,male,Not born in Germany,0.10830,1408,4932,0.09962,0.11697
1988,West,female,Born in Germany or immigrated <1950,0.90556,3779,5040,0.89748,0.91363
1988,West,female,Not born in Germany,0.09444,1261,5040,0.08637,0.10252
1989,West,male,Born in Germany or immigrated <1950,0.88653,3417,4762,0.87752,0.89554
1989,West,male,Not born in Germany,0.11347,1345,4762,0.10446,0.12248
1989,West,female,Born in Germany or immigrated <1950,0.89723,3659,4902,0.88872,0.90573
1989,West,female,Not born in Germany,0.10277,1243,4902,0.09427,0.11128
1990,West,male,Born in Germany or immigrated <1950,0.87752,3332,4663,0.86811,0.88693
1990,West,male,Not born in Germany,0.12248,1331,4663,0.11307,0.13189
1990,West,female,Born in Germany or immigrated <1950,0.89220,3599,4800,0.88343,0.90098
1990,West,female,Not born in Germany,0.10780,1201,4800,0.09902,0.11657
1990,East,male,Born in Germany or immigrated <1950,0.96730,2043,2108,0.95970,0.97489
1990,East,male,Not born in Germany,0.03270,65,2108,0.02511,0.04030
1990,East,female,Born in Germany or immigrated <1950,0.96174,2242,2320,0.95393,0.96955
1990,East,female,Not born in Germany,0.03826,78,2320,0.03045,0.04607
1991,West,male,Born in Germany or immigrated <1950,0.87050,3350,4654,0.86085,0.88015
1991,West,male,Not born in Germany,0.12950,1304,4654,0.11985,0.13915
1991,West,female,Born in Germany or immigrated <1950,0.88658,3615,4794,0.87761,0.89556
