year,pgisced97,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Not born in Germany,0.42861,53,53,0.29411,0.56312
1984,Pre-primary Level,West,Born in Germany or immigrated <1950,0.97399,166,166,0.94970,0.99827
1984,Primary Level,West,Born in Germany or immigrated <1950,0.33862,81,999,0.30926,0.36798
1984,Primary Level,West,Not born in Germany,0.66138,918,999,0.63202,0.69074
1984,Lower Secondary Level,West,Born in Germany or immigrated <1950,0.90271,2391,3448,0.89282,0.91260
1984,Lower Secondary Level,West,Not born in Germany,0.09729,1057,3448,0.08740,0.10718
1984,Upper Secondary Level,West,Born in Germany or immigrated <1950,0.93078,4681,5706,0.92420,0.93737
1984,Upper Secondary Level,West,Not born in Germany,0.06922,1025,5706,0.06263,0.07580
1984,Post-secondary Non-tertiary Level,West,Born in Germany or immigrated <1950,0.84677,186,309,0.80654,0.88700
1984,Post-secondary Non-tertiary Level,West,Not born in Germany,0.15323,123,309,0.11300,0.19346
1984,First Stage of Tertiary Education,West,Born in Germany or immigrated <1950,0.93771,608,659,0.91925,0.95618
1984,First Stage of Tertiary Education,West,Not born in Germany,0.06229,51,659,0.04382,0.08075
1984,Second Stage of Tertiary Education,West,Born in Germany or immigrated <1950,0.91172,669,790,0.89192,0.93152
1984,Second Stage of Tertiary Education,West,Not born in Germany,0.08828,121,790,0.06848,0.10808
1985,No answer / don't know,West,Born in Germany or immigrated <1950,0.79343,49,114,0.71879,0.86808
1985,No answer / don't know,West,Not born in Germany,0.20657,65,114,0.13192,0.28121
1985,Pre-primary Level,West,Born in Germany or immigrated <1950,0.95632,165,165,0.92503,0.98760
1985,Primary Level,West,Born in Germany or immigrated <1950,0.40012,89,834,0.36685,0.43339
1985,Primary Level,West,Not born in Germany,0.59988,745,834,0.56661,0.63315
1985,Lower Secondary Level,West,Born in Germany or immigrated <1950,0.90017,2150,3061,0.88955,0.91079
1985,Lower Secondary Level,West,Not born in Germany,0.09983,911,3061,0.08921,0.11045
1985,Upper Secondary Level,West,Born in Germany or immigrated <1950,0.92900,4276,5181,0.92201,0.93600
1985,Upper Secondary Level,West,Not born in Germany,0.07100,905,5181,0.06400,0.07799
1985,Post-secondary Non-tertiary Level,West,Born in Germany or immigrated <1950,0.86369,174,275,0.82306,0.90431
1985,Post-secondary Non-tertiary Level,West,Not born in Germany,0.13631,101,275,0.09569,0.17694
1985,First Stage of Tertiary Education,West,Born in Germany or immigrated <1950,0.93895,572,619,0.92007,0.95783
1985,First Stage of Tertiary Education,West,Not born in Germany,0.06105,47,619,0.04217,0.07993
1985,Second Stage of Tertiary Education,West,Born in Germany or immigrated <1950,0.91292,645,755,0.89279,0.93304
1985,Second Stage of Tertiary Education,West,Not born in Germany,0.08708,110,755,0.06696,0.10721
1986,No answer / don't know,West,Born in Germany or immigrated <1950,0.80994,54,113,0.73727,0.88260
1986,No answer / don't know,West,Not born in Germany,0.19006,59,113,0.11740,0.26273
1986,Pre-primary Level,West,Born in Germany or immigrated <1950,0.93574,157,188,0.90060,0.97089
1986,Pre-primary Level,West,Not born in Germany,0.06426,31,188,0.02911,0.09940
1986,Primary Level,West,Born in Germany or immigrated <1950,0.41495,92,778,0.38030,0.44959
1986,Primary Level,West,Not born in Germany,0.58505,686,778,0.55041,0.61970
1986,Lower Secondary Level,West,Born in Germany or immigrated <1950,0.88785,1991,2907,0.87637,0.89932
1986,Lower Secondary Level,West,Not born in Germany,0.11215,916,2907,0.10068,0.12363
1986,Upper Secondary Level,West,Born in Germany or immigrated <1950,0.92631,4121,4993,0.91907,0.93356
1986,Upper Secondary Level,West,Not born in Germany,0.07369,872,4993,0.06644,0.08093
1986,Post-secondary Non-tertiary Level,West,Born in Germany or immigrated <1950,0.87298,172,274,0.83348,0.91248
1986,Post-secondary Non-tertiary Level,West,Not born in Germany,0.12702,102,274,0.08752,0.16652
1986,First Stage of Tertiary Education,West,Born in Germany or immigrated <1950,0.93218,532,581,0.91172,0.95264
1986,First Stage of Tertiary Education,West,Not born in Germany,0.06782,49,581,0.04736,0.08828
1986,Second Stage of Tertiary Education,West,Born in Germany or immigrated <1950,0.90945,639,749,0.88889,0.93002
1986,Second Stage of Tertiary Education,West,Not born in Germany,0.09055,110,749,0.06998,0.11111
