year,quintil_oecd,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Born in Germany or immigrated <1950,0.87204,1471,2490,0.85892,0.88517
1984,1st Quintile,No answer / don't know,Not born in Germany,0.12796,1019,2490,0.11483,0.14108
1984,2nd Quintile,No answer / don't know,Born in Germany or immigrated <1950,0.88683,1633,2399,0.87415,0.89951
1984,2nd Quintile,No answer / don't know,Not born in Germany,0.11317,766,2399,0.10049,0.12585
1984,3rd Quintile,No answer / don't know,Born in Germany or immigrated <1950,0.90608,1750,2355,0.89430,0.91787
1984,3rd Quintile,No answer / don't know,Not born in Germany,0.09392,605,2355,0.08213,0.10570
1984,4th Quintile,No answer / don't know,Born in Germany or immigrated <1950,0.92441,1896,2485,0.91401,0.93480
1984,4th Quintile,No answer / don't know,Not born in Germany,0.07559,589,2485,0.06520,0.08599
1984,5th Quintile,No answer / don't know,Born in Germany or immigrated <1950,0.93406,2029,2419,0.92417,0.94395
1984,5th Quintile,No answer / don't know,Not born in Germany,0.06594,390,2419,0.05605,0.07583
1985,1st Quintile,Urban regions,Born in Germany or immigrated <1950,0.84449,943,1738,0.82745,0.86154
1985,1st Quintile,Urban regions,Not born in Germany,0.15551,795,1738,0.13846,0.17255
1985,1st Quintile,Rural regions,Born in Germany or immigrated <1950,0.93481,405,519,0.91355,0.95607
1985,1st Quintile,Rural regions,Not born in Germany,0.06519,114,519,0.04393,0.08645
1985,2nd Quintile,Urban regions,Born in Germany or immigrated <1950,0.87639,1089,1661,0.86056,0.89223
1985,2nd Quintile,Urban regions,Not born in Germany,0.12361,572,1661,0.10777,0.13944
1985,2nd Quintile,Rural regions,Born in Germany or immigrated <1950,0.93255,422,498,0.91050,0.95460
1985,2nd Quintile,Rural regions,Not born in Germany,0.06745,76,498,0.04540,0.08950
1985,3rd Quintile,Urban regions,Born in Germany or immigrated <1950,0.90285,1227,1728,0.88888,0.91682
1985,3rd Quintile,Urban regions,Not born in Germany,0.09715,501,1728,0.08318,0.11112
1985,3rd Quintile,Rural regions,Born in Germany or immigrated <1950,0.94944,424,479,0.92980,0.96909
1985,3rd Quintile,Rural regions,Not born in Germany,0.05056,55,479,0.03091,0.07020
1985,4th Quintile,Urban regions,Born in Germany or immigrated <1950,0.90183,1388,1811,0.88812,0.91554
1985,4th Quintile,Urban regions,Not born in Germany,0.09817,423,1811,0.08446,0.11188
1985,4th Quintile,Rural regions,Born in Germany or immigrated <1950,0.95587,345,402,0.93576,0.97597
1985,4th Quintile,Rural regions,Not born in Germany,0.04413,57,402,0.02403,0.06424
1985,5th Quintile,Urban regions,Born in Germany or immigrated <1950,0.93049,1478,1740,0.91853,0.94244
1985,5th Quintile,Urban regions,Not born in Germany,0.06951,262,1740,0.05756,0.08147
1985,5th Quintile,Rural regions,Born in Germany or immigrated <1950,0.95609,394,442,0.93696,0.97521
1985,5th Quintile,Rural regions,Not born in Germany,0.04391,48,442,0.02479,0.06304
1986,1st Quintile,Urban regions,Born in Germany or immigrated <1950,0.84695,929,1628,0.82946,0.86445
1986,1st Quintile,Urban regions,Not born in Germany,0.15305,699,1628,0.13555,0.17054
1986,1st Quintile,Rural regions,Born in Germany or immigrated <1950,0.92287,339,446,0.89808,0.94766
1986,1st Quintile,Rural regions,Not born in Germany,0.07713,107,446,0.05234,0.10192
1986,2nd Quintile,Urban regions,Born in Germany or immigrated <1950,0.86023,1002,1596,0.84321,0.87725
1986,2nd Quintile,Urban regions,Not born in Germany,0.13977,594,1596,0.12275,0.15679
1986,2nd Quintile,Rural regions,Born in Germany or immigrated <1950,0.92868,406,497,0.90603,0.95133
1986,2nd Quintile,Rural regions,Not born in Germany,0.07132,91,497,0.04867,0.09397
1986,3rd Quintile,Urban regions,Born in Germany or immigrated <1950,0.88922,1156,1645,0.87405,0.90439
1986,3rd Quintile,Urban regions,Not born in Germany,0.11078,489,1645,0.09561,0.12595
