"germborn","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","206","0.631757349746108","0.583578112339602","0.679936587152613"
"in Deutschland geboren","1995","(Fach-)Abitur","2","214","0.854943873590737","0.813842117559756","0.896045629621719"
"in Deutschland geboren","1995","(Fach-)Abitur","3","147","0.833240364258562","0.779084808631298","0.887395919885825"
"in Deutschland geboren","1995","(Fach-)Abitur","4","114","0.864041951535465","0.805792459001855","0.922291444069076"
"in Deutschland geboren","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","67","0.80574308918727","0.718501999995722","0.892984178378818"
"in Deutschland geboren","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","148","0.414753479110106","0.37090629975203","0.458600658468183"
"in Deutschland geboren","1995","(noch) kein Abschluss","2","81","0.604084703987722","0.539753502328499","0.668415905646944"
"in Deutschland geboren","1995","(noch) kein Abschluss","3","54","0.718528509629906","0.62994156922305","0.807115450036762"
"in Deutschland geboren","1995","(noch) kein Abschluss","4","32","0.811784946492607","0.71031011524718","0.913259777738035"
"in Deutschland geboren","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","11","","",""
"in Deutschland geboren","1995","AkademikerIn","1 Einkommensschwächstes Quintil","304","0.771570866384265","0.728263861715363","0.814877871053167"
"in Deutschland geboren","1995","AkademikerIn","2","397","0.865129948996821","0.83374359802263","0.896516299971013"
"in Deutschland geboren","1995","AkademikerIn","3","341","0.886059719693833","0.853857750613549","0.918261688774117"
"in Deutschland geboren","1995","AkademikerIn","4","290","0.920097622314601","0.889963072892034","0.950232171737168"
"in Deutschland geboren","1995","AkademikerIn","5 Einkommensstärkstes Quintil","229","0.904578918975793","0.868305105288774","0.940852732662813"
"in Deutschland geboren","1995","Hauptschule","1 Einkommensschwächstes Quintil","1821","0.837025529797386","0.822647868437572","0.8514031911572"
"in Deutschland geboren","1995","Hauptschule","2","1467","0.866978936383703","0.851672756685327","0.882285116082079"
"in Deutschland geboren","1995","Hauptschule","3","787","0.880369912078746","0.859776575846967","0.900963248310525"
"in Deutschland geboren","1995","Hauptschule","4","469","0.900040949094076","0.875286644216862","0.92479525397129"
"in Deutschland geboren","1995","Hauptschule","5 Einkommensstärkstes Quintil","158","0.908472073777114","0.866463164491153","0.950480983063075"
"in Deutschland geboren","1995","Realschule","1 Einkommensschwächstes Quintil","1025","0.937785410804467","0.923419570533332","0.952151251075602"
"in Deutschland geboren","1995","Realschule","2","874","0.942327885315024","0.927263960588183","0.957391810041864"
"in Deutschland geboren","1995","Realschule","3","521","0.953672043271049","0.936041208777465","0.971302877764634"
"in Deutschland geboren","1995","Realschule","4","367","0.951388944572135","0.929879507016108","0.972898382128161"
"in Deutschland geboren","1995","Realschule","5 Einkommensstärkstes Quintil","169","0.923062365920548","0.884131257000761","0.961993474840334"
"nicht in Deutschland geboren","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","179","0.368242650253892","0.320063412847386","0.416421887660398"
"nicht in Deutschland geboren","1995","(Fach-)Abitur","2","68","0.145056126409263","0.103954370378281","0.186157882440244"
"nicht in Deutschland geboren","1995","(Fach-)Abitur","3","35","0.166759635741438","0.112604080114175","0.220915191368702"
"nicht in Deutschland geboren","1995","(Fach-)Abitur","4","19","","",""
"nicht in Deutschland geboren","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","12","","",""
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","337","0.585246520889894","0.541399341531817","0.629093700247971"
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","2","141","0.395915296012278","0.331584094353056","0.460246497671501"
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","3","45","0.281471490370094","0.192884549963238","0.37005843077695"
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","4","25","","",""
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","7","","",""
"nicht in Deutschland geboren","1995","AkademikerIn","1 Einkommensschwächstes Quintil","57","0.228429133615735","0.185122128946833","0.271736138284637"
"nicht in Deutschland geboren","1995","AkademikerIn","2","58","0.134870051003179","0.103483700028987","0.16625640197737"
"nicht in Deutschland geboren","1995","AkademikerIn","3","33","0.113940280306167","0.0817383112258834","0.146142249386451"
"nicht in Deutschland geboren","1995","AkademikerIn","4","21","","",""
"nicht in Deutschland geboren","1995","AkademikerIn","5 Einkommensstärkstes Quintil","23","","",""
"nicht in Deutschland geboren","1995","Hauptschule","1 Einkommensschwächstes Quintil","714","0.162974470202614","0.1485968088428","0.177352131562428"
