year,quintil_oecd,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Born in Germany or immigrated <1950,0.60574,596,1101,0.57686,0.63462
1984,1st Quintile,male,Not born in Germany,0.11083,505,1101,0.09228,0.12939
1984,1st Quintile,female,Born in Germany or immigrated <1950,0.71690,875,1389,0.69320,0.74060
1984,1st Quintile,female,Not born in Germany,0.08934,514,1389,0.07433,0.10434
1984,2nd Quintile,male,Born in Germany or immigrated <1950,0.66978,736,1124,0.64228,0.69729
1984,2nd Quintile,male,Not born in Germany,0.09382,388,1124,0.07676,0.11087
1984,2nd Quintile,female,Born in Germany or immigrated <1950,0.73300,897,1275,0.70871,0.75730
1984,2nd Quintile,female,Not born in Germany,0.08637,378,1275,0.07094,0.10179
1984,3rd Quintile,male,Born in Germany or immigrated <1950,0.72947,859,1188,0.70420,0.75474
1984,3rd Quintile,male,Not born in Germany,0.08308,329,1188,0.06738,0.09878
1984,3rd Quintile,female,Born in Germany or immigrated <1950,0.75194,891,1167,0.72715,0.77673
1984,3rd Quintile,female,Not born in Germany,0.07064,276,1167,0.05594,0.08535
1984,4th Quintile,male,Born in Germany or immigrated <1950,0.77573,938,1267,0.75276,0.79871
1984,4th Quintile,male,Not born in Germany,0.07058,329,1267,0.05647,0.08469
1984,4th Quintile,female,Born in Germany or immigrated <1950,0.80464,958,1218,0.78237,0.82692
1984,4th Quintile,female,Not born in Germany,0.05856,260,1218,0.04537,0.07175
1984,5th Quintile,male,Born in Germany or immigrated <1950,0.84002,1043,1269,0.81984,0.86020
1984,5th Quintile,male,Not born in Germany,0.06208,226,1269,0.04879,0.07536
1984,5th Quintile,female,Born in Germany or immigrated <1950,0.83434,986,1150,0.81285,0.85584
1984,5th Quintile,female,Not born in Germany,0.05600,164,1150,0.04270,0.06929
1985,1st Quintile,male,Born in Germany or immigrated <1950,0.61709,563,1001,0.58696,0.64722
1985,1st Quintile,male,Not born in Germany,0.10293,438,1001,0.08410,0.12176
1985,1st Quintile,female,Born in Germany or immigrated <1950,0.71786,785,1256,0.69296,0.74276
1985,1st Quintile,female,Not born in Germany,0.09832,471,1256,0.08185,0.11479
1985,2nd Quintile,male,Born in Germany or immigrated <1950,0.68938,691,1031,0.66112,0.71764
1985,2nd Quintile,male,Not born in Germany,0.09333,340,1031,0.07557,0.11110
1985,2nd Quintile,female,Born in Germany or immigrated <1950,0.72820,820,1128,0.70222,0.75417
1985,2nd Quintile,female,Not born in Germany,0.08101,308,1128,0.06508,0.09694
1985,3rd Quintile,male,Born in Germany or immigrated <1950,0.74381,799,1109,0.71811,0.76952
1985,3rd Quintile,male,Not born in Germany,0.08030,310,1109,0.06430,0.09630
1985,3rd Quintile,female,Born in Germany or immigrated <1950,0.79762,852,1098,0.77384,0.82139
1985,3rd Quintile,female,Not born in Germany,0.06348,246,1098,0.04905,0.07790
1985,4th Quintile,male,Born in Germany or immigrated <1950,0.79117,876,1148,0.76764,0.81469
1985,4th Quintile,male,Not born in Germany,0.08311,272,1148,0.06713,0.09908
1985,4th Quintile,female,Born in Germany or immigrated <1950,0.80143,857,1065,0.77746,0.82540
1985,4th Quintile,female,Not born in Germany,0.06891,208,1065,0.05369,0.08413
1985,5th Quintile,male,Born in Germany or immigrated <1950,0.85058,945,1122,0.82971,0.87145
1985,5th Quintile,male,Not born in Germany,0.06321,177,1122,0.04896,0.07745
1985,5th Quintile,female,Born in Germany or immigrated <1950,0.84343,927,1060,0.82155,0.86532
1985,5th Quintile,female,Not born in Germany,0.05277,133,1060,0.03930,0.06623
1986,1st Quintile,male,Born in Germany or immigrated <1950,0.62042,523,918,0.58901,0.65183
1986,1st Quintile,male,Not born in Germany,0.11476,395,918,0.09413,0.13539
