year,bula_h,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Born in Germany or immigrated <1950,0.75627,166,166,0.69076,0.82178
1984,Schleswig-Holstein,female,Born in Germany or immigrated <1950,0.81776,180,180,0.76121,0.87432
1984,Hamburg,male,Born in Germany or immigrated <1950,0.79131,104,150,0.72605,0.85656
1984,Hamburg,male,Not born in Germany,0.09445,46,150,0.04749,0.14141
1984,Hamburg,female,Born in Germany or immigrated <1950,0.83219,117,159,0.77392,0.89046
1984,Hamburg,female,Not born in Germany,0.07113,42,159,0.03105,0.11121
1984,Lower Saxony,male,Born in Germany or immigrated <1950,0.76763,491,602,0.73386,0.80139
1984,Lower Saxony,male,Not born in Germany,0.05069,111,602,0.03315,0.06823
1984,Lower Saxony,female,Born in Germany or immigrated <1950,0.78989,544,633,0.75813,0.82165
1984,Lower Saxony,female,Not born in Germany,0.04459,89,633,0.02850,0.06069
1984,Bremen,male,Born in Germany or immigrated <1950,0.77488,45,45,0.65147,0.89829
1984,Bremen,female,Born in Germany or immigrated <1950,0.85676,53,53,0.76154,0.95197
1984,North Rhine-Westphalia,male,Born in Germany or immigrated <1950,0.72048,1107,1603,0.69850,0.74245
1984,North Rhine-Westphalia,male,Not born in Germany,0.08627,496,1603,0.07253,0.10002
1984,North Rhine-Westphalia,female,Born in Germany or immigrated <1950,0.74354,1199,1653,0.72248,0.76459
1984,North Rhine-Westphalia,female,Not born in Germany,0.08224,454,1653,0.06899,0.09549
1984,Hesse,male,Born in Germany or immigrated <1950,0.71754,380,626,0.68225,0.75284
1984,Hesse,male,Not born in Germany,0.11451,246,626,0.08955,0.13948
1984,Hesse,female,Born in Germany or immigrated <1950,0.76288,397,621,0.72941,0.79636
1984,Hesse,female,Not born in Germany,0.10354,224,621,0.07956,0.12753
1984,"Rhineland-Palatinate, Saarland",male,Born in Germany or immigrated <1950,0.77521,333,416,0.73505,0.81538
1984,"Rhineland-Palatinate, Saarland",male,Not born in Germany,0.06680,83,416,0.04278,0.09082
1984,"Rhineland-Palatinate, Saarland",female,Born in Germany or immigrated <1950,0.81293,368,435,0.77624,0.84962
1984,"Rhineland-Palatinate, Saarland",female,Not born in Germany,0.04064,67,435,0.02207,0.05922
1984,Baden-Wuerttemberg,male,Born in Germany or immigrated <1950,0.67082,643,1119,0.64327,0.69836
1984,Baden-Wuerttemberg,male,Not born in Germany,0.11674,476,1119,0.09792,0.13557
1984,Baden-Wuerttemberg,female,Born in Germany or immigrated <1950,0.72149,733,1136,0.69541,0.74757
1984,Baden-Wuerttemberg,female,Not born in Germany,0.09626,403,1136,0.07910,0.11342
1984,Bavaria,male,Born in Germany or immigrated <1950,0.74119,771,991,0.71391,0.76848
1984,Bavaria,male,Not born in Germany,0.06649,220,991,0.05097,0.08201
1984,Bavaria,female,Born in Germany or immigrated <1950,0.77772,875,1101,0.75315,0.80229
1984,Bavaria,female,Not born in Germany,0.06656,226,1101,0.05183,0.08129
1984,Berlin,male,Born in Germany or immigrated <1950,0.72185,137,197,0.65912,0.78458
1984,Berlin,male,Not born in Germany,0.09013,60,197,0.05003,0.13022
1984,Berlin,female,Born in Germany or immigrated <1950,0.77540,155,211,0.71895,0.83184
1984,Berlin,female,Not born in Germany,0.08039,56,211,0.04361,0.11716
1985,Schleswig-Holstein,male,Born in Germany or immigrated <1950,0.75555,148,148,0.68608,0.82503
1985,Schleswig-Holstein,female,Born in Germany or immigrated <1950,0.83366,166,166,0.77684,0.89048
1985,Hamburg,male,Born in Germany or immigrated <1950,0.83258,104,139,0.77029,0.89487
1985,Hamburg,male,Not born in Germany,0.07570,35,139,0.03157,0.11983
1985,Hamburg,female,Born in Germany or immigrated <1950,0.84098,107,141,0.78041,0.90156
1985,Hamburg,female,Not born in Germany,0.06740,34,141,0.02587,0.10894
1985,Lower Saxony,male,Born in Germany or immigrated <1950,0.79762,457,540,0.76370,0.83154
1985,Lower Saxony,male,Not born in Germany,0.04893,83,540,0.03072,0.06714
1985,Lower Saxony,female,Born in Germany or immigrated <1950,0.79842,496,567,0.76537,0.83147
1985,Lower Saxony,female,Not born in Germany,0.04573,71,567,0.02852,0.06294
1985,Bremen,male,Born in Germany or immigrated <1950,0.77509,39,39,0.64233,0.90784
1985,Bremen,female,Born in Germany or immigrated <1950,0.89341,51,51,0.80788,0.97895
1985,North Rhine-Westphalia,male,Born in Germany or immigrated <1950,0.73046,1041,1464,0.70773,0.75320
1985,North Rhine-Westphalia,male,Not born in Germany,0.08571,423,1464,0.07137,0.10006
1985,North Rhine-Westphalia,female,Born in Germany or immigrated <1950,0.75857,1120,1497,0.73689,0.78026
1985,North Rhine-Westphalia,female,Not born in Germany,0.07975,377,1497,0.06602,0.09348
1985,Hesse,male,Born in Germany or immigrated <1950,0.72307,349,570,0.68630,0.75983
1985,Hesse,male,Not born in Germany,0.11906,221,570,0.09245,0.14567
1985,Hesse,female,Born in Germany or immigrated <1950,0.76982,365,564,0.73505,0.80460
1985,Hesse,female,Not born in Germany,0.10739,199,564,0.08181,0.13296
1985,"Rhineland-Palatinate, Saarland",male,Born in Germany or immigrated <1950,0.79652,313,382,0.75609,0.83694
1985,"Rhineland-Palatinate, Saarland",male,Not born in Germany,0.06283,69,382,0.03846,0.08719
1985,"Rhineland-Palatinate, Saarland",female,Born in Germany or immigrated <1950,0.81060,330,390,0.77166,0.84953
1985,"Rhineland-Palatinate, Saarland",female,Not born in Germany,0.04354,60,390,0.02326,0.06381
1985,Baden-Wuerttemberg,male,Born in Germany or immigrated <1950,0.67889,590,1015,0.65015,0.70763
1985,Baden-Wuerttemberg,male,Not born in Germany,0.12600,425,1015,0.10558,0.14643
1985,Baden-Wuerttemberg,female,Born in Germany or immigrated <1950,0.72611,666,1026,0.69881,0.75341
1985,Baden-Wuerttemberg,female,Not born in Germany,0.10198,360,1026,0.08346,0.12051
1985,Bavaria,male,Born in Germany or immigrated <1950,0.75264,712,903,0.72448,0.78080
1985,Bavaria,male,Not born in Germany,0.06676,191,903,0.05047,0.08306
1985,Bavaria,female,Born in Germany or immigrated <1950,0.78378,803,994,0.75818,0.80939
1985,Bavaria,female,Not born in Germany,0.06854,191,994,0.05283,0.08426
1985,Berlin,male,Born in Germany or immigrated <1950,0.73974,122,176,0.67473,0.80475
1985,Berlin,male,Not born in Germany,0.09481,54,176,0.05141,0.13822
1985,Berlin,female,Born in Germany or immigrated <1950,0.78183,141,189,0.72279,0.84087
1985,Berlin,female,Not born in Germany,0.08417,48,189,0.04448,0.12386
1986,Schleswig-Holstein,male,Born in Germany or immigrated <1950,0.77475,138,138,0.70480,0.84471
1986,Schleswig-Holstein,female,Born in Germany or immigrated <1950,0.81916,147,147,0.75672,0.88159
1986,Hamburg,male,Born in Germany or immigrated <1950,0.83870,92,128,0.77473,0.90267
1986,Hamburg,male,Not born in Germany,0.07845,36,128,0.03169,0.12522
1986,Hamburg,female,Born in Germany or immigrated <1950,0.83417,94,128,0.76949,0.89886
1986,Hamburg,female,Not born in Germany,0.07202,34,128,0.02706,0.11698
1986,Lower Saxony,male,Born in Germany or immigrated <1950,0.79674,450,541,0.76280,0.83069
1986,Lower Saxony,male,Not born in Germany,0.05466,91,541,0.03549,0.07383
1986,Lower Saxony,female,Born in Germany or immigrated <1950,0.79021,486,567,0.75666,0.82375
1986,Lower Saxony,female,Not born in Germany,0.05320,81,567,0.03471,0.07169
1986,Bremen,male,Born in Germany or immigrated <1950,0.75876,36,36,0.61702,0.90050
1986,Bremen,female,Born in Germany or immigrated <1950,0.92024,49,49,0.84359,0.99688
1986,North Rhine-Westphalia,male,Born in Germany or immigrated <1950,0.72613,1003,1422,0.70295,0.74932
1986,North Rhine-Westphalia,male,Not born in Germany,0.09073,419,1422,0.07579,0.10566
1986,North Rhine-Westphalia,female,Born in Germany or immigrated <1950,0.75273,1081,1436,0.73041,0.77506
1986,North Rhine-Westphalia,female,Not born in Germany,0.08058,355,1436,0.06650,0.09466
1986,Hesse,male,Born in Germany or immigrated <1950,0.71146,323,524,0.67263,0.75030
1986,Hesse,male,Not born in Germany,0.12405,201,524,0.09580,0.15230
1986,Hesse,female,Born in Germany or immigrated <1950,0.75848,348,525,0.72184,0.79513
1986,Hesse,female,Not born in Germany,0.10852,177,525,0.08189,0.13515
1986,"Rhineland-Palatinate, Saarland",male,Born in Germany or immigrated <1950,0.79178,308,377,0.75074,0.83282
1986,"Rhineland-Palatinate, Saarland",male,Not born in Germany,0.06400,69,377,0.03926,0.08873
1986,"Rhineland-Palatinate, Saarland",female,Born in Germany or immigrated <1950,0.81271,335,392,0.77404,0.85139
1986,"Rhineland-Palatinate, Saarland",female,Not born in Germany,0.04377,57,392,0.02349,0.06405
1986,Baden-Wuerttemberg,male,Born in Germany or immigrated <1950,0.67636,585,1005,0.64742,0.70530
1986,Baden-Wuerttemberg,male,Not born in Germany,0.13309,420,1005,0.11208,0.15410
1986,Baden-Wuerttemberg,female,Born in Germany or immigrated <1950,0.72306,637,983,0.69508,0.75105
1986,Baden-Wuerttemberg,female,Not born in Germany,0.10977,346,983,0.09022,0.12933
1986,Bavaria,male,Born in Germany or immigrated <1950,0.74593,662,850,0.71665,0.77522
1986,Bavaria,male,Not born in Germany,0.07243,188,850,0.05500,0.08987
1986,Bavaria,female,Born in Germany or immigrated <1950,0.77328,738,923,0.74625,0.80031
1986,Bavaria,female,Not born in Germany,0.07272,185,923,0.05596,0.08948
1986,Berlin,male,Born in Germany or immigrated <1950,0.75088,120,176,0.68680,0.81496
1986,Berlin,male,Not born in Germany,0.10072,56,176,0.05613,0.14531
1986,Berlin,female,Born in Germany or immigrated <1950,0.76126,126,176,0.69810,0.82442
1986,Berlin,female,Not born in Germany,0.09418,50,176,0.05090,0.13745
1987,Schleswig-Holstein,male,Born in Germany or immigrated <1950,0.75734,132,132,0.68393,0.83075
1987,Schleswig-Holstein,female,Born in Germany or immigrated <1950,0.80698,151,151,0.74382,0.87014
1987,Hamburg,male,Born in Germany or immigrated <1950,0.81509,82,113,0.74319,0.88699
1987,Hamburg,male,Not born in Germany,0.08083,31,113,0.03035,0.13131
1987,Hamburg,female,Born in Germany or immigrated <1950,0.83034,81,113,0.76083,0.89986
1987,Hamburg,female,Not born in Germany,0.07469,32,113,0.02600,0.12338
1987,Lower Saxony,male,Born in Germany or immigrated <1950,0.79315,452,539,0.75892,0.82738
1987,Lower Saxony,male,Not born in Germany,0.05536,87,539,0.03604,0.07469
1987,Lower Saxony,female,Born in Germany or immigrated <1950,0.78907,485,566,0.75543,0.82271
1987,Lower Saxony,female,Not born in Germany,0.05384,81,566,0.03523,0.07245
1987,Bremen,male,Born in Germany or immigrated <1950,0.74405,33,33,0.59284,0.89525
