year,quintil_oecd,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Born in Germany or immigrated <1950,0.67029,1471,2490,0.65182,0.68876
1984,1st Quintile,West,Not born in Germany,0.09835,1019,2490,0.08665,0.11005
1984,2nd Quintile,West,Born in Germany or immigrated <1950,0.70378,1633,2399,0.68550,0.72205
1984,2nd Quintile,West,Not born in Germany,0.08981,766,2399,0.07837,0.10125
1984,3rd Quintile,West,Born in Germany or immigrated <1950,0.74083,1750,2355,0.72313,0.75853
1984,3rd Quintile,West,Not born in Germany,0.07679,605,2355,0.06603,0.08755
1984,4th Quintile,West,Born in Germany or immigrated <1950,0.79009,1896,2485,0.77408,0.80611
1984,4th Quintile,West,Not born in Germany,0.06461,589,2485,0.05494,0.07428
1984,5th Quintile,West,Born in Germany or immigrated <1950,0.83725,2029,2419,0.82253,0.85196
1984,5th Quintile,West,Not born in Germany,0.05911,390,2419,0.04971,0.06851
1985,1st Quintile,West,Born in Germany or immigrated <1950,0.67487,1348,2257,0.65554,0.69420
1985,1st Quintile,West,Not born in Germany,0.10029,909,2257,0.08789,0.11268
1985,2nd Quintile,West,Born in Germany or immigrated <1950,0.71050,1511,2159,0.69136,0.72963
1985,2nd Quintile,West,Not born in Germany,0.08663,648,2159,0.07476,0.09850
1985,3rd Quintile,West,Born in Germany or immigrated <1950,0.77128,1651,2207,0.75375,0.78880
1985,3rd Quintile,West,Not born in Germany,0.07171,556,2207,0.06094,0.08248
1985,4th Quintile,West,Born in Germany or immigrated <1950,0.79621,1733,2213,0.77943,0.81300
1985,4th Quintile,West,Not born in Germany,0.07613,480,2213,0.06507,0.08718
1985,5th Quintile,West,Born in Germany or immigrated <1950,0.84704,1872,2182,0.83193,0.86215
1985,5th Quintile,West,Not born in Germany,0.05804,310,2182,0.04823,0.06785
1986,1st Quintile,West,Born in Germany or immigrated <1950,0.67750,1268,2074,0.65738,0.69762
1986,1st Quintile,West,Not born in Germany,0.10402,806,2074,0.09088,0.11716
1986,2nd Quintile,West,Born in Germany or immigrated <1950,0.69663,1408,2093,0.67693,0.71633
1986,2nd Quintile,West,Not born in Germany,0.09570,685,2093,0.08309,0.10830
1986,3rd Quintile,West,Born in Germany or immigrated <1950,0.75040,1552,2099,0.73188,0.76892
1986,3rd Quintile,West,Not born in Germany,0.08123,547,2099,0.06954,0.09292
1986,4th Quintile,West,Born in Germany or immigrated <1950,0.80495,1718,2218,0.78846,0.82145
1986,4th Quintile,West,Not born in Germany,0.07226,500,2218,0.06148,0.08304
1986,5th Quintile,West,Born in Germany or immigrated <1950,0.84239,1808,2095,0.82678,0.85800
1986,5th Quintile,West,Not born in Germany,0.06219,287,2095,0.05185,0.07253
1987,1st Quintile,West,Born in Germany or immigrated <1950,0.67624,1236,2036,0.65591,0.69657
1987,1st Quintile,West,Not born in Germany,0.10795,800,2036,0.09446,0.12143
1987,2nd Quintile,West,Born in Germany or immigrated <1950,0.69201,1396,2064,0.67208,0.71193
1987,2nd Quintile,West,Not born in Germany,0.09533,668,2064,0.08265,0.10800
1987,3rd Quintile,West,Born in Germany or immigrated <1950,0.74070,1541,2104,0.72197,0.75943
1987,3rd Quintile,West,Not born in Germany,0.08639,563,2104,0.07438,0.09840
1987,4th Quintile,West,Born in Germany or immigrated <1950,0.79778,1672,2157,0.78083,0.81473
1987,4th Quintile,West,Not born in Germany,0.07851,485,2157,0.06716,0.08987
1987,5th Quintile,West,Born in Germany or immigrated <1950,0.83695,1794,2091,0.82111,0.85279
1987,5th Quintile,West,Not born in Germany,0.06421,297,2091,0.05370,0.07472
1988,1st Quintile,West,Born in Germany or immigrated <1950,0.66598,1193,1973,0.64517,0.68680
1988,1st Quintile,West,Not born in Germany,0.11168,780,1973,0.09778,0.12558
1988,2nd Quintile,West,Born in Germany or immigrated <1950,0.69945,1367,1984,0.67927,0.71963
1988,2nd Quintile,West,Not born in Germany,0.08657,617,1984,0.07419,0.09895
1988,3rd Quintile,West,Born in Germany or immigrated <1950,0.75217,1481,2006,0.73327,0.77107
1988,3rd Quintile,West,Not born in Germany,0.07978,525,2006,0.06792,0.09165
1988,4th Quintile,West,Born in Germany or immigrated <1950,0.78523,1573,2064,0.76750,0.80295
1988,4th Quintile,West,Not born in Germany,0.08532,491,2064,0.07327,0.09738
1988,5th Quintile,West,Born in Germany or immigrated <1950,0.85153,1687,1943,0.83572,0.86734
1988,5th Quintile,West,Not born in Germany,0.05881,256,1943,0.04834,0.06927
1989,1st Quintile,West,Born in Germany or immigrated <1950,0.66315,1144,1932,0.64207,0.68424
1989,1st Quintile,West,Not born in Germany,0.12002,788,1932,0.10552,0.13451
1989,2nd Quintile,West,Born in Germany or immigrated <1950,0.66935,1300,1965,0.64854,0.69015
1989,2nd Quintile,West,Not born in Germany,0.11028,665,1965,0.09643,0.12414
