year,age_gr,pgisced97,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.97399,166,166,0.94970,0.99827
1984,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.64536,53,206,0.57987,0.71085
1984,17-29 y.,Primary Level,Not born in Germany,0.35464,153,206,0.28915,0.42013
1984,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.88186,652,1046,0.86229,0.90143
1984,17-29 y.,Lower Secondary Level,Not born in Germany,0.11814,394,1046,0.09857,0.13771
1984,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92454,1264,1603,0.91160,0.93747
1984,17-29 y.,Upper Secondary Level,Not born in Germany,0.07546,339,1603,0.06253,0.08840
1984,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.85092,86,125,0.78824,0.91361
1984,17-29 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.14908,39,125,0.08639,0.21176
1984,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93495,114,114,0.88948,0.98042
1984,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89302,100,100,0.83214,0.95391
1984,30-45 y.,Primary Level,Not born in Germany,0.85894,386,386,0.82417,0.89371
1984,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.80314,395,804,0.77564,0.83064
1984,30-45 y.,Lower Secondary Level,Not born in Germany,0.19686,409,804,0.16936,0.22436
1984,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.91436,1528,1950,0.90194,0.92678
1984,30-45 y.,Upper Secondary Level,Not born in Germany,0.08564,422,1950,0.07322,0.09806
1984,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.66774,34,99,0.57448,0.76100
1984,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.33226,65,99,0.23900,0.42552
1984,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91852,223,223,0.88253,0.95451
1984,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90756,320,378,0.87832,0.93680
1984,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.09244,58,378,0.06320,0.12168
1984,46-65 y.,Primary Level,Not born in Germany,0.85836,371,371,0.82283,0.89389
1984,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.90972,844,1084,0.89266,0.92679
1984,46-65 y.,Lower Secondary Level,Not born in Germany,0.09028,240,1084,0.07321,0.10734
1984,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92482,1329,1583,0.91183,0.93781
