"germborn","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","maennlich","349","0.873535481876138","0.844885296171519","0.902185667580757"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","weiblich","247","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","maennlich","119","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","weiblich","122","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","maennlich","456","0.919330423506212","0.896254350475188","0.942406496537236"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","weiblich","213","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","maennlich","2523","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","weiblich","2999","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","maennlich","721","0.942371959757586","0.926069941858463","0.95867397765671"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","weiblich","1025","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","maennlich","168","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","weiblich","104","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","maennlich","454","0.409645408861398","0.369380075549831","0.449910742172965"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","weiblich","586","0.455404968765776","0.418721771449986","0.492088166081566"
"nicht in Deutschland geboren","1984","AkademikerIn","maennlich","79","0.0806695764937881","0.0575935034627642","0.103745649524812"
"nicht in Deutschland geboren","1984","AkademikerIn","weiblich","42","0.103858261188386","0.0664138610784058","0.141302661298366"
"nicht in Deutschland geboren","1984","Hauptschule","maennlich","977","0.0915554882676093","0.0820010433032326","0.101109933231986"
"nicht in Deutschland geboren","1984","Hauptschule","weiblich","750","0.0710789765889078","0.0628537030474683","0.0793042501303474"
"nicht in Deutschland geboren","1984","Realschule","maennlich","64","0.0576280402424136","0.0413260223432898","0.0739300581415374"
"nicht in Deutschland geboren","1984","Realschule","weiblich","75","0.0461668329075403","0.0337659387832165","0.0585677270318641"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","maennlich","323","0.881098613914804","0.851616181391789","0.91058104643782"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","weiblich","234","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","maennlich","137","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","weiblich","106","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","maennlich","440","0.919947501282189","0.896372150246662","0.943522852317715"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","weiblich","205","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","maennlich","2258","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","weiblich","2679","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","maennlich","691","0.938802448937711","0.921693767231126","0.955911130644297"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","weiblich","986","0.952789549124935","0.940027865743121","0.96555123250675"
"nicht in Deutschland geboren","1985","(Fach-)Abitur","maennlich","140","","",""
"nicht in Deutschland geboren","1985","(Fach-)Abitur","weiblich","90","0.123944633781266","0.0880644030359039","0.159824864526629"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","maennlich","363","0.326915401192109","0.28579895162325","0.368031850760969"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","weiblich","481","0.457582816437493","0.417280443855329","0.497885189019658"
"nicht in Deutschland geboren","1985","AkademikerIn","maennlich","69","0.0800524987178114","0.0564771476822852","0.103627849753338"
"nicht in Deutschland geboren","1985","AkademikerIn","weiblich","41","0.101317387577006","0.0636100647953514","0.139024710358661"
"nicht in Deutschland geboren","1985","Hauptschule","maennlich","870","0.0953558784665775","0.0850632253296029","0.105648531603552"
"nicht in Deutschland geboren","1985","Hauptschule","weiblich","634","0.0736060660017271","0.0647142180497041","0.0824979139537501"
"nicht in Deutschland geboren","1985","Realschule","maennlich","63","0.0611975510622885","0.0440888693557035","0.0783062327688736"
"nicht in Deutschland geboren","1985","Realschule","weiblich","75","0.0472104508750648","0.0344487674932504","0.0599721342568792"
"in Deutschland geboren oder immigr.<1950","1986","(Fach-)Abitur","maennlich","330","0.88572506431828","0.856962730522969","0.914487398113592"
"in Deutschland geboren oder immigr.<1950","1986","(Fach-)Abitur","weiblich","249","","",""
"in Deutschland geboren oder immigr.<1950","1986","(noch) kein Abschluss","maennlich","133","","",""
"in Deutschland geboren oder immigr.<1950","1986","(noch) kein Abschluss","weiblich","106","","",""
"in Deutschland geboren oder immigr.<1950","1986","AkademikerIn","maennlich","432","0.914035159159643","0.889587105817428","0.938483212501859"
"in Deutschland geboren oder immigr.<1950","1986","AkademikerIn","weiblich","207","","",""
"in Deutschland geboren oder immigr.<1950","1986","Hauptschule","maennlich","2122","","",""
"in Deutschland geboren oder immigr.<1950","1986","Hauptschule","weiblich","2488","","",""
"in Deutschland geboren oder immigr.<1950","1986","Realschule","maennlich","673","0.935464469327174","0.917737560896867","0.953191377757481"
"in Deutschland geboren oder immigr.<1950","1986","Realschule","weiblich","954","0.950963259587474","0.93780099890902","0.964125520265927"
"nicht in Deutschland geboren","1986","(Fach-)Abitur","maennlich","140","","",""
"nicht in Deutschland geboren","1986","(Fach-)Abitur","weiblich","89","0.116821677484748","0.0825783735643716","0.151064981405125"
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","maennlich","347","0.35920771728165","0.316287793903045","0.402127640660255"
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","weiblich","442","0.477217910850279","0.435398632967594","0.519037188732965"
"nicht in Deutschland geboren","1986","AkademikerIn","maennlich","73","0.0859648408403567","0.0615167874981416","0.110412894182572"
"nicht in Deutschland geboren","1986","AkademikerIn","weiblich","37","0.0998265144300856","0.0622134047895418","0.137439624070629"
"nicht in Deutschland geboren","1986","Hauptschule","maennlich","856","0.103199656018494","0.0922733652863417","0.114125946750646"
