year,age_gr,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Born in Germany or immigrated <1950,0.89939,1223,1736,0.88523,0.91354
1984,17-29 y.,male,Not born in Germany,0.10061,513,1736,0.08646,0.11477
1984,17-29 y.,female,Born in Germany or immigrated <1950,0.90721,1218,1706,0.89344,0.92099
1984,17-29 y.,female,Not born in Germany,0.09279,488,1706,0.07901,0.10656
1984,30-45 y.,male,Born in Germany or immigrated <1950,0.86692,1225,1937,0.85179,0.88205
1984,30-45 y.,male,Not born in Germany,0.13308,712,1937,0.11795,0.14821
1984,30-45 y.,female,Born in Germany or immigrated <1950,0.86463,1292,1969,0.84951,0.87974
1984,30-45 y.,female,Not born in Germany,0.13537,677,1969,0.12026,0.15049
1984,46-65 y.,male,Born in Germany or immigrated <1950,0.89059,1235,1778,0.87608,0.90510
1984,46-65 y.,male,Not born in Germany,0.10941,543,1778,0.09490,0.12392
1984,46-65 y.,female,Born in Germany or immigrated <1950,0.91235,1373,1778,0.89920,0.92550
1984,46-65 y.,female,Not born in Germany,0.08765,405,1778,0.07450,0.10080
1984,66 and older,male,Born in Germany or immigrated <1950,0.97857,494,494,0.96579,0.99136
1984,66 and older,female,Born in Germany or immigrated <1950,0.97884,738,738,0.96845,0.98923
1985,17-29 y.,male,Born in Germany or immigrated <1950,0.90706,1175,1611,0.89288,0.92124
1985,17-29 y.,male,Not born in Germany,0.09294,436,1611,0.07876,0.10712
1985,17-29 y.,female,Born in Germany or immigrated <1950,0.91633,1140,1529,0.90244,0.93021
1985,17-29 y.,female,Not born in Germany,0.08367,389,1529,0.06979,0.09756
1985,30-45 y.,male,Born in Germany or immigrated <1950,0.86402,1112,1707,0.84775,0.88028
1985,30-45 y.,male,Not born in Germany,0.13598,595,1707,0.11972,0.15225
1985,30-45 y.,female,Born in Germany or immigrated <1950,0.86564,1182,1768,0.84973,0.88154
1985,30-45 y.,female,Not born in Germany,0.13436,586,1768,0.11846,0.15027
1985,46-65 y.,male,Born in Germany or immigrated <1950,0.88997,1157,1653,0.87488,0.90506
1985,46-65 y.,male,Not born in Germany,0.11003,496,1653,0.09494,0.12512
1985,46-65 y.,female,Born in Germany or immigrated <1950,0.90736,1284,1651,0.89337,0.92135
1985,46-65 y.,female,Not born in Germany,0.09264,367,1651,0.07865,0.10663
1985,66 and older,male,Born in Germany or immigrated <1950,0.97108,431,431,0.95523,0.98692
1985,66 and older,female,Born in Germany or immigrated <1950,0.97259,639,639,0.95992,0.98526
1986,17-29 y.,male,Born in Germany or immigrated <1950,0.90456,1147,1588,0.89010,0.91901
1986,17-29 y.,male,Not born in Germany,0.09544,441,1588,0.08099,0.10990
1986,17-29 y.,female,Born in Germany or immigrated <1950,0.91842,1109,1469,0.90441,0.93242
1986,17-29 y.,female,Not born in Germany,0.08158,360,1469,0.06758,0.09559
1986,30-45 y.,male,Born in Germany or immigrated <1950,0.86216,1042,1580,0.84516,0.87917
1986,30-45 y.,male,Not born in Germany,0.13784,538,1580,0.12083,0.15484
1986,30-45 y.,female,Born in Germany or immigrated <1950,0.85688,1125,1689,0.84018,0.87359
1986,30-45 y.,female,Not born in Germany,0.14312,564,1689,0.12641,0.15982
1986,46-65 y.,male,Born in Germany or immigrated <1950,0.87989,1127,1645,0.86417,0.89560
1986,46-65 y.,male,Not born in Germany,0.12011,518,1645,0.10440,0.13583
1986,46-65 y.,female,Born in Germany or immigrated <1950,0.90626,1227,1583,0.89190,0.92062
1986,46-65 y.,female,Not born in Germany,0.09374,356,1583,0.07938,0.10810
1986,66 and older,male,Born in Germany or immigrated <1950,0.95833,401,401,0.93874,0.97791
1986,66 and older,female,Born in Germany or immigrated <1950,0.95970,580,612,0.94411,0.97529
1986,66 and older,female,Not born in Germany,0.04030,32,612,0.02471,0.05589
1987,17-29 y.,male,Born in Germany or immigrated <1950,0.89972,1129,1570,0.88485,0.91458
1987,17-29 y.,male,Not born in Germany,0.10028,441,1570,0.08542,0.11515
1987,17-29 y.,female,Born in Germany or immigrated <1950,0.91568,1085,1441,0.90133,0.93004
1987,17-29 y.,female,Not born in Germany,0.08432,356,1441,0.06996,0.09867
1987,30-45 y.,male,Born in Germany or immigrated <1950,0.86361,1044,1548,0.84651,0.88071
1987,30-45 y.,male,Not born in Germany,0.13639,504,1548,0.11929,0.15349
1987,30-45 y.,female,Born in Germany or immigrated <1950,0.85072,1072,1620,0.83336,0.86808
1987,30-45 y.,female,Not born in Germany,0.14928,548,1620,0.13192,0.16664
1987,46-65 y.,male,Born in Germany or immigrated <1950,0.86983,1099,1634,0.85351,0.88616
1987,46-65 y.,male,Not born in Germany,0.13017,535,1634,0.11384,0.14649
1987,46-65 y.,female,Born in Germany or immigrated <1950,0.89722,1199,1574,0.88221,0.91222
1987,46-65 y.,female,Not born in Germany,0.10278,375,1574,0.08778,0.11779
1987,66 and older,male,Born in Germany or immigrated <1950,0.95489,401,401,0.93455,0.97523
1987,66 and older,female,Born in Germany or immigrated <1950,0.95962,611,645,0.94441,0.97482
1987,66 and older,female,Not born in Germany,0.04038,34,645,0.02518,0.05559
1988,17-29 y.,male,Born in Germany or immigrated <1950,0.90312,1079,1494,0.88812,0.91812
1988,17-29 y.,male,Not born in Germany,0.09688,415,1494,0.08188,0.11188
1988,17-29 y.,female,Born in Germany or immigrated <1950,0.91483,1025,1379,0.90009,0.92957
1988,17-29 y.,female,Not born in Germany,0.08517,354,1379,0.07043,0.09991
