"germborn","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren","1984","(Fach-)Abitur","596","0.86915695352801","0.846722646630661","0.891591260425359"
"in Deutschland geboren","1984","(noch) kein Abschluss","241","0.566406364586601","0.539268289616355","0.593544439556846"
"in Deutschland geboren","1984","AkademikerIn","669","0.911718920470458","0.8919356154613","0.931502225479616"
"in Deutschland geboren","1984","Hauptschule","5522","0.919642429257626","0.913384481391775","0.925900377123478"
"in Deutschland geboren","1984","Realschule","1746","0.949217582529621","0.939306251383966","0.959128913675277"
"nicht in Deutschland geboren","1984","(Fach-)Abitur","272","0.13084304647199","0.108408739574641","0.153277353369339"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","1040","0.433593635413399","0.406455560443154","0.460731710383645"
"nicht in Deutschland geboren","1984","AkademikerIn","121","0.0882810795295416","0.0684977745203835","0.1080643845387"
"nicht in Deutschland geboren","1984","Hauptschule","1727","0.0803575707423737","0.074099622876522","0.0866155186082254"
"nicht in Deutschland geboren","1984","Realschule","139","0.0507824174703786","0.0408710863247234","0.0606937486160338"
"in Deutschland geboren","1985","(Fach-)Abitur","557","0.87897886440877","0.856192210672309","0.901765518145231"
"in Deutschland geboren","1985","(noch) kein Abschluss","243","0.611008032021759","0.582026115871965","0.639989948171553"
"in Deutschland geboren","1985","AkademikerIn","645","0.912883339098029","0.892767744883844","0.932998933312213"
"in Deutschland geboren","1985","Hauptschule","4937","0.916525407919118","0.909770477984762","0.923280337853475"
"in Deutschland geboren","1985","Realschule","1677","0.947204418285658","0.936916430887212","0.957492405684104"
"nicht in Deutschland geboren","1985","(Fach-)Abitur","230","0.12102113559123","0.0982344818547693","0.143807789327691"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","844","0.388991967978241","0.360010051828447","0.417973884128035"
"nicht in Deutschland geboren","1985","AkademikerIn","110","0.0871166609019714","0.0670010666877869","0.107232255116156"
"nicht in Deutschland geboren","1985","Hauptschule","1504","0.0834745920808817","0.0767196621465249","0.0902295220152385"
"nicht in Deutschland geboren","1985","Realschule","138","0.0527955817143416","0.0425075943158956","0.0630835691127877"
