year,bula_h,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Born in Germany or immigrated <1950,0.79649,146,146,0.73096,0.86202
1985,Schleswig-Holstein,Rural regions,Born in Germany or immigrated <1950,0.79489,168,168,0.73365,0.85613
1985,Hamburg,Urban regions,Born in Germany or immigrated <1950,0.83579,205,274,0.79184,0.87973
1985,Hamburg,Urban regions,Not born in Germany,0.07349,69,274,0.04253,0.10444
1985,Lower Saxony,Urban regions,Born in Germany or immigrated <1950,0.78710,414,511,0.75157,0.82263
1985,Lower Saxony,Urban regions,Not born in Germany,0.06437,97,511,0.04307,0.08566
1985,Lower Saxony,Rural regions,Born in Germany or immigrated <1950,0.80633,539,596,0.77457,0.83808
1985,Lower Saxony,Rural regions,Not born in Germany,0.03425,57,596,0.01963,0.04886
1985,Bremen,Urban regions,Born in Germany or immigrated <1950,0.84053,90,90,0.76447,0.91660
1985,North Rhine-Westphalia,Urban regions,Born in Germany or immigrated <1950,0.74341,2091,2888,0.72748,0.75935
1985,North Rhine-Westphalia,Urban regions,Not born in Germany,0.08411,797,2888,0.07398,0.09423
1985,North Rhine-Westphalia,Rural regions,Born in Germany or immigrated <1950,0.79891,70,70,0.70433,0.89348
1985,Hesse,Urban regions,Born in Germany or immigrated <1950,0.73412,595,979,0.70643,0.76181
1985,Hesse,Urban regions,Not born in Germany,0.12168,384,979,0.10119,0.14217
1985,Hesse,Rural regions,Born in Germany or immigrated <1950,0.80762,119,155,0.74537,0.86988
1985,Hesse,Rural regions,Not born in Germany,0.06993,36,155,0.02965,0.11020
1985,"Rhineland-Palatinate, Saarland",Urban regions,Born in Germany or immigrated <1950,0.79758,508,632,0.76623,0.82893
1985,"Rhineland-Palatinate, Saarland",Urban regions,Not born in Germany,0.06018,124,632,0.04162,0.07873
1985,"Rhineland-Palatinate, Saarland",Rural regions,Born in Germany or immigrated <1950,0.82783,135,135,0.76390,0.89175
1985,Baden-Wuerttemberg,Urban regions,Born in Germany or immigrated <1950,0.70348,1055,1745,0.68205,0.72492
1985,Baden-Wuerttemberg,Urban regions,Not born in Germany,0.11859,690,1745,0.10342,0.13377
1985,Baden-Wuerttemberg,Rural regions,Born in Germany or immigrated <1950,0.70599,201,296,0.65400,0.75798
1985,Baden-Wuerttemberg,Rural regions,Not born in Germany,0.08552,95,296,0.05360,0.11743
1985,Bavaria,Urban regions,Born in Germany or immigrated <1950,0.77437,763,1007,0.74854,0.80020
1985,Bavaria,Urban regions,Not born in Germany,0.08663,244,1007,0.06925,0.10402
1985,Bavaria,Rural regions,Born in Germany or immigrated <1950,0.76420,752,890,0.73629,0.79210
1985,Bavaria,Rural regions,Not born in Germany,0.04955,138,890,0.03529,0.06382
1985,Berlin,Urban regions,Born in Germany or immigrated <1950,0.76232,263,365,0.71859,0.80605
1985,Berlin,Urban regions,Not born in Germany,0.08910,102,365,0.05984,0.11837
1986,Schleswig-Holstein,Urban regions,Born in Germany or immigrated <1950,0.77751,131,131,0.70602,0.84901
1986,Schleswig-Holstein,Rural regions,Born in Germany or immigrated <1950,0.81319,154,154,0.75143,0.87495
1986,Hamburg,Urban regions,Born in Germany or immigrated <1950,0.83794,180,250,0.79217,0.88371
1986,Hamburg,Urban regions,Not born in Germany,0.07786,70,250,0.04458,0.11115
1986,Lower Saxony,Urban regions,Born in Germany or immigrated <1950,0.79546,420,531,0.76112,0.82980
1986,Lower Saxony,Urban regions,Not born in Germany,0.07057,111,531,0.04876,0.09237
1986,Lower Saxony,Rural regions,Born in Germany or immigrated <1950,0.79149,516,577,0.75831,0.82466
1986,Lower Saxony,Rural regions,Not born in Germany,0.04060,61,577,0.02449,0.05672
1986,Bremen,Urban regions,Born in Germany or immigrated <1950,0.85233,85,85,0.77646,0.92820
1986,North Rhine-Westphalia,Urban regions,Born in Germany or immigrated <1950,0.73839,2018,2789,0.72208,0.75471
1986,North Rhine-Westphalia,Urban regions,Not born in Germany,0.08682,771,2789,0.07637,0.09727
1986,North Rhine-Westphalia,Rural regions,Born in Germany or immigrated <1950,0.79235,66,66,0.69374,0.89096
1986,Hesse,Urban regions,Born in Germany or immigrated <1950,0.72228,562,906,0.69310,0.75146
1986,Hesse,Urban regions,Not born in Germany,0.12356,344,906,0.10212,0.14500
1986,Hesse,Rural regions,Born in Germany or immigrated <1950,0.80197,109,143,0.73642,0.86751
1986,Hesse,Rural regions,Not born in Germany,0.07777,34,143,0.03372,0.12182
1986,"Rhineland-Palatinate, Saarland",Urban regions,Born in Germany or immigrated <1950,0.79491,502,623,0.76318,0.82664
1986,"Rhineland-Palatinate, Saarland",Urban regions,Not born in Germany,0.06279,121,623,0.04372,0.08185
1986,"Rhineland-Palatinate, Saarland",Rural regions,Born in Germany or immigrated <1950,0.83127,141,141,0.76924,0.89331
1986,Baden-Wuerttemberg,Urban regions,Born in Germany or immigrated <1950,0.70130,1027,1687,0.67946,0.72315
1986,Baden-Wuerttemberg,Urban regions,Not born in Germany,0.12350,660,1687,0.10780,0.13921
1986,Baden-Wuerttemberg,Rural regions,Born in Germany or immigrated <1950,0.69751,195,301,0.64553,0.74949
1986,Baden-Wuerttemberg,Rural regions,Not born in Germany,0.10780,106,301,0.07271,0.14289
1986,Bavaria,Urban regions,Born in Germany or immigrated <1950,0.77317,718,953,0.74657,0.79978
1986,Bavaria,Urban regions,Not born in Germany,0.09029,235,953,0.07208,0.10849
1986,Bavaria,Rural regions,Born in Germany or immigrated <1950,0.74776,682,820,0.71802,0.77750
1986,Bavaria,Rural regions,Not born in Germany,0.05503,138,820,0.03942,0.07065
1986,Berlin,Urban regions,Born in Germany or immigrated <1950,0.75631,246,352,0.71139,0.80122
1986,Berlin,Urban regions,Not born in Germany,0.09730,106,352,0.06629,0.12830
1987,Schleswig-Holstein,Urban regions,Born in Germany or immigrated <1950,0.77168,126,126,0.69810,0.84527
1987,Schleswig-Holstein,Rural regions,Born in Germany or immigrated <1950,0.79175,157,157,0.72803,0.85547
1987,Hamburg,Urban regions,Born in Germany or immigrated <1950,0.81873,159,222,0.76794,0.86952
1987,Hamburg,Urban regions,Not born in Germany,0.07951,63,222,0.04384,0.11518
1987,Lower Saxony,Urban regions,Born in Germany or immigrated <1950,0.79648,424,532,0.76224,0.83073
1987,Lower Saxony,Urban regions,Not born in Germany,0.07218,108,532,0.05017,0.09419
1987,Lower Saxony,Rural regions,Born in Germany or immigrated <1950,0.78646,513,573,0.75288,0.82005
1987,Lower Saxony,Rural regions,Not born in Germany,0.04006,60,573,0.02399,0.05613
1987,Bremen,Urban regions,Born in Germany or immigrated <1950,0.84718,79,79,0.76733,0.92703
1987,North Rhine-Westphalia,Urban regions,Born in Germany or immigrated <1950,0.73632,1996,2757,0.71987,0.75277
1987,North Rhine-Westphalia,Urban regions,Not born in Germany,0.09028,761,2757,0.07958,0.10098
1987,North Rhine-Westphalia,Rural regions,Born in Germany or immigrated <1950,0.77661,67,67,0.67612,0.87710
1987,Hesse,Urban regions,Born in Germany or immigrated <1950,0.70966,558,911,0.68017,0.73915
1987,Hesse,Urban regions,Not born in Germany,0.13379,353,911,0.11167,0.15591
1987,Hesse,Rural regions,Born in Germany or immigrated <1950,0.79345,104,145,0.72733,0.85957
1987,Hesse,Rural regions,Not born in Germany,0.08610,41,145,0.04028,0.13191
1987,"Rhineland-Palatinate, Saarland",Urban regions,Born in Germany or immigrated <1950,0.79661,496,621,0.76492,0.82829
1987,"Rhineland-Palatinate, Saarland",Urban regions,Not born in Germany,0.06285,125,621,0.04375,0.08196
1987,"Rhineland-Palatinate, Saarland",Rural regions,Born in Germany or immigrated <1950,0.83170,140,140,0.76950,0.89390
1987,Baden-Wuerttemberg,Urban regions,Born in Germany or immigrated <1950,0.69150,1022,1673,0.66936,0.71364
1987,Baden-Wuerttemberg,Urban regions,Not born in Germany,0.12887,651,1673,0.11281,0.14493
1987,Baden-Wuerttemberg,Rural regions,Born in Germany or immigrated <1950,0.67626,181,289,0.62221,0.73030
1987,Baden-Wuerttemberg,Rural regions,Not born in Germany,0.10944,108,289,0.07338,0.14550
1987,Bavaria,Urban regions,Born in Germany or immigrated <1950,0.76500,694,920,0.73759,0.79241
1987,Bavaria,Urban regions,Not born in Germany,0.09608,226,920,0.07703,0.11514
1987,Bavaria,Rural regions,Born in Germany or immigrated <1950,0.74344,671,804,0.71324,0.77365
1987,Bavaria,Rural regions,Not born in Germany,0.05454,133,804,0.03883,0.07024
1987,Berlin,Urban regions,Born in Germany or immigrated <1950,0.76392,249,362,0.72011,0.80773
1987,Berlin,Urban regions,Not born in Germany,0.09858,113,362,0.06783,0.12933
1988,Schleswig-Holstein,Urban regions,Born in Germany or immigrated <1950,0.75821,123,123,0.68223,0.83419
1988,Schleswig-Holstein,Rural regions,Born in Germany or immigrated <1950,0.77275,156,156,0.70678,0.83873
1988,Hamburg,Urban regions,Born in Germany or immigrated <1950,0.83845,147,198,0.78706,0.88984
1988,Hamburg,Urban regions,Not born in Germany,0.06758,51,198,0.03253,0.10264
1988,Lower Saxony,Urban regions,Born in Germany or immigrated <1950,0.79902,405,518,0.76448,0.83356
1988,Lower Saxony,Urban regions,Not born in Germany,0.07405,113,518,0.05148,0.09662
1988,Lower Saxony,Rural regions,Born in Germany or immigrated <1950,0.78598,476,530,0.75103,0.82093
1988,Lower Saxony,Rural regions,Not born in Germany,0.03961,54,530,0.02299,0.05624
1988,Bremen,Urban regions,Born in Germany or immigrated <1950,0.82682,81,81,0.74390,0.90974
1988,North Rhine-Westphalia,Urban regions,Born in Germany or immigrated <1950,0.74143,1928,2621,0.72466,0.75819
1988,North Rhine-Westphalia,Urban regions,Not born in Germany,0.08717,693,2621,0.07636,0.09797
