year,migback,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86168,6007,6007,0.85295,0.87041
1985,No migration background,Rural regions,Born in Germany or immigrated <1950,0.83299,1972,1972,0.81653,0.84946
1985,Direct migration background,Urban regions,Not born in Germany,0.91164,2555,2555,0.90064,0.92265
1985,Direct migration background,Rural regions,Not born in Germany,0.90218,351,351,0.87106,0.93330
1985,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.13801,123,123,0.07681,0.19922
1986,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86240,5756,5756,0.85350,0.87130
1986,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82901,1849,1849,0.81185,0.84618
1986,Direct migration background,Urban regions,Not born in Germany,0.91824,2465,2465,0.90742,0.92906
1986,Direct migration background,Rural regions,Not born in Germany,0.91915,362,362,0.89103,0.94727
1986,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.14382,133,133,0.08395,0.20368
1987,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86165,5652,5652,0.85265,0.87066
1987,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82406,1815,1815,0.80654,0.84159
1987,Direct migration background,Urban regions,Not born in Germany,0.93298,2445,2445,0.92307,0.94290
1987,Direct migration background,Rural regions,Not born in Germany,0.92701,370,370,0.90047,0.95355
1987,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.14387,151,151,0.08770,0.20003
1988,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86130,5388,5388,0.85207,0.87053
1988,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82488,1695,1695,0.80679,0.84298
1988,Direct migration background,Urban regions,Not born in Germany,0.93848,2330,2330,0.92872,0.94823
1988,Direct migration background,Rural regions,Not born in Germany,0.91701,339,339,0.88760,0.94642
1988,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.16733,189,189,0.11397,0.22069
1988,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.18430,31,31,0.04555,0.32304
1989,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86265,5211,5211,0.85330,0.87200
1989,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82616,1608,1608,0.80763,0.84469
1989,Direct migration background,Urban regions,Not born in Germany,0.94801,2268,2268,0.93887,0.95715
1989,Direct migration background,Rural regions,Not born in Germany,0.93311,320,320,0.90569,0.96052
1989,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.18810,223,223,0.13669,0.23951
1989,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.20151,34,34,0.06465,0.33837
1990,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84625,6459,6459,0.83745,0.85505
1990,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81387,4376,4376,0.80234,0.82541
1990,Direct migration background,Urban regions,Not born in Germany,0.95853,2256,2256,0.95030,0.96676
1990,Direct migration background,Rural regions,Not born in Germany,0.94837,418,418,0.92713,0.96960
1990,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.19526,254,254,0.14641,0.24410
1990,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.17149,41,41,0.05467,0.28830
