year,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Born in Germany or immigrated <1950,0.72975,4177,5956,0.71847,0.74103
1984,male,Not born in Germany,0.08297,1779,5956,0.07597,0.08998
1984,female,Born in Germany or immigrated <1950,0.76634,4621,6215,0.75582,0.77686
1984,female,Not born in Germany,0.07284,1594,6215,0.06637,0.07930
1985,male,Born in Germany or immigrated <1950,0.74318,3875,5414,0.73154,0.75482
1985,male,Not born in Germany,0.08412,1539,5414,0.07673,0.09152
1985,female,Born in Germany or immigrated <1950,0.77519,4245,5612,0.76427,0.78611
1985,female,Not born in Germany,0.07376,1367,5612,0.06692,0.08060
1986,male,Born in Germany or immigrated <1950,0.73937,3717,5232,0.72748,0.75127
1986,male,Not born in Germany,0.08932,1515,5232,0.08160,0.09705
1986,female,Born in Germany or immigrated <1950,0.76818,4041,5353,0.75688,0.77949
1986,female,Not born in Germany,0.07738,1312,5353,0.07022,0.08453
1987,male,Born in Germany or immigrated <1950,0.73111,3673,5175,0.71903,0.74319
1987,male,Not born in Germany,0.09266,1502,5175,0.08476,0.10056
1987,female,Born in Germany or immigrated <1950,0.76483,3967,5280,0.75338,0.77627
1987,female,Not born in Germany,0.08099,1313,5280,0.07363,0.08835
1988,male,Born in Germany or immigrated <1950,0.73604,3524,4932,0.72374,0.74835
1988,male,Not born in Germany,0.08939,1408,4932,0.08143,0.09735
1988,female,Born in Germany or immigrated <1950,0.76481,3779,5040,0.75310,0.77652
1988,female,Not born in Germany,0.07977,1261,5040,0.07228,0.08725
1989,male,Born in Germany or immigrated <1950,0.73258,3417,4762,0.72000,0.74515
1989,male,Not born in Germany,0.09376,1345,4762,0.08548,0.10204
1989,female,Born in Germany or immigrated <1950,0.75958,3659,4902,0.74761,0.77154
1989,female,Not born in Germany,0.08701,1243,4902,0.07912,0.09490
1990,male,Born in Germany or immigrated <1950,0.72732,5375,6771,0.71671,0.73793
1990,male,Not born in Germany,0.08532,1396,6771,0.07866,0.09197
1990,female,Born in Germany or immigrated <1950,0.75498,5841,7120,0.74498,0.76497
1990,female,Not born in Germany,0.07829,1279,7120,0.07205,0.08453
1991,male,Born in Germany or immigrated <1950,0.72207,5266,6632,0.71129,0.73286
1991,male,Not born in Germany,0.08970,1366,6632,0.08282,0.09658
1991,female,Born in Germany or immigrated <1950,0.75225,5698,6956,0.74210,0.76240
1991,female,Not born in Germany,0.08308,1258,6956,0.07660,0.08957
1992,male,Born in Germany or immigrated <1950,0.71896,5139,6463,0.70800,0.72992
1992,male,Not born in Germany,0.09455,1324,6463,0.08741,0.10168
1992,female,Born in Germany or immigrated <1950,0.74703,5626,6854,0.73673,0.75732
1992,female,Not born in Germany,0.08689,1228,6854,0.08022,0.09356
1993,male,Born in Germany or immigrated <1950,0.71419,5079,6365,0.70309,0.72529
1993,male,Not born in Germany,0.10040,1286,6365,0.09301,0.10778
1993,female,Born in Germany or immigrated <1950,0.74175,5547,6738,0.73130,0.75220
1993,female,Not born in Germany,0.09009,1191,6738,0.08326,0.09693
1994,male,Born in Germany or immigrated <1950,0.70851,5006,6215,0.69721,0.71981
1994,male,Not born in Germany,0.10241,1209,6215,0.09487,0.10995
1994,female,Born in Germany or immigrated <1950,0.73893,5510,6659,0.72838,0.74948
1994,female,Not born in Germany,0.09431,1149,6659,0.08729,0.10133
1995,male,Born in Germany or immigrated <1950,0.69019,5001,6410,0.67886,0.70151
1995,male,Not born in Germany,0.11993,1409,6410,0.11197,0.12788
1995,female,Born in Germany or immigrated <1950,0.72072,5504,6876,0.71012,0.73133
1995,female,Not born in Germany,0.11174,1372,6876,0.10429,0.11919
1996,male,Born in Germany or immigrated <1950,0.69239,4985,6293,0.68099,0.70379
1996,male,Not born in Germany,0.11842,1308,6293,0.11044,0.12640
1996,female,Born in Germany or immigrated <1950,0.72253,5465,6755,0.71185,0.73321
1996,female,Not born in Germany,0.11174,1290,6755,0.10422,0.11925
1997,male,Born in Germany or immigrated <1950,0.69489,4958,6209,0.68343,0.70634
1997,male,Not born in Germany,0.11817,1251,6209,0.11014,0.12621
1997,female,Born in Germany or immigrated <1950,0.72367,5400,6621,0.71290,0.73444
1997,female,Not born in Germany,0.11126,1221,6621,0.10368,0.11883
1998,male,Born in Germany or immigrated <1950,0.70310,5677,6889,0.69231,0.71389
1998,male,Not born in Germany,0.11412,1212,6889,0.10661,0.12163
1998,female,Born in Germany or immigrated <1950,0.72704,6164,7351,0.71685,0.73722
1998,female,Not born in Germany,0.10783,1187,7351,0.10074,0.11492
1999,male,Born in Germany or immigrated <1950,0.70811,5501,6609,0.69715,0.71907
1999,male,Not born in Germany,0.11219,1108,6609,0.10458,0.11980
1999,female,Born in Germany or immigrated <1950,0.72873,5969,7065,0.71836,0.73909
1999,female,Not born in Germany,0.10658,1096,7065,0.09938,0.11377
2000,male,Born in Germany or immigrated <1950,0.71133,9963,11586,0.70308,0.71958
2000,male,Not born in Germany,0.10711,1623,11586,0.10148,0.11274
2000,female,Born in Germany or immigrated <1950,0.73077,10844,12526,0.72301,0.73854
2000,female,Not born in Germany,0.10604,1682,12526,0.10065,0.11144
2001,male,Born in Germany or immigrated <1950,0.71603,9095,10525,0.70741,0.72464
2001,male,Not born in Germany,0.10497,1430,10525,0.09911,0.11083
2001,female,Born in Germany or immigrated <1950,0.73256,9910,11396,0.72443,0.74068
2001,female,Not born in Germany,0.10428,1486,11396,0.09867,0.10989
2002,male,Born in Germany or immigrated <1950,0.71658,9767,11128,0.70821,0.72496
2002,male,Not born in Germany,0.10594,1361,11128,0.10022,0.11166
2002,female,Born in Germany or immigrated <1950,0.73174,10463,11899,0.72378,0.73970
2002,female,Not born in Germany,0.10781,1436,11899,0.10224,0.11339
2003,male,Born in Germany or immigrated <1950,0.71869,9413,10677,0.71016,0.72722
2003,male,Not born in Germany,0.10637,1264,10677,0.10052,0.11222
2003,female,Born in Germany or immigrated <1950,0.73221,10134,11489,0.72411,0.74030
2003,female,Not born in Germany,0.10818,1355,11489,0.10250,0.11386
2004,male,Born in Germany or immigrated <1950,0.72135,9163,10381,0.71273,0.72998
2004,male,Not born in Germany,0.10839,1218,10381,0.10241,0.11437
2004,female,Born in Germany or immigrated <1950,0.73357,9913,11233,0.72539,0.74174
2004,female,Not born in Germany,0.11052,1320,11233,0.10472,0.11632
2005,male,Born in Germany or immigrated <1950,0.72594,8783,9899,0.71715,0.73473
2005,male,Not born in Germany,0.10737,1116,9899,0.10127,0.11347
2005,female,Born in Germany or immigrated <1950,0.73708,9548,10800,0.72877,0.74538
2005,female,Not born in Germany,0.11285,1252,10800,0.10688,0.11881
2006,male,Born in Germany or immigrated <1950,0.73079,9524,10631,0.72236,0.73923
2006,male,Not born in Germany,0.10584,1107,10631,0.09999,0.11169
2006,female,Born in Germany or immigrated <1950,0.73666,10362,11640,0.72865,0.74466
2006,female,Not born in Germany,0.11361,1278,11640,0.10784,0.11937
2007,male,Born in Germany or immigrated <1950,0.73553,8967,9952,0.72687,0.74420
2007,male,Not born in Germany,0.10421,985,9952,0.09820,0.11021
2007,female,Born in Germany or immigrated <1950,0.74346,9750,10898,0.73526,0.75166
2007,female,Not born in Germany,0.11222,1148,10898,0.10629,0.11814
2008,male,Born in Germany or immigrated <1950,0.73852,8453,9336,0.72961,0.74744
2008,male,Not born in Germany,0.10444,883,9336,0.09824,0.11065
2008,female,Born in Germany or immigrated <1950,0.74913,9208,10235,0.74073,0.75753
2008,female,Not born in Germany,0.11012,1027,10235,0.10405,0.11618
2009,male,Born in Germany or immigrated <1950,0.74781,7964,8728,0.73870,0.75692
2009,male,Not born in Germany,0.09921,764,8728,0.09294,0.10548
2009,female,Born in Germany or immigrated <1950,0.75247,8623,9526,0.74380,0.76113
2009,female,Not born in Germany,0.10770,903,9526,0.10148,0.11393
2010,male,Born in Germany or immigrated <1950,0.73834,9755,11087,0.73016,0.74652
2010,male,Not born in Germany,0.10841,1332,11087,0.10262,0.11420
2010,female,Born in Germany or immigrated <1950,0.73793,11576,13241,0.73043,0.74542
2010,female,Not born in Germany,0.12181,1665,13241,0.11624,0.12738
2011,male,Born in Germany or immigrated <1950,0.73758,11649,13129,0.73006,0.74511
2011,male,Not born in Germany,0.10438,1480,13129,0.09915,0.10961
2011,female,Born in Germany or immigrated <1950,0.73792,13878,15771,0.73105,0.74478
2011,female,Not born in Germany,0.11794,1893,15771,0.11291,0.12297
2012,male,Born in Germany or immigrated <1950,0.73109,11399,12813,0.72342,0.73877
2012,male,Not born in Germany,0.11189,1414,12813,0.10643,0.11735
2012,female,Born in Germany or immigrated <1950,0.73491,13554,15353,0.72793,0.74190
2012,female,Not born in Germany,0.12244,1799,15353,0.11725,0.12762
2013,male,Born in Germany or immigrated <1950,0.72722,11310,14255,0.71991,0.73453
2013,male,Not born in Germany,0.11711,2945,14255,0.11183,0.12238
2013,female,Born in Germany or immigrated <1950,0.73666,13296,16928,0.73003,0.74330
2013,female,Not born in Germany,0.12193,3632,16928,0.11700,0.12686
2014,male,Born in Germany or immigrated <1950,0.72831,10313,12724,0.72058,0.73604
2014,male,Not born in Germany,0.11939,2411,12724,0.11375,0.12502
2014,female,Born in Germany or immigrated <1950,0.73613,12009,14930,0.72906,0.74320
2014,female,Not born in Germany,0.12164,2921,14930,0.11640,0.12688
2015,male,Born in Germany or immigrated <1950,0.72264,9798,12587,0.71482,0.73046
2015,male,Not born in Germany,0.12523,2789,12587,0.11945,0.13101
2015,female,Born in Germany or immigrated <1950,0.73289,11434,14755,0.72575,0.74002
2015,female,Not born in Germany,0.12687,3321,14755,0.12150,0.13224
2016,male,Born in Germany or immigrated <1950,0.71515,9105,13231,0.70746,0.72284
2016,male,Not born in Germany,0.12930,4126,13231,0.12359,0.13502
2016,female,Born in Germany or immigrated <1950,0.72870,10642,14741,0.72152,0.73588
2016,female,Not born in Germany,0.13078,4099,14741,0.12534,0.13623
2017,male,Born in Germany or immigrated <1950,0.71660,10357,14886,0.70936,0.72384
2017,male,Not born in Germany,0.12623,4529,14886,0.12089,0.13156
2017,female,Born in Germany or immigrated <1950,0.72018,11856,16373,0.71331,0.72706
2017,female,Not born in Germany,0.13602,4517,16373,0.13077,0.14128
2018,male,Born in Germany or immigrated <1950,0.71515,9989,14256,0.70775,0.72256
2018,male,Not born in Germany,0.13048,4267,14256,0.12495,0.13601
2018,female,Born in Germany or immigrated <1950,0.72071,11474,15633,0.71368,0.72774
