year,age_gr,bula_h,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Born in Germany or immigrated <1950,0.98344,87,87,0.95647,1.01041
1984,17-29 y.,Hamburg,Born in Germany or immigrated <1950,0.90534,49,49,0.82252,0.98816
1984,17-29 y.,Lower Saxony,Born in Germany or immigrated <1950,0.94446,280,336,0.91994,0.96899
1984,17-29 y.,Lower Saxony,Not born in Germany,0.05554,56,336,0.03101,0.08006
1984,17-29 y.,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.89090,668,971,0.87128,0.91052
1984,17-29 y.,North Rhine-Westphalia,Not born in Germany,0.10910,303,971,0.08948,0.12872
1984,17-29 y.,Hesse,Born in Germany or immigrated <1950,0.85839,218,378,0.82319,0.89358
1984,17-29 y.,Hesse,Not born in Germany,0.14161,160,378,0.10642,0.17681
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.91477,199,246,0.87981,0.94974
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Not born in Germany,0.08523,47,246,0.05026,0.12019
1984,17-29 y.,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.86653,392,653,0.84042,0.89263
1984,17-29 y.,Baden-Wuerttemberg,Not born in Germany,0.13347,261,653,0.10737,0.15958
1984,17-29 y.,Bavaria,Born in Germany or immigrated <1950,0.93042,464,570,0.90951,0.95133
1984,17-29 y.,Bavaria,Not born in Germany,0.06958,106,570,0.04867,0.09049
1984,17-29 y.,Berlin,Born in Germany or immigrated <1950,0.87591,64,100,0.81097,0.94085
1984,17-29 y.,Berlin,Not born in Germany,0.12409,36,100,0.05915,0.18903
1984,30-45 y.,Schleswig-Holstein,Born in Germany or immigrated <1950,0.93186,120,120,0.88658,0.97713
1984,30-45 y.,Hamburg,Born in Germany or immigrated <1950,0.82288,71,122,0.75485,0.89090
1984,30-45 y.,Hamburg,Not born in Germany,0.17712,51,122,0.10910,0.24515
1984,30-45 y.,Lower Saxony,Born in Germany or immigrated <1950,0.92493,306,390,0.89874,0.95111
1984,30-45 y.,Lower Saxony,Not born in Germany,0.07507,84,390,0.04889,0.10126
1984,30-45 y.,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.85641,703,1092,0.83561,0.87722
1984,30-45 y.,North Rhine-Westphalia,Not born in Germany,0.14359,389,1092,0.12278,0.16439
1984,30-45 y.,Hesse,Born in Germany or immigrated <1950,0.84358,199,369,0.80647,0.88069
1984,30-45 y.,Hesse,Not born in Germany,0.15642,170,369,0.11931,0.19353
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.89370,148,208,0.85171,0.93569
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not born in Germany,0.10630,60,208,0.06431,0.14829
1984,30-45 y.,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.83399,396,741,0.80718,0.86080
1984,30-45 y.,Baden-Wuerttemberg,Not born in Germany,0.16601,345,741,0.13920,0.19282
1984,30-45 y.,Bavaria,Born in Germany or immigrated <1950,0.87166,471,674,0.84639,0.89693
1984,30-45 y.,Bavaria,Not born in Germany,0.12834,203,674,0.10307,0.15361
1984,30-45 y.,Berlin,Born in Germany or immigrated <1950,0.82022,88,136,0.75545,0.88500
1984,30-45 y.,Berlin,Not born in Germany,0.17978,48,136,0.11500,0.24455
1984,46-65 y.,Schleswig-Holstein,Born in Germany or immigrated <1950,0.97129,95,95,0.93753,1.00505
1984,46-65 y.,Hamburg,Born in Germany or immigrated <1950,0.92105,55,55,0.84912,0.99297
1984,46-65 y.,Lower Saxony,Born in Germany or immigrated <1950,0.93016,298,356,0.90365,0.95668
1984,46-65 y.,Lower Saxony,Not born in Germany,0.06984,58,356,0.04332,0.09635
1984,46-65 y.,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.90051,663,911,0.88106,0.91996
1984,46-65 y.,North Rhine-Westphalia,Not born in Germany,0.09949,248,911,0.08004,0.11894
1984,46-65 y.,Hesse,Born in Germany or immigrated <1950,0.86392,264,398,0.83020,0.89765
1984,46-65 y.,Hesse,Not born in Germany,0.13608,134,398,0.10235,0.16980
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.96075,245,285,0.93816,0.98333
