year,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Born in Germany or immigrated <1950,0.75322,6130,8685,0.74415,0.76229
1985,Urban regions,Not born in Germany,0.08961,2555,8685,0.08361,0.09562
1985,Rural regions,Born in Germany or immigrated <1950,0.78035,1990,2341,0.76357,0.79712
1985,Rural regions,Not born in Germany,0.04548,351,2341,0.03704,0.05392
1986,Urban regions,Born in Germany or immigrated <1950,0.74938,5889,8354,0.74008,0.75867
1986,Urban regions,Not born in Germany,0.09317,2465,8354,0.08694,0.09941
1986,Rural regions,Born in Germany or immigrated <1950,0.76998,1869,2231,0.75251,0.78745
1986,Rural regions,Not born in Germany,0.05195,362,2231,0.04274,0.06116
1987,Urban regions,Born in Germany or immigrated <1950,0.74419,5803,8248,0.73477,0.75361
1987,Urban regions,Not born in Germany,0.09758,2445,8248,0.09118,0.10398
1987,Rural regions,Born in Germany or immigrated <1950,0.76252,1837,2207,0.74476,0.78028
1987,Rural regions,Not born in Germany,0.05242,370,2207,0.04312,0.06172
1988,Urban regions,Born in Germany or immigrated <1950,0.74667,5577,7907,0.73708,0.75626
1988,Urban regions,Not born in Germany,0.09508,2330,7907,0.08862,0.10155
1988,Rural regions,Born in Germany or immigrated <1950,0.76450,1726,2065,0.74619,0.78280
1988,Rural regions,Not born in Germany,0.05062,339,2065,0.04116,0.06008
1989,Urban regions,Born in Germany or immigrated <1950,0.74245,5434,7702,0.73268,0.75222
1989,Urban regions,Not born in Germany,0.10050,2268,7702,0.09378,0.10722
1989,Rural regions,Born in Germany or immigrated <1950,0.75991,1642,1962,0.74101,0.77882
1989,Rural regions,Not born in Germany,0.05691,320,1962,0.04666,0.06717
1990,Urban regions,Born in Germany or immigrated <1950,0.73237,6713,8969,0.72321,0.74154
1990,Urban regions,Not born in Germany,0.09775,2256,8969,0.09160,0.10390
1990,Rural regions,Born in Germany or immigrated <1950,0.76128,4417,4835,0.74926,0.77330
1990,Rural regions,Not born in Germany,0.04791,418,4835,0.04189,0.05393
1991,Urban regions,Born in Germany or immigrated <1950,0.72452,6565,8776,0.71518,0.73387
1991,Urban regions,Not born in Germany,0.10356,2211,8776,0.09718,0.10993
1991,Rural regions,Born in Germany or immigrated <1950,0.76528,4310,4722,0.75319,0.77737
1991,Rural regions,Not born in Germany,0.05126,412,4722,0.04497,0.05756
1992,Urban regions,Born in Germany or immigrated <1950,0.72035,6530,8671,0.71090,0.72979
1992,Urban regions,Not born in Germany,0.10776,2141,8671,0.10123,0.11429
1992,Rural regions,Born in Germany or immigrated <1950,0.76155,4117,4527,0.74914,0.77397
1992,Rural regions,Not born in Germany,0.05526,410,4527,0.04860,0.06192
1993,Urban regions,Born in Germany or immigrated <1950,0.71358,6543,8609,0.70403,0.72313
1993,Urban regions,Not born in Germany,0.11258,2066,8609,0.10591,0.11926
1993,Rural regions,Born in Germany or immigrated <1950,0.76026,4083,4494,0.74778,0.77275
1993,Rural regions,Not born in Germany,0.05728,411,4494,0.05049,0.06408
1994,Urban regions,Born in Germany or immigrated <1950,0.71013,6506,8480,0.70047,0.71979
1994,Urban regions,Not born in Germany,0.11623,1974,8480,0.10941,0.12306
1994,Rural regions,Born in Germany or immigrated <1950,0.75483,4010,4394,0.74211,0.76755
1994,Rural regions,Not born in Germany,0.05876,384,4394,0.05181,0.06572
1995,Urban regions,Born in Germany or immigrated <1950,0.68919,6429,8738,0.67948,0.69889
