year,bula_h,pgisced97,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Born in Germany or immigrated <1950,0.95967,76,76,0.91514,1.00419
1984,Schleswig-Holstein,Upper Secondary Level,Born in Germany or immigrated <1950,0.98351,206,206,0.96608,1.00094
1984,Hamburg,Lower Secondary Level,Born in Germany or immigrated <1950,0.91363,43,43,0.82867,0.99858
1984,Hamburg,Upper Secondary Level,Born in Germany or immigrated <1950,0.93285,127,127,0.88914,0.97655
1984,Lower Saxony,Primary Level,Not born in Germany,0.46117,54,54,0.32696,0.59538
1984,Lower Saxony,Lower Secondary Level,Born in Germany or immigrated <1950,0.94744,308,366,0.92455,0.97033
1984,Lower Saxony,Lower Secondary Level,Not born in Germany,0.05256,58,366,0.02967,0.07545
1984,Lower Saxony,Upper Secondary Level,Born in Germany or immigrated <1950,0.95276,525,591,0.93564,0.96988
1984,Lower Saxony,Upper Secondary Level,Not born in Germany,0.04724,66,591,0.03012,0.06436
1984,Lower Saxony,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95015,75,75,0.90056,0.99974
1984,Lower Saxony,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95076,71,71,0.90008,1.00145
1984,Bremen,Lower Secondary Level,Born in Germany or immigrated <1950,0.92448,34,34,0.83433,1.01463
1984,Bremen,Upper Secondary Level,Born in Germany or immigrated <1950,0.87191,52,52,0.78019,0.96363
1984,North Rhine-Westphalia,Pre-primary Level,Born in Germany or immigrated <1950,0.90277,50,50,0.81981,0.98573
1984,North Rhine-Westphalia,Primary Level,Not born in Germany,0.70819,284,284,0.65523,0.76116
1984,North Rhine-Westphalia,Lower Secondary Level,Born in Germany or immigrated <1950,0.88757,567,864,0.86649,0.90864
1984,North Rhine-Westphalia,Lower Secondary Level,Not born in Germany,0.10943,297,864,0.08860,0.13026
1984,North Rhine-Westphalia,Upper Secondary Level,Born in Germany or immigrated <1950,0.93273,1272,1528,0.92017,0.94529
1984,North Rhine-Westphalia,Upper Secondary Level,Not born in Germany,0.06727,256,1528,0.05471,0.07983
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.86814,59,59,0.78107,0.95522
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89401,138,138,0.84246,0.94556
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91843,193,225,0.88258,0.95427
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not born in Germany,0.08157,32,225,0.04573,0.11742
1984,Hesse,Primary Level,Not born in Germany,0.62394,98,98,0.52754,0.72034
1984,Hesse,Lower Secondary Level,Born in Germany or immigrated <1950,0.85392,200,354,0.81708,0.89077
1984,Hesse,Lower Secondary Level,Not born in Germany,0.14608,154,354,0.10923,0.18292
1984,Hesse,Upper Secondary Level,Born in Germany or immigrated <1950,0.89939,420,585,0.87499,0.92379
1984,Hesse,Upper Secondary Level,Not born in Germany,0.10061,165,585,0.07621,0.12501
1984,Hesse,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95668,48,48,0.89848,1.01488
1984,Hesse,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.85588,71,71,0.77360,0.93815
1984,"Rhineland-Palatinate, Saarland",Primary Level,Not born in Germany,0.66567,55,55,0.53984,0.79150
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Born in Germany or immigrated <1950,0.94882,252,297,0.92372,0.97393
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not born in Germany,0.05040,45,297,0.02547,0.07532
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Born in Germany or immigrated <1950,0.94803,347,392,0.92602,0.97003
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not born in Germany,0.05197,45,392,0.02997,0.07398
1984,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.99803,38,38,0.98372,1.01233
1984,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.97425,36,36,0.92178,1.02672
1984,Baden-Wuerttemberg,Primary Level,Not born in Germany,0.80322,271,271,0.75580,0.85064
1984,Baden-Wuerttemberg,Lower Secondary Level,Born in Germany or immigrated <1950,0.85341,413,691,0.82702,0.87980
1984,Baden-Wuerttemberg,Lower Secondary Level,Not born in Germany,0.14655,278,691,0.12016,0.17294
1984,Baden-Wuerttemberg,Upper Secondary Level,Born in Germany or immigrated <1950,0.90325,692,939,0.88433,0.92217
1984,Baden-Wuerttemberg,Upper Secondary Level,Not born in Germany,0.09675,247,939,0.07783,0.11567
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94462,109,109,0.90149,0.98776
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.88839,100,100,0.82637,0.95042
1984,Bavaria,Primary Level,Not born in Germany,0.63602,93,93,0.53770,0.73433
1984,Bavaria,Lower Secondary Level,Born in Germany or immigrated <1950,0.91505,432,584,0.89242,0.93769
1984,Bavaria,Lower Secondary Level,Not born in Germany,0.08495,152,584,0.06231,0.10758
1984,Bavaria,Upper Secondary Level,Born in Germany or immigrated <1950,0.93738,890,1034,0.92260,0.95215
1984,Bavaria,Upper Secondary Level,Not born in Germany,0.06262,144,1034,0.04785,0.07740
1984,Bavaria,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.81812,33,33,0.68447,0.95178
1984,Bavaria,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95675,124,124,0.92080,0.99270
1984,Bavaria,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90995,130,130,0.86056,0.95935
1984,Berlin,Primary Level,Not born in Germany,0.63783,33,33,0.47130,0.80436
1984,Berlin,Lower Secondary Level,Born in Germany or immigrated <1950,0.91122,66,99,0.85491,0.96753
1984,Berlin,Lower Secondary Level,Not born in Germany,0.08878,33,99,0.03247,0.14509
1984,Berlin,Upper Secondary Level,Born in Germany or immigrated <1950,0.91816,150,186,0.87866,0.95766
1984,Berlin,Upper Secondary Level,Not born in Germany,0.08184,36,186,0.04234,0.12134
1984,Berlin,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89804,32,32,0.79152,1.00456
1985,Schleswig-Holstein,Lower Secondary Level,Born in Germany or immigrated <1950,0.95708,74,74,0.91059,1.00358
