year,pgisced97,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,2nd Quintile,Born in Germany or immigrated <1950,0.93126,39,39,0.85081,1.01171
1984,Pre-primary Level,3rd Quintile,Born in Germany or immigrated <1950,0.99206,32,32,0.96082,1.02330
1984,Pre-primary Level,4th Quintile,Born in Germany or immigrated <1950,0.97040,42,42,0.91853,1.02228
1984,Primary Level,1st Quintile,Not born in Germany,0.70520,333,333,0.65615,0.75425
1984,Primary Level,2nd Quintile,Not born in Germany,0.65217,217,217,0.58865,0.71568
1984,Primary Level,3rd Quintile,Not born in Germany,0.57584,141,141,0.49397,0.65770
1984,Primary Level,4th Quintile,Not born in Germany,0.64074,146,146,0.56265,0.71883
1984,Primary Level,5th Quintile,Not born in Germany,0.70851,79,79,0.60766,0.80937
1984,Lower Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.89841,589,939,0.87907,0.91774
1984,Lower Secondary Level,1st Quintile,Not born in Germany,0.10008,350,939,0.08087,0.11928
1984,Lower Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.89607,583,828,0.87527,0.91687
1984,Lower Secondary Level,2nd Quintile,Not born in Germany,0.10361,245,828,0.08284,0.12438
1984,Lower Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.88380,493,704,0.86011,0.90749
1984,Lower Secondary Level,3rd Quintile,Not born in Germany,0.11303,211,704,0.08963,0.13644
1984,Lower Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.91557,418,586,0.89304,0.93810
1984,Lower Secondary Level,4th Quintile,Not born in Germany,0.08443,168,586,0.06190,0.10696
1984,Lower Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.93060,302,385,0.90519,0.95602
1984,Lower Secondary Level,5th Quintile,Not born in Germany,0.06940,83,385,0.04398,0.09481
1984,Upper Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.92576,682,911,0.90872,0.94279
1984,Upper Secondary Level,1st Quintile,Not born in Germany,0.07424,229,911,0.05721,0.09128
1984,Upper Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.91114,863,1103,0.89434,0.92794
1984,Upper Secondary Level,2nd Quintile,Not born in Germany,0.08886,240,1103,0.07206,0.10566
1984,Upper Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.92675,967,1164,0.91177,0.94172
1984,Upper Secondary Level,3rd Quintile,Not born in Germany,0.07325,197,1164,0.05828,0.08823
1984,Upper Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.94292,1076,1286,0.93024,0.95561
1984,Upper Secondary Level,4th Quintile,Not born in Germany,0.05708,210,1286,0.04439,0.06976
1984,Upper Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.94233,1081,1228,0.92929,0.95537
1984,Upper Secondary Level,5th Quintile,Not born in Germany,0.05767,147,1228,0.04463,0.07071
1984,Post-secondary Non-tertiary Level,1st Quintile,Not born in Germany,0.33418,40,40,0.18613,0.48222
1984,Post-secondary Non-tertiary Level,3rd Quintile,Born in Germany or immigrated <1950,0.88660,39,39,0.78579,0.98742
1984,Post-secondary Non-tertiary Level,4th Quintile,Born in Germany or immigrated <1950,0.90732,42,42,0.81855,0.99608
1984,Post-secondary Non-tertiary Level,5th Quintile,Born in Germany or immigrated <1950,0.94428,65,65,0.88808,1.00048
1984,First Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.87554,63,63,0.79337,0.95771
1984,First Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.93263,74,74,0.87513,0.99013
1984,First Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.96430,108,108,0.92915,0.99946
1984,First Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.93327,152,152,0.89346,0.97307
1984,First Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.95153,211,211,0.92248,0.98058
1984,Second Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.82175,54,54,0.71872,0.92479
1984,Second Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.88773,36,36,0.78314,0.99232
1984,Second Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.91521,91,91,0.85765,0.97276
1984,Second Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.92673,151,151,0.88502,0.96843
1984,Second Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.92324,337,381,0.89647,0.95001
1984,Second Stage of Tertiary Education,5th Quintile,Not born in Germany,0.07676,44,381,0.04999,0.10353
1985,Pre-primary Level,3rd Quintile,Born in Germany or immigrated <1950,0.95964,41,41,0.89866,1.02063
1985,Pre-primary Level,4th Quintile,Born in Germany or immigrated <1950,0.95755,35,35,0.88978,1.02532
1985,Pre-primary Level,5th Quintile,Born in Germany or immigrated <1950,0.99687,32,32,0.97721,1.01653
1985,Primary Level,1st Quintile,Born in Germany or immigrated <1950,0.44140,38,312,0.38622,0.49659
1985,Primary Level,1st Quintile,Not born in Germany,0.55860,274,312,0.50341,0.61378
1985,Primary Level,2nd Quintile,Not born in Germany,0.65336,164,164,0.58030,0.72642
1985,Primary Level,3rd Quintile,Not born in Germany,0.54555,137,137,0.46186,0.62923
1985,Primary Level,4th Quintile,Not born in Germany,0.64186,112,112,0.55266,0.73105
1985,Primary Level,5th Quintile,Not born in Germany,0.74165,56,56,0.62597,0.85734
1985,Lower Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.88550,529,849,0.86407,0.90693
1985,Lower Secondary Level,1st Quintile,Not born in Germany,0.11430,320,849,0.09289,0.13572
1985,Lower Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.88481,498,717,0.86142,0.90819
1985,Lower Secondary Level,2nd Quintile,Not born in Germany,0.11519,219,717,0.09181,0.13858
1985,Lower Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.91833,490,665,0.89750,0.93916
1985,Lower Secondary Level,3rd Quintile,Not born in Germany,0.08167,175,665,0.06084,0.10250
1985,Lower Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.89379,349,490,0.86648,0.92110
1985,Lower Secondary Level,4th Quintile,Not born in Germany,0.10621,141,490,0.07890,0.13352
1985,Lower Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.93892,284,340,0.91343,0.96442
1985,Lower Secondary Level,5th Quintile,Not born in Germany,0.06108,56,340,0.03558,0.08657
1985,Upper Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.92504,633,851,0.90733,0.94274
1985,Upper Secondary Level,1st Quintile,Not born in Germany,0.07485,218,851,0.05716,0.09254
1985,Upper Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.92341,818,1019,0.90708,0.93975
1985,Upper Secondary Level,2nd Quintile,Not born in Germany,0.07659,201,1019,0.06025,0.09292
1985,Upper Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.92723,877,1061,0.91160,0.94287
1985,Upper Secondary Level,3rd Quintile,Not born in Germany,0.07277,184,1061,0.05713,0.08840
1985,Upper Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.93250,990,1160,0.91806,0.94695
1985,Upper Secondary Level,4th Quintile,Not born in Germany,0.06750,170,1160,0.05305,0.08194
1985,Upper Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.93536,953,1084,0.92072,0.95001
1985,Upper Secondary Level,5th Quintile,Not born in Germany,0.06464,131,1084,0.04999,0.07928
1985,Post-secondary Non-tertiary Level,1st Quintile,Not born in Germany,0.30689,32,32,0.14453,0.46924
1985,Post-secondary Non-tertiary Level,3rd Quintile,Born in Germany or immigrated <1950,0.82726,31,31,0.69198,0.96253
1985,Post-secondary Non-tertiary Level,4th Quintile,Born in Germany or immigrated <1950,0.94554,44,44,0.87771,1.01337
1985,Post-secondary Non-tertiary Level,5th Quintile,Born in Germany or immigrated <1950,0.95672,55,55,0.90245,1.01099
1985,First Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.86246,54,54,0.76973,0.95518
1985,First Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.93664,68,68,0.87831,0.99497
1985,First Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.95311,105,105,0.91248,0.99374
1985,First Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.93226,144,144,0.89107,0.97345
1985,First Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.96278,201,201,0.93654,0.98901
1985,Second Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.80586,35,35,0.67291,0.93882
1985,Second Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.87823,45,45,0.78160,0.97486
1985,Second Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.92834,83,83,0.87251,0.98417
1985,Second Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.90110,151,151,0.85333,0.94888
1985,Second Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.93347,331,368,0.90797,0.95897
1985,Second Stage of Tertiary Education,5th Quintile,Not born in Germany,0.06653,37,368,0.04103,0.09203
1986,Pre-primary Level,3rd Quintile,Born in Germany or immigrated <1950,0.97668,44,44,0.93157,1.02179
1986,Primary Level,1st Quintile,Born in Germany or immigrated <1950,0.44199,34,264,0.38196,0.50201
1986,Primary Level,1st Quintile,Not born in Germany,0.55801,230,264,0.49799,0.61804
1986,Primary Level,2nd Quintile,Not born in Germany,0.59642,172,172,0.52288,0.66995
1986,Primary Level,3rd Quintile,Not born in Germany,0.58839,127,127,0.50246,0.67432
1986,Primary Level,4th Quintile,Not born in Germany,0.66434,114,114,0.57727,0.75141
1986,Primary Level,5th Quintile,Not born in Germany,0.52795,43,43,0.37696,0.67893
1986,Lower Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.87573,482,766,0.85236,0.89911
1986,Lower Secondary Level,1st Quintile,Not born in Germany,0.12337,284,766,0.10007,0.14668
1986,Lower Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.87997,470,702,0.85591,0.90403
1986,Lower Secondary Level,2nd Quintile,Not born in Germany,0.11897,232,702,0.09501,0.14294
1986,Lower Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.89125,424,607,0.86646,0.91604
1986,Lower Secondary Level,3rd Quintile,Not born in Germany,0.10875,183,607,0.08396,0.13354
1986,Lower Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.89145,349,507,0.86435,0.91856
1986,Lower Secondary Level,4th Quintile,Not born in Germany,0.10855,158,507,0.08144,0.13565
1986,Lower Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.91604,264,323,0.88574,0.94633
1986,Lower Secondary Level,5th Quintile,Not born in Germany,0.08396,59,323,0.05367,0.11426
1986,Upper Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.91655,604,795,0.89731,0.93578
1986,Upper Secondary Level,1st Quintile,Not born in Germany,0.08345,191,795,0.06422,0.10269
1986,Upper Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.91091,747,957,0.89286,0.92897
1986,Upper Secondary Level,2nd Quintile,Not born in Germany,0.08909,210,957,0.07103,0.10714
1986,Upper Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.92301,832,1006,0.90653,0.93949
1986,Upper Secondary Level,3rd Quintile,Not born in Germany,0.07699,174,1006,0.06051,0.09347
1986,Upper Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.93897,1007,1179,0.92530,0.95264
1986,Upper Secondary Level,4th Quintile,Not born in Germany,0.06103,172,1179,0.04736,0.07470
1986,Upper Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.93640,931,1055,0.92166,0.95113
1986,Upper Secondary Level,5th Quintile,Not born in Germany,0.06360,124,1055,0.04887,0.07834
1986,Post-secondary Non-tertiary Level,1st Quintile,Not born in Germany,0.26422,36,36,0.11814,0.41029
1986,Post-secondary Non-tertiary Level,3rd Quintile,Born in Germany or immigrated <1950,0.86822,39,39,0.76067,0.97577
1986,Post-secondary Non-tertiary Level,4th Quintile,Born in Germany or immigrated <1950,0.94049,32,32,0.85721,1.02377
1986,Post-secondary Non-tertiary Level,5th Quintile,Born in Germany or immigrated <1950,0.95292,59,59,0.89841,1.00743
1986,First Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.90286,50,50,0.81994,0.98578
1986,First Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.90492,69,69,0.83521,0.97464
1986,First Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.90839,104,104,0.85268,0.96410
1986,First Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.95349,138,138,0.91822,0.98875
1986,First Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.95203,171,171,0.91990,0.98415
1986,Second Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.83519,35,35,0.71047,0.95990
1986,Second Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.80815,40,40,0.68456,0.93173
1986,Second Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.94162,80,80,0.88992,0.99332
1986,Second Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.90074,141,141,0.85121,0.95027
1986,Second Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.93083,342,377,0.90518,0.95648
1986,Second Stage of Tertiary Education,5th Quintile,Not born in Germany,0.06917,35,377,0.04352,0.09482
1987,Pre-primary Level,1st Quintile,Born in Germany or immigrated <1950,0.91775,31,31,0.81944,1.01607
1987,Pre-primary Level,2nd Quintile,Born in Germany or immigrated <1950,0.92213,32,32,0.82780,1.01646
1987,Pre-primary Level,3rd Quintile,Born in Germany or immigrated <1950,0.94948,35,35,0.87586,1.02310
