year,migback,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Born in Germany or immigrated <1950,0.84189,8672,8672,0.83421,0.84957
1984,Direct migration background,Not born in Germany,0.88866,3373,3373,0.87804,0.89928
1984,Indirect migration background,Born in Germany or immigrated <1950,0.11718,126,126,0.06080,0.17357
1985,No migration background,Born in Germany or immigrated <1950,0.85420,7979,7979,0.84646,0.86195
1985,Direct migration background,Not born in Germany,0.91028,2906,2906,0.89989,0.92067
1985,Indirect migration background,Born in Germany or immigrated <1950,0.14429,141,141,0.08609,0.20250
1986,No migration background,Born in Germany or immigrated <1950,0.85380,7605,7605,0.84586,0.86174
1986,Direct migration background,Not born in Germany,0.91838,2827,2827,0.90828,0.92847
1986,Indirect migration background,Born in Germany or immigrated <1950,0.14661,153,153,0.09037,0.20284
1987,No migration background,Born in Germany or immigrated <1950,0.85200,7467,7467,0.84394,0.86005
1987,Direct migration background,Not born in Germany,0.93210,2815,2815,0.92280,0.94139
1987,Indirect migration background,Born in Germany or immigrated <1950,0.14585,173,173,0.09310,0.19860
1988,No migration background,Born in Germany or immigrated <1950,0.85208,7083,7083,0.84381,0.86035
1988,Direct migration background,Not born in Germany,0.93532,2669,2669,0.92599,0.94465
1988,Indirect migration background,Born in Germany or immigrated <1950,0.16999,220,220,0.12024,0.21974
1989,No migration background,Born in Germany or immigrated <1950,0.85361,6819,6819,0.84522,0.86200
1989,Direct migration background,Not born in Germany,0.94577,2588,2588,0.93705,0.95450
1989,Indirect migration background,Born in Germany or immigrated <1950,0.19017,257,257,0.14210,0.23825
1990,No migration background,Born in Germany or immigrated <1950,0.83484,10921,10921,0.82787,0.84180
1990,Direct migration background,Not born in Germany,0.95635,2675,2675,0.94861,0.96410
1990,Indirect migration background,Born in Germany or immigrated <1950,0.19137,295,295,0.14640,0.23634
1991,No migration background,Born in Germany or immigrated <1950,0.83633,10617,10617,0.82929,0.84337
1991,Direct migration background,Not born in Germany,0.96584,2624,2624,0.95889,0.97279
1991,Indirect migration background,Born in Germany or immigrated <1950,0.21027,347,347,0.16733,0.25321
1992,No migration background,Born in Germany or immigrated <1950,0.83373,10360,10360,0.82656,0.84090
1992,Direct migration background,Not born in Germany,0.97982,2552,2552,0.97437,0.98528
1992,Indirect migration background,Born in Germany or immigrated <1950,0.25923,405,405,0.21650,0.30196
1993,No migration background,Born in Germany or immigrated <1950,0.83181,10159,10159,0.82453,0.83908
