year,migback,pgisced97,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.96969,158,158,0.94287,0.99651
1984,No migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99883,2338,2338,0.99745,1.00022
1984,Direct migration background,Primary Level,Not born in Germany,0.99938,918,918,0.99776,1.00099
1984,Direct migration background,Lower Secondary Level,Not born in Germany,0.99913,1057,1057,0.99736,1.00091
1985,Direct migration background,Lower Secondary Level,Not born in Germany,0.99946,911,911,0.99795,1.00097
1985,Direct migration background,Upper Secondary Level,Not born in Germany,0.99976,905,905,0.99874,1.00077
1986,No migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99953,1931,1931,0.99855,1.00050
1986,Direct migration background,Lower Secondary Level,Not born in Germany,0.99928,916,916,0.99753,1.00102
1987,Direct migration background,Pre-primary Level,Not born in Germany,0.98266,32,32,0.93670,1.02861
1987,Direct migration background,Lower Secondary Level,Not born in Germany,0.99966,937,937,0.99847,1.00084
1988,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.98987,125,125,0.97225,1.00750
1989,Indirect migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99174,106,106,0.97443,1.00905
1990,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99733,132,132,0.98849,1.00617
1990,No migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99964,1995,1995,0.99880,1.00047
1991,No migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99961,1874,1874,0.99872,1.00050
1992,No migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99958,1797,1797,0.99863,1.00053
1992,Indirect migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.96587,48,48,0.91396,1.01778
1992,Indirect migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99124,166,166,0.97703,1.00546
1993,Indirect migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.98937,47,47,0.95974,1.01900
1994,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99709,166,166,0.98887,1.00531
1994,Indirect migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99071,60,60,0.96624,1.01519
1995,Indirect migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.98775,53,53,0.95784,1.01765
1998,Indirect migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99293,68,68,0.97286,1.01299
2000,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99670,370,370,0.99084,1.00255
2000,No migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99853,2443,2443,0.99701,1.00005
2000,No migration background,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.99937,3365,3365,0.99851,1.00022
2003,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99416,497,497,0.98746,1.00087
2004,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99655,496,496,0.99138,1.00171
2005,Indirect migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99236,91,91,0.97438,1.01035
2011,No migration background,Pre-primary Level,Born in Germany or immigrated <1950,0.99571,678,678,0.99079,1.00063
2013,Indirect migration background,Lower Secondary Level,Born in Germany or immigrated <1950,0.99949,464,464,0.99745,1.00154
2018,Direct migration background,Pre-primary Level,Not born in Germany,0.99169,167,167,0.97787,1.00550
2019,Direct migration background,Pre-primary Level,Not born in Germany,0.99934,75,75,0.99347,1.00521
2020,Direct migration background,Pre-primary Level,Not born in Germany,0.99990,186,186,0.99844,1.00136
