year,age_gr,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89932,1768,2498,0.88752,0.91112
1985,17-29 y.,Urban regions,Not born in Germany,0.10068,730,2498,0.08888,0.11248
1985,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95119,547,642,0.93451,0.96787
1985,17-29 y.,Rural regions,Not born in Germany,0.04881,95,642,0.03213,0.06549
1985,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84940,1732,2752,0.83603,0.86276
1985,30-45 y.,Urban regions,Not born in Germany,0.15060,1020,2752,0.13724,0.16397
1985,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.91480,562,723,0.89444,0.93516
1985,30-45 y.,Rural regions,Not born in Germany,0.08520,161,723,0.06484,0.10556
1985,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.88528,1843,2616,0.87307,0.89750
1985,46-65 y.,Urban regions,Not born in Germany,0.11472,773,2616,0.10250,0.12693
1985,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.94290,598,688,0.92554,0.96025
1985,46-65 y.,Rural regions,Not born in Germany,0.05710,90,688,0.03975,0.07446
1985,66 and older,Urban regions,Born in Germany or immigrated <1950,0.96945,787,819,0.95766,0.98124
1985,66 and older,Urban regions,Not born in Germany,0.03055,32,819,0.01876,0.04234
1985,66 and older,Rural regions,Born in Germany or immigrated <1950,0.97903,283,283,0.96231,0.99575
1986,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.90092,1725,2425,0.88902,0.91281
1986,17-29 y.,Urban regions,Not born in Germany,0.09908,700,2425,0.08719,0.11098
1986,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94375,531,632,0.92578,0.96173
1986,17-29 y.,Rural regions,Not born in Germany,0.05625,101,632,0.03827,0.07422
1986,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84604,1649,2597,0.83216,0.85992
1986,30-45 y.,Urban regions,Not born in Germany,0.15396,948,2597,0.14008,0.16784
1986,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.90440,518,672,0.88216,0.92665
1986,30-45 y.,Rural regions,Not born in Germany,0.09560,154,672,0.07335,0.11784
1986,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.88157,1792,2565,0.86906,0.89407
1986,46-65 y.,Urban regions,Not born in Germany,0.11843,773,2565,0.10593,0.13094
1986,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.93327,562,663,0.91426,0.95228
1986,46-65 y.,Rural regions,Not born in Germany,0.06673,101,663,0.04772,0.08574
1986,66 and older,Urban regions,Born in Germany or immigrated <1950,0.95351,723,767,0.93860,0.96842
1986,66 and older,Urban regions,Not born in Germany,0.04649,44,767,0.03158,0.06140
1986,66 and older,Rural regions,Born in Germany or immigrated <1950,0.97528,258,258,0.95629,0.99426
1987,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89797,1687,2374,0.88579,0.91015
1987,17-29 y.,Urban regions,Not born in Germany,0.10203,687,2374,0.08985,0.11421
1987,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.93834,527,637,0.91965,0.95704
1987,17-29 y.,Rural regions,Not born in Germany,0.06166,110,637,0.04296,0.08035
1987,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84251,1614,2519,0.82828,0.85674
1987,30-45 y.,Urban regions,Not born in Germany,0.15749,905,2519,0.14326,0.17172
1987,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.90661,502,649,0.88421,0.92902
1987,30-45 y.,Rural regions,Not born in Germany,0.09339,147,649,0.07098,0.11579
1987,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.87044,1753,2555,0.85742,0.88346
1987,46-65 y.,Urban regions,Not born in Germany,0.12956,802,2555,0.11654,0.14258
1987,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.92887,545,653,0.90914,0.94860
1987,46-65 y.,Rural regions,Not born in Germany,0.07113,108,653,0.05140,0.09086
1987,66 and older,Urban regions,Born in Germany or immigrated <1950,0.95029,749,800,0.93522,0.96536
1987,66 and older,Urban regions,Not born in Germany,0.04971,51,800,0.03464,0.06478
1987,66 and older,Rural regions,Born in Germany or immigrated <1950,0.98020,263,263,0.96333,0.99707
1988,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89798,1622,2302,0.88562,0.91035
1988,17-29 y.,Urban regions,Not born in Germany,0.10202,680,2302,0.08965,0.11438
1988,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94507,482,571,0.92637,0.96378
1988,17-29 y.,Rural regions,Not born in Germany,0.05493,89,571,0.03622,0.07363
1988,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.85674,1542,2334,0.84252,0.87095
1988,30-45 y.,Urban regions,Not born in Germany,0.14326,792,2334,0.12905,0.15748
1988,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.91264,477,618,0.89036,0.93492
1988,30-45 y.,Rural regions,Not born in Germany,0.08736,141,618,0.06508,0.10964
1988,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.86898,1685,2487,0.85571,0.88224
1988,46-65 y.,Urban regions,Not born in Germany,0.13102,802,2487,0.11776,0.14429
1988,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.93293,522,624,0.91329,0.95257
1988,46-65 y.,Rural regions,Not born in Germany,0.06707,102,624,0.04743,0.08671
1988,66 and older,Urban regions,Born in Germany or immigrated <1950,0.94819,728,784,0.93266,0.96371
1988,66 and older,Urban regions,Not born in Germany,0.05181,56,784,0.03629,0.06734
1988,66 and older,Rural regions,Born in Germany or immigrated <1950,0.97057,245,245,0.94937,0.99178
1989,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89248,1616,2271,0.87974,0.90522
1989,17-29 y.,Urban regions,Not born in Germany,0.10752,655,2271,0.09478,0.12026
1989,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.93757,474,558,0.91748,0.95766
1989,17-29 y.,Rural regions,Not born in Germany,0.06243,84,558,0.04234,0.08252
1989,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.85613,1524,2271,0.84169,0.87056
