,Unnamed: 0,year,age_gr,migback,germborn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2350,12137,0.98929,1.01072
1,1,1984,17-29 y.,Direct migration background,Not born in Germany,1.0,1001,12137,0.92903,1.07679
2,2,1984,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,91,12137,0.73667,1.28792
3,3,1984,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,2498,12137,0.99067,1.0072
4,4,1984,30-45 y.,Direct migration background,Not born in Germany,1.0,1389,12137,0.94836,1.05005
5,5,1984,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2596,12137,0.99333,1.0061
6,6,1984,46-65 y.,Direct migration background,Not born in Germany,1.0,948,12137,0.93519,1.07555
7,7,1984,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1229,12137,0.98594,1.01542
8,8,1984,66 and older,Direct migration background,Not born in Germany,1.0,35,12137,0.76793,1.20393
9,9,1985,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2205,10996,0.98852,1.01191
10,10,1985,17-29 y.,Direct migration background,Not born in Germany,1.0,825,10996,0.93147,1.08168
11,11,1985,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,110,10996,0.7504,1.25465
12,12,1985,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,2278,10996,0.98923,1.01013
13,13,1985,30-45 y.,Direct migration background,Not born in Germany,1.0,1181,10996,0.95025,1.06123
14,14,1985,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2430,10996,0.99182,1.00867
15,15,1985,46-65 y.,Direct migration background,Not born in Germany,1.0,863,10996,0.92324,1.07283
16,16,1985,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1067,10996,0.98425,1.01705
17,17,1985,66 and older,Direct migration background,Not born in Germany,1.0,37,10996,0.80092,1.17201
18,18,1986,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2133,10554,0.98754,1.01429
19,19,1986,17-29 y.,Direct migration background,Not born in Germany,1.0,801,10554,0.92695,1.05898
20,20,1986,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,122,10554,0.78003,1.26496
21,21,1986,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,2150,10554,0.98855,1.01579
22,22,1986,30-45 y.,Direct migration background,Not born in Germany,1.0,1102,10554,0.94565,1.0464
23,23,1986,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2343,10554,0.98896,1.01005
24,24,1986,46-65 y.,Direct migration background,Not born in Germany,1.0,874,10554,0.93857,1.07531
25,25,1986,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,979,10554,0.97836,1.01968
26,26,1986,66 and older,Direct migration background,Not born in Germany,1.0,50,10554,0.83181,1.14448
