"germborn","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren","1984","(noch) kein Abschluss","kein Migrationshintergrund","227","1","1","1"
"in Deutschland geboren","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","14","","",""
"in Deutschland geboren","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1984","Hauptschule","kein Migrationshintergrund","5449","1","1","1"
"in Deutschland geboren","1984","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1984","Hauptschule","indirekter Migrationshintergrund","73","1","1","1"
"in Deutschland geboren","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1984","Realschule","kein Migrationshintergrund","1718","1","1","1"
"in Deutschland geboren","1984","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1984","Realschule","indirekter Migrationshintergrund","28","","",""
"in Deutschland geboren","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1984","(Fach-)Abitur","kein Migrationshintergrund","589","1","1","1"
"in Deutschland geboren","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1984","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"in Deutschland geboren","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1984","AkademikerIn","kein Migrationshintergrund","666","1","1","1"
"in Deutschland geboren","1984","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1984","AkademikerIn","indirekter Migrationshintergrund","3","","",""
"in Deutschland geboren","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","direkter Migrationshintergrund","1040","1","1","1"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","direkter Migrationshintergrund","1727","1","1","1"
"nicht in Deutschland geboren","1984","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1984","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","Realschule","direkter Migrationshintergrund","139","1","1","1"
"nicht in Deutschland geboren","1984","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","direkter Migrationshintergrund","272","1","1","1"
"nicht in Deutschland geboren","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","direkter Migrationshintergrund","121","1","1","1"
"nicht in Deutschland geboren","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1985","(noch) kein Abschluss","kein Migrationshintergrund","226","1","1","1"
"in Deutschland geboren","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","17","","",""
"in Deutschland geboren","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1985","Hauptschule","kein Migrationshintergrund","4857","1","1","1"
"in Deutschland geboren","1985","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1985","Hauptschule","indirekter Migrationshintergrund","80","1","1","1"
"in Deutschland geboren","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1985","Realschule","kein Migrationshintergrund","1646","1","1","1"
"in Deutschland geboren","1985","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1985","Realschule","indirekter Migrationshintergrund","31","1","1","1"
"in Deutschland geboren","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1985","(Fach-)Abitur","kein Migrationshintergrund","552","1","1","1"
