year,age_gr,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Born in Germany or immigrated <1950,0.90325,2441,3442,0.89338,0.91313
1984,17-29 y.,West,Not born in Germany,0.09675,1001,3442,0.08687,0.10662
1984,30-45 y.,West,Born in Germany or immigrated <1950,0.86578,2517,3906,0.85509,0.87647
1984,30-45 y.,West,Not born in Germany,0.13422,1389,3906,0.12353,0.14491
1984,46-65 y.,West,Born in Germany or immigrated <1950,0.90207,2608,3556,0.89230,0.91184
1984,46-65 y.,West,Not born in Germany,0.09793,948,3556,0.08816,0.10770
1984,66 and older,West,Born in Germany or immigrated <1950,0.97875,1232,1267,0.97080,0.98669
1984,66 and older,West,Not born in Germany,0.02125,35,1267,0.01331,0.02920
1985,17-29 y.,West,Born in Germany or immigrated <1950,0.91163,2315,3140,0.90170,0.92156
1985,17-29 y.,West,Not born in Germany,0.08837,825,3140,0.07844,0.09830
1985,30-45 y.,West,Born in Germany or immigrated <1950,0.86482,2294,3475,0.85345,0.87619
1985,30-45 y.,West,Not born in Germany,0.13518,1181,3475,0.12381,0.14655
1985,46-65 y.,West,Born in Germany or immigrated <1950,0.89908,2441,3304,0.88880,0.90935
1985,46-65 y.,West,Not born in Germany,0.10092,863,3304,0.09065,0.11120
1985,66 and older,West,Born in Germany or immigrated <1950,0.97204,1070,1107,0.96233,0.98176
1985,66 and older,West,Not born in Germany,0.02796,37,1107,0.01824,0.03767
1986,17-29 y.,West,Born in Germany or immigrated <1950,0.91131,2256,3057,0.90123,0.92139
1986,17-29 y.,West,Not born in Germany,0.08869,801,3057,0.07861,0.09877
1986,30-45 y.,West,Born in Germany or immigrated <1950,0.85954,2167,3269,0.84763,0.87145
1986,30-45 y.,West,Not born in Germany,0.14046,1102,3269,0.12855,0.15237
1986,46-65 y.,West,Born in Germany or immigrated <1950,0.89364,2354,3228,0.88300,0.90427
1986,46-65 y.,West,Not born in Germany,0.10636,874,3228,0.09573,0.11700
1986,66 and older,West,Born in Germany or immigrated <1950,0.95921,981,1031,0.94712,0.97129
1986,66 and older,West,Not born in Germany,0.04079,50,1031,0.02871,0.05288
1987,17-29 y.,West,Born in Germany or immigrated <1950,0.90761,2214,3011,0.89727,0.91796
1987,17-29 y.,West,Not born in Germany,0.09239,797,3011,0.08204,0.10273
1987,30-45 y.,West,Born in Germany or immigrated <1950,0.85731,2116,3168,0.84513,0.86949
1987,30-45 y.,West,Not born in Germany,0.14269,1052,3168,0.13051,0.15487
1987,46-65 y.,West,Born in Germany or immigrated <1950,0.88396,2298,3208,0.87287,0.89504
1987,46-65 y.,West,Not born in Germany,0.11604,910,3208,0.10496,0.12713
1987,66 and older,West,Born in Germany or immigrated <1950,0.95793,1012,1068,0.94589,0.96998
1987,66 and older,West,Not born in Germany,0.04207,56,1068,0.03002,0.05411
1988,17-29 y.,West,Born in Germany or immigrated <1950,0.90878,2104,2873,0.89825,0.91931
1988,17-29 y.,West,Not born in Germany,0.09122,769,2873,0.08069,0.10175
1988,30-45 y.,West,Born in Germany or immigrated <1950,0.86969,2019,2952,0.85754,0.88183
1988,30-45 y.,West,Not born in Germany,0.13031,933,2952,0.11817,0.14246
1988,46-65 y.,West,Born in Germany or immigrated <1950,0.88385,2207,3111,0.87259,0.89511
1988,46-65 y.,West,Not born in Germany,0.11615,904,3111,0.10489,0.12741
1988,66 and older,West,Born in Germany or immigrated <1950,0.95374,973,1036,0.94094,0.96654
1988,66 and older,West,Not born in Germany,0.04626,63,1036,0.03346,0.05906
1989,17-29 y.,West,Born in Germany or immigrated <1950,0.90267,2090,2829,0.89175,0.91360
1989,17-29 y.,West,Not born in Germany,0.09733,739,2829,0.08640,0.10825
1989,30-45 y.,West,Born in Germany or immigrated <1950,0.86759,1966,2842,0.85513,0.88005
1989,30-45 y.,West,Not born in Germany,0.13241,876,2842,0.11995,0.14487
1989,46-65 y.,West,Born in Germany or immigrated <1950,0.87400,2078,2982,0.86208,0.88591
1989,46-65 y.,West,Not born in Germany,0.12600,904,2982,0.11409,0.13792
1989,66 and older,West,Born in Germany or immigrated <1950,0.94518,942,1011,0.93114,0.95922
1989,66 and older,West,Not born in Germany,0.05482,69,1011,0.04078,0.06886
1990,17-29 y.,West,Born in Germany or immigrated <1950,0.89677,2023,2717,0.88532,0.90821
1990,17-29 y.,West,Not born in Germany,0.10323,694,2717,0.09179,0.11468
1990,17-29 y.,East,Born in Germany or immigrated <1950,0.99007,1134,1134,0.98430,0.99585
1990,30-45 y.,West,Born in Germany or immigrated <1950,0.86705,1945,2792,0.85445,0.87964
1990,30-45 y.,West,Not born in Germany,0.13295,847,2792,0.12036,0.14555
