year,regtyp,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Born in Germany or immigrated <1950,0.73343,2906,4266,0.72016,0.74670
1985,Urban regions,male,Not born in Germany,0.09770,1360,4266,0.08879,0.10661
1985,Urban regions,female,Born in Germany or immigrated <1950,0.77120,3224,4419,0.75882,0.78359
1985,Urban regions,female,Not born in Germany,0.08226,1195,4419,0.07416,0.09037
1985,Rural regions,male,Born in Germany or immigrated <1950,0.77269,969,1148,0.74844,0.79694
1985,Rural regions,male,Not born in Germany,0.04306,179,1148,0.03131,0.05480
1985,Rural regions,female,Born in Germany or immigrated <1950,0.78740,1021,1193,0.76417,0.81063
1985,Rural regions,female,Not born in Germany,0.04771,172,1193,0.03561,0.05981
1986,Urban regions,male,Born in Germany or immigrated <1950,0.73082,2811,4141,0.71731,0.74433
1986,Urban regions,male,Not born in Germany,0.10233,1330,4141,0.09310,0.11156
1986,Urban regions,female,Born in Germany or immigrated <1950,0.76639,3078,4213,0.75362,0.77917
1986,Urban regions,female,Not born in Germany,0.08477,1135,4213,0.07636,0.09319
1986,Rural regions,male,Born in Germany or immigrated <1950,0.76590,906,1091,0.74076,0.79104
1986,Rural regions,male,Not born in Germany,0.04900,185,1091,0.03619,0.06182
1986,Rural regions,female,Born in Germany or immigrated <1950,0.77369,963,1140,0.74939,0.79799
1986,Rural regions,female,Not born in Germany,0.05462,177,1140,0.04143,0.06782
1987,Urban regions,male,Born in Germany or immigrated <1950,0.72405,2789,4103,0.71037,0.73773
1987,Urban regions,male,Not born in Germany,0.10672,1314,4103,0.09727,0.11617
1987,Urban regions,female,Born in Germany or immigrated <1950,0.76277,3014,4145,0.74982,0.77572
1987,Urban regions,female,Not born in Germany,0.08915,1131,4145,0.08047,0.09782
1987,Rural regions,male,Born in Germany or immigrated <1950,0.75309,884,1072,0.72726,0.77891
1987,Rural regions,male,Not born in Germany,0.04890,188,1072,0.03599,0.06182
1987,Rural regions,female,Born in Germany or immigrated <1950,0.77120,953,1135,0.74676,0.79565
1987,Rural regions,female,Not born in Germany,0.05566,182,1135,0.04232,0.06900
1988,Urban regions,male,Born in Germany or immigrated <1950,0.72920,2682,3920,0.71529,0.74312
1988,Urban regions,male,Not born in Germany,0.10369,1238,3920,0.09415,0.11324
1988,Urban regions,female,Born in Germany or immigrated <1950,0.76281,2895,3987,0.74960,0.77601
1988,Urban regions,female,Not born in Germany,0.08712,1092,3987,0.07837,0.09588
1988,Rural regions,male,Born in Germany or immigrated <1950,0.75741,842,1012,0.73099,0.78383
1988,Rural regions,male,Not born in Germany,0.04471,170,1012,0.03197,0.05745
1988,Rural regions,female,Born in Germany or immigrated <1950,0.77121,884,1053,0.74583,0.79659
1988,Rural regions,female,Not born in Germany,0.05622,169,1053,0.04230,0.07014
1989,Urban regions,male,Born in Germany or immigrated <1950,0.72353,2604,3789,0.70929,0.73777
1989,Urban regions,male,Not born in Germany,0.10751,1185,3789,0.09765,0.11738
1989,Urban regions,female,Born in Germany or immigrated <1950,0.75997,2830,3913,0.74659,0.77335
1989,Urban regions,female,Not born in Germany,0.09401,1083,3913,0.08486,0.10315
1989,Rural regions,male,Born in Germany or immigrated <1950,0.76162,813,973,0.73484,0.78841
1989,Rural regions,male,Not born in Germany,0.04962,160,973,0.03597,0.06327
1989,Rural regions,female,Born in Germany or immigrated <1950,0.75828,829,989,0.73159,0.78498
1989,Rural regions,female,Not born in Germany,0.06386,160,989,0.04861,0.07911
1990,Urban regions,male,Born in Germany or immigrated <1950,0.71242,3195,4386,0.69902,0.72582
1990,Urban regions,male,Not born in Germany,0.10601,1191,4386,0.09689,0.11512
1990,Urban regions,female,Born in Germany or immigrated <1950,0.75162,3518,4583,0.73911,0.76413
1990,Urban regions,female,Not born in Germany,0.09013,1065,4583,0.08183,0.09842
1990,Rural regions,male,Born in Germany or immigrated <1950,0.75999,2143,2348,0.74271,0.77727
1990,Rural regions,male,Not born in Germany,0.04211,205,2348,0.03398,0.05023
1990,Rural regions,female,Born in Germany or immigrated <1950,0.76250,2274,2487,0.74577,0.77923
1990,Rural regions,female,Not born in Germany,0.05342,213,2487,0.04458,0.06226
1991,Urban regions,male,Born in Germany or immigrated <1950,0.70358,3133,4296,0.68992,0.71724
1991,Urban regions,male,Not born in Germany,0.11139,1163,4296,0.10198,0.12080
1991,Urban regions,female,Born in Germany or immigrated <1950,0.74401,3432,4480,0.73122,0.75679
1991,Urban regions,female,Not born in Germany,0.09627,1048,4480,0.08764,0.10491
1991,Rural regions,male,Born in Germany or immigrated <1950,0.76090,2092,2295,0.74344,0.77835
1991,Rural regions,male,Not born in Germany,0.04628,203,2295,0.03768,0.05488
1991,Rural regions,female,Born in Germany or immigrated <1950,0.76947,2218,2427,0.75271,0.78623
1991,Rural regions,female,Not born in Germany,0.05603,209,2427,0.04688,0.06519
1992,Urban regions,male,Born in Germany or immigrated <1950,0.69997,3095,4214,0.68614,0.71381
1992,Urban regions,male,Not born in Germany,0.11502,1119,4214,0.10538,0.12465
1992,Urban regions,female,Born in Germany or immigrated <1950,0.73944,3435,4457,0.72655,0.75233
1992,Urban regions,female,Not born in Germany,0.10096,1022,4457,0.09211,0.10980
1992,Rural regions,male,Born in Germany or immigrated <1950,0.75967,1988,2193,0.74178,0.77756
1992,Rural regions,male,Not born in Germany,0.05272,205,2193,0.04337,0.06208
1992,Rural regions,female,Born in Germany or immigrated <1950,0.76335,2129,2334,0.74611,0.78060
1992,Rural regions,female,Not born in Germany,0.05769,205,2334,0.04823,0.06716
1993,Urban regions,male,Born in Germany or immigrated <1950,0.69222,3112,4196,0.67825,0.70619
1993,Urban regions,male,Not born in Germany,0.12163,1084,4196,0.11174,0.13152
1993,Urban regions,female,Born in Germany or immigrated <1950,0.73405,3431,4413,0.72101,0.74709
1993,Urban regions,female,Not born in Germany,0.10391,982,4413,0.09491,0.11291
1993,Rural regions,male,Born in Germany or immigrated <1950,0.76252,1967,2169,0.74460,0.78043
1993,Rural regions,male,Not born in Germany,0.05367,202,2169,0.04419,0.06316
1993,Rural regions,female,Born in Germany or immigrated <1950,0.75817,2116,2325,0.74076,0.77558
1993,Rural regions,female,Not born in Germany,0.06064,209,2325,0.05094,0.07034
1994,Urban regions,male,Born in Germany or immigrated <1950,0.68803,3070,4091,0.67383,0.70223
1994,Urban regions,male,Not born in Germany,0.12382,1021,4091,0.11372,0.13391
1994,Urban regions,female,Born in Germany or immigrated <1950,0.73113,3436,4389,0.71802,0.74425
1994,Urban regions,female,Not born in Germany,0.10902,953,4389,0.09980,0.11825
1994,Rural regions,male,Born in Germany or immigrated <1950,0.75356,1936,2124,0.73523,0.77189
1994,Rural regions,male,Not born in Germany,0.05531,188,2124,0.04559,0.06504
1994,Rural regions,female,Born in Germany or immigrated <1950,0.75604,2074,2270,0.73837,0.77371
1994,Rural regions,female,Not born in Germany,0.06203,196,2270,0.05210,0.07196
1995,Urban regions,male,Born in Germany or immigrated <1950,0.66719,3029,4203,0.65294,0.68144
1995,Urban regions,male,Not born in Germany,0.14381,1174,4203,0.13320,0.15441
1995,Urban regions,female,Born in Germany or immigrated <1950,0.71012,3400,4535,0.69692,0.72333
1995,Urban regions,female,Not born in Germany,0.13136,1135,4535,0.12153,0.14119
1995,Rural regions,male,Born in Germany or immigrated <1950,0.73939,1972,2207,0.72107,0.75771
1995,Rural regions,male,Not born in Germany,0.06883,235,2207,0.05827,0.07940
1995,Rural regions,female,Born in Germany or immigrated <1950,0.74339,2104,2341,0.72570,0.76109
1995,Rural regions,female,Not born in Germany,0.06977,237,2341,0.05945,0.08009
1996,Urban regions,male,Born in Germany or immigrated <1950,0.67051,3025,4104,0.65613,0.68489
1996,Urban regions,male,Not born in Germany,0.14050,1079,4104,0.12987,0.15114
1996,Urban regions,female,Born in Germany or immigrated <1950,0.70964,3378,4439,0.69628,0.72300
1996,Urban regions,female,Not born in Germany,0.13044,1061,4439,0.12053,0.14035
1996,Rural regions,male,Born in Germany or immigrated <1950,0.74043,1960,2189,0.72206,0.75880
1996,Rural regions,male,Not born in Germany,0.06994,229,2189,0.05925,0.08062
1996,Rural regions,female,Born in Germany or immigrated <1950,0.75103,2087,2316,0.73342,0.76865
1996,Rural regions,female,Not born in Germany,0.07039,229,2316,0.05997,0.08081
1997,Urban regions,male,Born in Germany or immigrated <1950,0.67274,3017,4057,0.65830,0.68718
1997,Urban regions,male,Not born in Germany,0.14097,1040,4057,0.13026,0.15168
1997,Urban regions,female,Born in Germany or immigrated <1950,0.71180,3330,4333,0.69831,0.72528
1997,Urban regions,female,Not born in Germany,0.13013,1003,4333,0.12011,0.14015
1997,Rural regions,male,Born in Germany or immigrated <1950,0.74379,1941,2152,0.72535,0.76224
1997,Rural regions,male,Not born in Germany,0.06785,211,2152,0.05722,0.07847
1997,Rural regions,female,Born in Germany or immigrated <1950,0.74948,2069,2287,0.73171,0.76724
1997,Rural regions,female,Not born in Germany,0.06997,218,2287,0.05952,0.08043
1998,Urban regions,male,Born in Germany or immigrated <1950,0.68411,3469,4475,0.67049,0.69773
1998,Urban regions,male,Not born in Germany,0.13658,1006,4475,0.12652,0.14664
1998,Urban regions,female,Born in Germany or immigrated <1950,0.71257,3836,4815,0.69979,0.72536
1998,Urban regions,female,Not born in Germany,0.12905,979,4815,0.11958,0.13852
1998,Rural regions,male,Born in Germany or immigrated <1950,0.74415,2208,2414,0.72674,0.76156
1998,Rural regions,male,Not born in Germany,0.06556,206,2414,0.05568,0.07544
1998,Rural regions,female,Born in Germany or immigrated <1950,0.75836,2328,2536,0.74170,0.77503
1998,Rural regions,female,Not born in Germany,0.06187,208,2536,0.05249,0.07125
1999,Urban regions,male,Born in Germany or immigrated <1950,0.68742,3357,4291,0.67355,0.70129
1999,Urban regions,male,Not born in Germany,0.13684,934,4291,0.12656,0.14713
1999,Urban regions,female,Born in Germany or immigrated <1950,0.71333,3694,4603,0.70027,0.72640
1999,Urban regions,female,Not born in Germany,0.12671,909,4603,0.11710,0.13632
1999,Rural regions,male,Born in Germany or immigrated <1950,0.75359,2144,2318,0.73604,0.77113
1999,Rural regions,male,Not born in Germany,0.05799,174,2318,0.04847,0.06751
1999,Rural regions,female,Born in Germany or immigrated <1950,0.76239,2275,2462,0.74557,0.77920
1999,Rural regions,female,Not born in Germany,0.06254,187,2462,0.05297,0.07211
2000,Urban regions,male,Born in Germany or immigrated <1950,0.68728,6180,7535,0.67681,0.69775
2000,Urban regions,male,Not born in Germany,0.13168,1355,7535,0.12404,0.13931
2000,Urban regions,female,Born in Germany or immigrated <1950,0.71342,6841,8215,0.70364,0.72320
2000,Urban regions,female,Not born in Germany,0.12586,1374,8215,0.11869,0.13303
2000,Rural regions,male,Born in Germany or immigrated <1950,0.76241,3783,4051,0.74931,0.77552
2000,Rural regions,male,Not born in Germany,0.05492,268,4051,0.04790,0.06194
2000,Rural regions,female,Born in Germany or immigrated <1950,0.76824,4003,4311,0.75564,0.78083
2000,Rural regions,female,Not born in Germany,0.06328,308,4311,0.05601,0.07054
2001,Urban regions,male,Born in Germany or immigrated <1950,0.69046,5649,6838,0.67951,0.70142
2001,Urban regions,male,Not born in Germany,0.12704,1189,6838,0.11915,0.13494
2001,Urban regions,female,Born in Germany or immigrated <1950,0.71608,6283,7498,0.70587,0.72628
2001,Urban regions,female,Not born in Germany,0.12323,1215,7498,0.11579,0.13068
2001,Rural regions,male,Born in Germany or immigrated <1950,0.77091,3446,3687,0.75734,0.78447
2001,Rural regions,male,Not born in Germany,0.05758,241,3687,0.05006,0.06510
2001,Rural regions,female,Born in Germany or immigrated <1950,0.76847,3627,3898,0.75523,0.78172
2001,Rural regions,female,Not born in Germany,0.06297,271,3898,0.05535,0.07060
2002,Urban regions,male,Born in Germany or immigrated <1950,0.69064,6229,7368,0.68008,0.70119
2002,Urban regions,male,Not born in Germany,0.12998,1139,7368,0.12230,0.13766
2002,Urban regions,female,Born in Germany or immigrated <1950,0.71306,6761,7936,0.70310,0.72301
2002,Urban regions,female,Not born in Germany,0.12849,1175,7936,0.12113,0.13585
2002,Rural regions,male,Born in Germany or immigrated <1950,0.77203,3538,3760,0.75862,0.78544
2002,Rural regions,male,Not born in Germany,0.05457,222,3760,0.04731,0.06184
2002,Rural regions,female,Born in Germany or immigrated <1950,0.77171,3702,3963,0.75864,0.78478
2002,Rural regions,female,Not born in Germany,0.06358,261,3963,0.05598,0.07118
2003,Urban regions,male,Born in Germany or immigrated <1950,0.69512,6039,7089,0.68440,0.70584
2003,Urban regions,male,Not born in Germany,0.12834,1050,7089,0.12055,0.13613
2003,Urban regions,female,Born in Germany or immigrated <1950,0.71141,6564,7675,0.70127,0.72155
2003,Urban regions,female,Not born in Germany,0.12844,1111,7675,0.12096,0.13593
2003,Rural regions,male,Born in Germany or immigrated <1950,0.76971,3374,3588,0.75593,0.78348
2003,Rural regions,male,Not born in Germany,0.05882,214,3588,0.05112,0.06652
2003,Rural regions,female,Born in Germany or immigrated <1950,0.77757,3570,3814,0.76436,0.79077
2003,Rural regions,female,Not born in Germany,0.06398,244,3814,0.05621,0.07175
2004,Urban regions,male,Born in Germany or immigrated <1950,0.69492,5866,6880,0.68404,0.70580
2004,Urban regions,male,Not born in Germany,0.13145,1014,6880,0.12346,0.13943
2004,Urban regions,female,Born in Germany or immigrated <1950,0.71224,6415,7498,0.70199,0.72248
2004,Urban regions,female,Not born in Germany,0.13093,1083,7498,0.12330,0.13857
2004,Rural regions,male,Born in Germany or immigrated <1950,0.77905,3297,3501,0.76530,0.79279
2004,Rural regions,male,Not born in Germany,0.05807,204,3501,0.05032,0.06582
2004,Rural regions,female,Born in Germany or immigrated <1950,0.78019,3498,3735,0.76690,0.79347
2004,Rural regions,female,Not born in Germany,0.06591,237,3735,0.05795,0.07386
2005,Urban regions,male,Born in Germany or immigrated <1950,0.69968,5638,6572,0.68860,0.71076
2005,Urban regions,male,Not born in Germany,0.13167,934,6572,0.12350,0.13985
2005,Urban regions,female,Born in Germany or immigrated <1950,0.71665,6184,7212,0.70624,0.72705
2005,Urban regions,female,Not born in Germany,0.13355,1028,7212,0.12570,0.14140
2005,Rural regions,male,Born in Germany or immigrated <1950,0.78330,3145,3327,0.76930,0.79730
2005,Rural regions,male,Not born in Germany,0.05428,182,3327,0.04658,0.06198
2005,Rural regions,female,Born in Germany or immigrated <1950,0.78144,3364,3588,0.76792,0.79497
2005,Rural regions,female,Not born in Germany,0.06788,224,3588,0.05965,0.07611
2006,Urban regions,male,Born in Germany or immigrated <1950,0.70636,6067,6988,0.69568,0.71704
2006,Urban regions,male,Not born in Germany,0.13080,921,6988,0.12289,0.13871
2006,Urban regions,female,Born in Germany or immigrated <1950,0.71425,6654,7688,0.70415,0.72435
2006,Urban regions,female,Not born in Germany,0.13447,1034,7688,0.12685,0.14210
2006,Rural regions,male,Born in Germany or immigrated <1950,0.78301,3457,3643,0.76963,0.79640
2006,Rural regions,male,Not born in Germany,0.05250,186,3643,0.04525,0.05974
2006,Rural regions,female,Born in Germany or immigrated <1950,0.78423,3708,3952,0.77140,0.79706
2006,Rural regions,female,Not born in Germany,0.06931,244,3952,0.06139,0.07723
2007,Urban regions,male,Born in Germany or immigrated <1950,0.71227,5688,6500,0.70127,0.72328
2007,Urban regions,male,Not born in Germany,0.12597,812,6500,0.11791,0.13404
2007,Urban regions,female,Born in Germany or immigrated <1950,0.72162,6281,7205,0.71127,0.73197
2007,Urban regions,female,Not born in Germany,0.12909,924,7205,0.12134,0.13683
2007,Rural regions,male,Born in Germany or immigrated <1950,0.78444,3279,3452,0.77072,0.79816
2007,Rural regions,male,Not born in Germany,0.05844,173,3452,0.05062,0.06627
2007,Rural regions,female,Born in Germany or immigrated <1950,0.79091,3469,3693,0.77779,0.80402
2007,Rural regions,female,Not born in Germany,0.07557,224,3693,0.06704,0.08409
2008,Urban regions,male,Born in Germany or immigrated <1950,0.71507,5368,6100,0.70374,0.72639
2008,Urban regions,male,Not born in Germany,0.12684,732,6100,0.11848,0.13519
2008,Urban regions,female,Born in Germany or immigrated <1950,0.72734,5944,6773,0.71673,0.73795
2008,Urban regions,female,Not born in Germany,0.12655,829,6773,0.11863,0.13446
2008,Rural regions,male,Born in Germany or immigrated <1950,0.78883,3085,3236,0.77477,0.80290
2008,Rural regions,male,Not born in Germany,0.05642,151,3236,0.04847,0.06437
2008,Rural regions,female,Born in Germany or immigrated <1950,0.79651,3264,3462,0.78310,0.80992
2008,Rural regions,female,Not born in Germany,0.07439,198,3462,0.06565,0.08314
2009,Urban regions,male,Born in Germany or immigrated <1950,0.72862,5024,5651,0.71703,0.74022
2009,Urban regions,male,Not born in Germany,0.12085,627,5651,0.11235,0.12935
2009,Urban regions,female,Born in Germany or immigrated <1950,0.73267,5516,6237,0.72168,0.74365
2009,Urban regions,female,Not born in Germany,0.12286,721,6237,0.11471,0.13101
2009,Rural regions,male,Born in Germany or immigrated <1950,0.78793,2940,3077,0.77349,0.80238
