year,pgisced97,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.95421,131,131,0.91828,0.99014
1985,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.95497,34,34,0.88422,1.02572
1985,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.31277,56,727,0.27904,0.34649
1985,Primary Level,Urban regions,Not born in Germany,0.68723,671,727,0.65351,0.72096
1985,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.71111,33,107,0.62482,0.79739
1985,Primary Level,Rural regions,Not born in Germany,0.28889,74,107,0.20261,0.37518
1985,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.88444,1528,2320,0.87143,0.89745
1985,Lower Secondary Level,Urban regions,Not born in Germany,0.11556,792,2320,0.10255,0.12857
1985,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.93958,622,741,0.92241,0.95674
1985,Lower Secondary Level,Rural regions,Not born in Germany,0.06023,119,741,0.04309,0.07738
1985,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.92096,3259,4042,0.91264,0.92928
1985,Upper Secondary Level,Urban regions,Not born in Germany,0.07902,783,4042,0.07070,0.08734
1985,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95472,1017,1139,0.94264,0.96680
1985,Upper Secondary Level,Rural regions,Not born in Germany,0.04528,122,1139,0.03320,0.05736
1985,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.85134,142,231,0.80537,0.89732
1985,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.14866,89,231,0.10268,0.19463
1985,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.92202,32,32,0.82762,1.01641
1985,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.93311,444,484,0.91083,0.95539
1985,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.06689,40,484,0.04461,0.08917
1985,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.95826,128,128,0.92348,0.99305
1985,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90046,530,633,0.87712,0.92380
1985,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.09954,103,633,0.07620,0.12288
1985,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.97077,115,115,0.93985,1.00169
1986,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.94412,138,138,0.90565,0.98258
1986,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.33127,61,673,0.29569,0.36686
1986,Primary Level,Urban regions,Not born in Germany,0.66873,612,673,0.63314,0.70431
1986,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.69708,31,105,0.60876,0.78539
1986,Primary Level,Rural regions,Not born in Germany,0.30292,74,105,0.21461,0.39124
1986,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.87228,1416,2206,0.85835,0.88621
1986,Lower Secondary Level,Urban regions,Not born in Germany,0.12748,790,2206,0.11356,0.14140
1986,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.92617,575,701,0.90679,0.94554
1986,Lower Secondary Level,Rural regions,Not born in Germany,0.07268,126,701,0.05345,0.09192
1986,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.91878,3154,3904,0.91021,0.92735
1986,Upper Secondary Level,Urban regions,Not born in Germany,0.08122,750,3904,0.07265,0.08979
1986,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95074,967,1089,0.93789,0.96360
1986,Upper Secondary Level,Rural regions,Not born in Germany,0.04926,122,1089,0.03640,0.06211
1986,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.86139,139,228,0.81644,0.90634
1986,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.13861,89,228,0.09366,0.18356
1986,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.92182,33,33,0.82881,1.01484
1986,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.92772,416,457,0.90395,0.95149
1986,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.07228,41,457,0.04851,0.09605
1986,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.94746,116,116,0.90668,0.98824
1986,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.89779,523,624,0.87401,0.92158
1986,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.10221,101,624,0.07842,0.12599
1986,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.96244,116,116,0.92769,0.99719
1987,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.95246,138,138,0.91683,0.98810
1987,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.29538,57,650,0.26028,0.33048
1987,Primary Level,Urban regions,Not born in Germany,0.70462,593,650,0.66952,0.73972
1987,Primary Level,Rural regions,Not born in Germany,0.35937,75,75,0.25005,0.46870
1987,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.85811,1363,2165,0.84341,0.87281
1987,Lower Secondary Level,Urban regions,Not born in Germany,0.14189,802,2165,0.12719,0.15659
1987,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.92094,536,671,0.90051,0.94137
1987,Lower Secondary Level,Rural regions,Not born in Germany,0.07890,135,671,0.05849,0.09932
1987,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.91653,3121,3863,0.90781,0.92525
1987,Upper Secondary Level,Urban regions,Not born in Germany,0.08347,742,3863,0.07475,0.09219
1987,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95390,987,1107,0.94154,0.96626
1987,Upper Secondary Level,Rural regions,Not born in Germany,0.04610,120,1107,0.03374,0.05846
1987,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.85178,144,233,0.80606,0.89750
1987,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.14822,89,233,0.10250,0.19394
1987,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.92423,400,446,0.89964,0.94881
1987,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.07577,46,446,0.05119,0.10036
1987,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.94987,111,111,0.90909,0.99065
1987,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90260,527,618,0.87921,0.92600
1987,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.09740,91,618,0.07400,0.12079
1987,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.95839,115,115,0.92173,0.99505
1988,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.94372,118,118,0.90196,0.98548
1988,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.30118,52,596,0.26432,0.33804
1988,Primary Level,Urban regions,Not born in Germany,0.69882,544,596,0.66196,0.73568
1988,Primary Level,Rural regions,Not born in Germany,0.33016,69,69,0.21839,0.44194
1988,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.86210,1320,2108,0.84738,0.87682
1988,Lower Secondary Level,Urban regions,Not born in Germany,0.13790,788,2108,0.12318,0.15262
1988,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.92383,489,611,0.90278,0.94488
1988,Lower Secondary Level,Rural regions,Not born in Germany,0.07617,122,611,0.05512,0.09722
1988,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.91496,2975,3695,0.90597,0.92396
1988,Upper Secondary Level,Urban regions,Not born in Germany,0.08504,720,3695,0.07604,0.09403
1988,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95429,937,1048,0.94164,0.96694
1988,Upper Secondary Level,Rural regions,Not born in Germany,0.04571,111,1048,0.03306,0.05836
1988,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.87337,147,232,0.83048,0.91625
1988,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.12663,85,232,0.08375,0.16952
1988,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91874,381,425,0.89273,0.94474
1988,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08126,44,425,0.05526,0.10727
1988,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.94120,105,105,0.89598,0.98641
1988,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91388,512,590,0.89122,0.93654
1988,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.08612,78,590,0.06346,0.10878
1988,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.96987,105,105,0.93702,1.00273
1989,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.91530,124,124,0.86609,0.96450
1989,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.30172,53,567,0.26391,0.33954
1989,Primary Level,Urban regions,Not born in Germany,0.69828,514,567,0.66046,0.73609
1989,Primary Level,Rural regions,Not born in Germany,0.36110,60,60,0.23854,0.48366
1989,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.85067,1251,2007,0.83507,0.86626
1989,Lower Secondary Level,Urban regions,Not born in Germany,0.14933,756,2007,0.13374,0.16493
1989,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.91102,445,563,0.88748,0.93456
1989,Lower Secondary Level,Rural regions,Not born in Germany,0.08863,118,563,0.06513,0.11212
1989,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.91072,2896,3617,0.90143,0.92002
1989,Upper Secondary Level,Urban regions,Not born in Germany,0.08928,721,3617,0.07998,0.09857
1989,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.94997,897,1005,0.93649,0.96346
1989,Upper Secondary Level,Rural regions,Not born in Germany,0.05003,108,1005,0.03654,0.06351
1989,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.87421,166,249,0.83294,0.91548
1989,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.12579,83,249,0.08452,0.16706
1989,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91590,361,404,0.88880,0.94300
1989,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08410,43,404,0.05700,0.11120
1989,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.93993,104,104,0.89404,0.98582
1989,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90783,511,590,0.88446,0.93119
1989,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.09217,79,590,0.06881,0.11554
1989,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.93638,99,99,0.88805,0.98470
1990,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.92435,115,115,0.87581,0.97289
1990,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.95896,51,51,0.90397,1.01395
1990,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.32391,62,553,0.28487,0.36295
1990,Primary Level,Urban regions,Not born in Germany,0.67195,491,553,0.63278,0.71112
1990,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.64653,31,90,0.54721,0.74585
1990,Primary Level,Rural regions,Not born in Germany,0.35347,59,90,0.25415,0.45279
1990,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.84371,1337,2078,0.82809,0.85932
1990,Lower Secondary Level,Urban regions,Not born in Germany,0.15584,741,2078,0.14024,0.17144
1990,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.91947,767,898,0.90166,0.93728
1990,Lower Secondary Level,Rural regions,Not born in Germany,0.08053,131,898,0.06272,0.09834
1990,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.91346,3598,4308,0.90506,0.92186
1990,Upper Secondary Level,Urban regions,Not born in Germany,0.08654,710,4308,0.07814,0.09494
1990,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95663,2545,2706,0.94895,0.96430
1990,Upper Secondary Level,Rural regions,Not born in Germany,0.04337,161,2706,0.03570,0.05105
1990,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.85934,201,288,0.81911,0.89956
1990,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.14066,87,288,0.10044,0.18089
1990,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.93581,73,73,0.87920,0.99242
1990,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91903,433,479,0.89457,0.94348
1990,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08097,46,479,0.05652,0.10543
1990,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.93886,273,273,0.91039,0.96733
1990,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91679,890,986,0.89954,0.93404
1990,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.08321,96,986,0.06596,0.10046
1990,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.94533,655,686,0.92830,0.96235
1990,Second Stage of Tertiary Education,Rural regions,Not born in Germany,0.05467,31,686,0.03765,0.07170
1991,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.89331,103,103,0.83339,0.95322
1991,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.98746,39,39,0.95209,1.02284
1991,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.31520,70,546,0.27619,0.35421
1991,Primary Level,Urban regions,Not born in Germany,0.68480,476,546,0.64579,0.72381
1991,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.68897,52,112,0.60285,0.77509
1991,Primary Level,Rural regions,Not born in Germany,0.31103,60,112,0.22491,0.39715
1991,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.83004,1272,1991,0.81354,0.84654
1991,Lower Secondary Level,Urban regions,Not born in Germany,0.16948,719,1991,0.15300,0.18597
1991,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.91234,730,857,0.89340,0.93129
1991,Lower Secondary Level,Rural regions,Not born in Germany,0.08766,127,857,0.06871,0.10660
1991,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.90878,3520,4229,0.90010,0.91746
1991,Upper Secondary Level,Urban regions,Not born in Germany,0.09122,709,4229,0.08254,0.09990
1991,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95417,2465,2626,0.94617,0.96217
1991,Upper Secondary Level,Rural regions,Not born in Germany,0.04583,161,2626,0.03783,0.05383
1991,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.85276,206,295,0.81225,0.89326
1991,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.14724,89,295,0.10674,0.18775
1991,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.90577,71,71,0.83733,0.97421
1991,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91461,423,467,0.88924,0.93998
1991,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08539,44,467,0.06002,0.11076
1991,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.93069,273,273,0.90051,0.96087
1991,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91200,884,981,0.89426,0.92973
1991,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.08800,97,981,0.07027,0.10574
1991,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.94618,648,648,0.92879,0.96357
1992,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.90370,118,118,0.85025,0.95716
1992,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.97484,55,55,0.93306,1.01661
1992,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.29885,71,524,0.25962,0.33809
1992,Primary Level,Urban regions,Not born in Germany,0.70115,453,524,0.66191,0.74038
1992,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.64678,43,103,0.55402,0.73954
1992,Primary Level,Rural regions,Not born in Germany,0.35322,60,103,0.26046,0.44598
1992,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.81538,1236,1934,0.79808,0.83268
1992,Lower Secondary Level,Urban regions,Not born in Germany,0.18381,698,1934,0.16654,0.20108
1992,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.91054,713,835,0.89117,0.92991
1992,Lower Secondary Level,Rural regions,Not born in Germany,0.08946,122,835,0.07009,0.10883
1992,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.90654,3481,4168,0.89770,0.91538
1992,Upper Secondary Level,Urban regions,Not born in Germany,0.09346,687,4168,0.08462,0.10230
1992,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.95009,2324,2485,0.94152,0.95865
1992,Upper Secondary Level,Rural regions,Not born in Germany,0.04991,161,2485,0.04135,0.05848
