year,migback,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Born in Germany or immigrated <1950,0.82909,4117,4117,0.81759,0.84059
1984,No migration background,female,Born in Germany or immigrated <1950,0.85339,4555,4555,0.84312,0.86367
1984,Direct migration background,male,Not born in Germany,0.87679,1779,1779,0.86152,0.89207
1984,Direct migration background,female,Not born in Germany,0.90137,1594,1594,0.88673,0.91601
1984,Indirect migration background,male,Born in Germany or immigrated <1950,0.08683,60,60,0.01498,0.15869
1984,Indirect migration background,female,Born in Germany or immigrated <1950,0.14764,66,66,0.06140,0.23388
1985,No migration background,male,Born in Germany or immigrated <1950,0.84375,3812,3812,0.83222,0.85528
1985,No migration background,female,Born in Germany or immigrated <1950,0.86357,4167,4167,0.85314,0.87399
1985,Direct migration background,male,Not born in Germany,0.90621,1539,1539,0.89164,0.92078
1985,Direct migration background,female,Not born in Germany,0.91455,1367,1367,0.89972,0.92937
1985,Indirect migration background,male,Born in Germany or immigrated <1950,0.11330,63,63,0.03441,0.19220
1985,Indirect migration background,female,Born in Germany or immigrated <1950,0.17589,78,78,0.09085,0.26093
1986,No migration background,male,Born in Germany or immigrated <1950,0.84676,3647,3647,0.83506,0.85845
1986,No migration background,female,Born in Germany or immigrated <1950,0.86011,3958,3958,0.84930,0.87092
1986,Direct migration background,male,Not born in Germany,0.91178,1515,1515,0.89750,0.92607
1986,Direct migration background,female,Not born in Germany,0.92545,1312,1312,0.91123,0.93967
1986,Indirect migration background,male,Born in Germany or immigrated <1950,0.11455,70,70,0.03940,0.18969
1986,Indirect migration background,female,Born in Germany or immigrated <1950,0.17988,83,83,0.09674,0.26301
1987,No migration background,male,Born in Germany or immigrated <1950,0.84133,3593,3593,0.82938,0.85328
1987,No migration background,female,Born in Germany or immigrated <1950,0.86165,3874,3874,0.85078,0.87253
1987,Direct migration background,male,Not born in Germany,0.92423,1502,1502,0.91084,0.93761
1987,Direct migration background,female,Not born in Germany,0.94055,1313,1313,0.92775,0.95335
1987,Indirect migration background,male,Born in Germany or immigrated <1950,0.11362,80,80,0.04364,0.18360
1987,Indirect migration background,female,Born in Germany or immigrated <1950,0.17777,93,93,0.09965,0.25590
1988,No migration background,male,Born in Germany or immigrated <1950,0.84342,3419,3419,0.83123,0.85560
1988,No migration background,female,Born in Germany or immigrated <1950,0.85999,3664,3664,0.84875,0.87122
1988,Direct migration background,male,Not born in Germany,0.92948,1408,1408,0.91610,0.94286
1988,Direct migration background,female,Not born in Germany,0.94149,1261,1261,0.92853,0.95445
1988,Indirect migration background,male,Born in Germany or immigrated <1950,0.14439,105,105,0.07683,0.21194
1988,Indirect migration background,female,Born in Germany or immigrated <1950,0.19656,115,115,0.12361,0.26951
1989,No migration background,male,Born in Germany or immigrated <1950,0.84445,3295,3295,0.83208,0.85683
1989,No migration background,female,Born in Germany or immigrated <1950,0.86202,3524,3524,0.85064,0.87341
1989,Direct migration background,male,Not born in Germany,0.93426,1345,1345,0.92101,0.94751
1989,Direct migration background,female,Not born in Germany,0.95763,1243,1243,0.94643,0.96884
1989,Indirect migration background,male,Born in Germany or immigrated <1950,0.17055,122,122,0.10354,0.23757
1989,Indirect migration background,female,Born in Germany or immigrated <1950,0.21007,135,135,0.14110,0.27905
1990,No migration background,male,Born in Germany or immigrated <1950,0.82438,5231,5231,0.81407,0.83469
1990,No migration background,female,Born in Germany or immigrated <1950,0.84502,5690,5690,0.83562,0.85443
1990,Direct migration background,male,Not born in Germany,0.95379,1396,1396,0.94278,0.96481
1990,Direct migration background,female,Not born in Germany,0.95899,1279,1279,0.94811,0.96986
1990,Indirect migration background,male,Born in Germany or immigrated <1950,0.18121,144,144,0.11808,0.24435
1990,Indirect migration background,female,Born in Germany or immigrated <1950,0.20219,151,151,0.13792,0.26647
