"germborn","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Westdeutschland","241","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Westdeutschland","5522","0.919642429257626","0.913384481391775","0.925900377123478"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Westdeutschland","1746","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Westdeutschland","596","0.86915695352801","0.846722646630661","0.891591260425359"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Westdeutschland","669","0.911718920470458","0.8919356154613","0.931502225479616"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Westdeutschland","1040","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Westdeutschland","1727","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1984","Realschule","Westdeutschland","139","","",""
"nicht in Deutschland geboren","1984","Realschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Westdeutschland","272","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Westdeutschland","121","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Westdeutschland","243","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Westdeutschland","4937","0.916525407919118","0.909770477984762","0.923280337853475"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Westdeutschland","1677","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Westdeutschland","557","0.87897886440877","0.856192210672309","0.901765518145231"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Westdeutschland","645","0.912883339098029","0.892767744883844","0.932998933312213"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Westdeutschland","844","0.388991967978241","0.360010051828447","0.417973884128035"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1985","Hauptschule","Westdeutschland","1504","","",""
"nicht in Deutschland geboren","1985","Hauptschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1985","Realschule","Westdeutschland","138","","",""
"nicht in Deutschland geboren","1985","Realschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1985","(Fach-)Abitur","Westdeutschland","230","","",""
"nicht in Deutschland geboren","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1985","AkademikerIn","Westdeutschland","110","","",""
"nicht in Deutschland geboren","1985","AkademikerIn","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1986","(noch) kein Abschluss","Westdeutschland","239","","",""
"in Deutschland geboren oder immigr.<1950","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1986","Hauptschule","Westdeutschland","4610","0.909029457551939","0.901807102819483","0.916251812284394"
"in Deutschland geboren oder immigr.<1950","1986","Hauptschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1986","Realschule","Westdeutschland","1627","","",""
"in Deutschland geboren oder immigr.<1950","1986","Realschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1986","(Fach-)Abitur","Westdeutschland","579","0.884619693044556","0.862591110276805","0.906648275812307"
"in Deutschland geboren oder immigr.<1950","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1986","AkademikerIn","Westdeutschland","639","0.909464597846104","0.888914717437941","0.930014478254267"
"in Deutschland geboren oder immigr.<1950","1986","AkademikerIn","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","Westdeutschland","789","0.415454197685644","0.385329521837602","0.445578873533686"
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
