year,regtyp,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Born in Germany or immigrated <1950,0.90602,8798,12171,0.90084,0.91121
1984,No answer / don't know,West,Not born in Germany,0.09398,3373,12171,0.08879,0.09916
1985,Urban regions,West,Born in Germany or immigrated <1950,0.89367,6130,8685,0.88719,0.90016
1985,Urban regions,West,Not born in Germany,0.10633,2555,8685,0.09984,0.11281
1985,Rural regions,West,Born in Germany or immigrated <1950,0.94493,1990,2341,0.93569,0.95417
1985,Rural regions,West,Not born in Germany,0.05507,351,2341,0.04583,0.06431
1986,Urban regions,West,Born in Germany or immigrated <1950,0.88942,5889,8354,0.88269,0.89614
1986,Urban regions,West,Not born in Germany,0.11058,2465,8354,0.10386,0.11731
1986,Rural regions,West,Born in Germany or immigrated <1950,0.93680,1869,2231,0.92670,0.94690
1986,Rural regions,West,Not born in Germany,0.06320,362,2231,0.05310,0.07330
1987,Urban regions,West,Born in Germany or immigrated <1950,0.88408,5803,8248,0.87717,0.89099
1987,Urban regions,West,Not born in Germany,0.11592,2445,8248,0.10901,0.12283
1987,Rural regions,West,Born in Germany or immigrated <1950,0.93567,1837,2207,0.92544,0.94591
1987,Rural regions,West,Not born in Germany,0.06433,370,2207,0.05409,0.07456
1988,Urban regions,West,Born in Germany or immigrated <1950,0.88704,5577,7907,0.88007,0.89402
1988,Urban regions,West,Not born in Germany,0.11296,2330,7907,0.10598,0.11993
1988,Rural regions,West,Born in Germany or immigrated <1950,0.93790,1726,2065,0.92749,0.94831
1988,Rural regions,West,Not born in Germany,0.06210,339,2065,0.05169,0.07251
1989,Urban regions,West,Born in Germany or immigrated <1950,0.88078,5434,7702,0.87354,0.88801
1989,Urban regions,West,Not born in Germany,0.11922,2268,7702,0.11199,0.12646
1989,Rural regions,West,Born in Germany or immigrated <1950,0.93033,1642,1962,0.91906,0.94159
1989,Rural regions,West,Not born in Germany,0.06967,320,1962,0.05841,0.08094
1990,No answer / don't know,East,Born in Germany or immigrated <1950,0.99042,86,86,0.96972,1.01113
1990,Urban regions,West,Born in Germany or immigrated <1950,0.87263,5293,7504,0.86509,0.88017
1990,Urban regions,West,Not born in Germany,0.12737,2211,7504,0.11983,0.13491
1990,Urban regions,East,Born in Germany or immigrated <1950,0.97001,1420,1465,0.96128,0.97875
1990,Urban regions,East,Not born in Germany,0.02999,45,1465,0.02125,0.03872
1990,Rural regions,West,Born in Germany or immigrated <1950,0.92727,1638,1959,0.91577,0.93877
1990,Rural regions,West,Not born in Germany,0.07273,321,1959,0.06123,0.08423
1990,Rural regions,East,Born in Germany or immigrated <1950,0.96061,2779,2876,0.95350,0.96772
1990,Rural regions,East,Not born in Germany,0.03939,97,2876,0.03228,0.04650
1991,No answer / don't know,East,Born in Germany or immigrated <1950,0.98654,86,86,0.96204,1.01104
1991,Urban regions,West,Born in Germany or immigrated <1950,0.86501,5284,7450,0.85725,0.87277
1991,Urban regions,West,Not born in Germany,0.13499,2166,7450,0.12723,0.14275
1991,Urban regions,East,Born in Germany or immigrated <1950,0.96315,1281,1326,0.95301,0.97330
1991,Urban regions,East,Not born in Germany,0.03685,45,1326,0.02670,0.04699
1991,Rural regions,West,Born in Germany or immigrated <1950,0.92379,1678,1995,0.91214,0.93543
1991,Rural regions,West,Not born in Germany,0.07621,317,1995,0.06457,0.08786
1991,Rural regions,East,Born in Germany or immigrated <1950,0.95643,2632,2727,0.94877,0.96409
1991,Rural regions,East,Not born in Germany,0.04357,95,2727,0.03591,0.05123
1992,No answer / don't know,East,Born in Germany or immigrated <1950,0.98898,105,105,0.96892,1.00904
1992,Urban regions,West,Born in Germany or immigrated <1950,0.85903,5257,7353,0.85107,0.86698
1992,Urban regions,West,Not born in Germany,0.14097,2096,7353,0.13302,0.14893
1992,Urban regions,East,Born in Germany or immigrated <1950,0.96254,1273,1318,0.95229,0.97280
1992,Urban regions,East,Not born in Germany,0.03746,45,1318,0.02720,0.04771
1992,Rural regions,West,Born in Germany or immigrated <1950,0.91971,1664,1975,0.90772,0.93170
1992,Rural regions,West,Not born in Germany,0.08029,311,1975,0.06830,0.09228
1992,Rural regions,East,Born in Germany or immigrated <1950,0.95119,2453,2552,0.94282,0.95955
1992,Rural regions,East,Not born in Germany,0.04881,99,2552,0.04045,0.05718
1993,Urban regions,West,Born in Germany or immigrated <1950,0.85249,5274,7297,0.84435,0.86063
1993,Urban regions,West,Not born in Germany,0.14751,2023,7297,0.13937,0.15565
1993,Urban regions,East,Born in Germany or immigrated <1950,0.96061,1269,1312,0.95008,0.97114
1993,Urban regions,East,Not born in Germany,0.03939,43,1312,0.02886,0.04992
1993,Rural regions,West,Born in Germany or immigrated <1950,0.91280,1658,1977,0.90037,0.92524
1993,Rural regions,West,Not born in Germany,0.08720,319,1977,0.07476,0.09963
1993,Rural regions,East,Born in Germany or immigrated <1950,0.95462,2425,2517,0.94649,0.96276
1993,Rural regions,East,Not born in Germany,0.04538,92,2517,0.03724,0.05351
1994,Urban regions,West,Born in Germany or immigrated <1950,0.84829,5243,7172,0.83999,0.85660
1994,Urban regions,West,Not born in Germany,0.15171,1929,7172,0.14340,0.16001
1994,Urban regions,East,Born in Germany or immigrated <1950,0.95537,1263,1308,0.94418,0.96657
1994,Urban regions,East,Not born in Germany,0.04463,45,1308,0.03343,0.05582
1994,Rural regions,West,Born in Germany or immigrated <1950,0.91382,1640,1926,0.90128,0.92635
1994,Rural regions,West,Not born in Germany,0.08618,286,1926,0.07365,0.09872
1994,Rural regions,East,Born in Germany or immigrated <1950,0.94787,2370,2468,0.93910,0.95664
1994,Rural regions,East,Not born in Germany,0.05213,98,2468,0.04336,0.06090
1995,Urban regions,West,Born in Germany or immigrated <1950,0.82080,5255,7521,0.81213,0.82947
1995,Urban regions,West,Not born in Germany,0.17920,2266,7521,0.17053,0.18787
1995,Urban regions,East,Born in Germany or immigrated <1950,0.95472,1174,1217,0.94304,0.96641
1995,Urban regions,East,Not born in Germany,0.04528,43,1217,0.03359,0.05696
1995,Rural regions,West,Born in Germany or immigrated <1950,0.89208,1700,2072,0.87871,0.90544
1995,Rural regions,West,Not born in Germany,0.10792,372,2072,0.09456,0.12129
1995,Rural regions,East,Born in Germany or immigrated <1950,0.94739,2376,2476,0.93859,0.95618
1995,Rural regions,East,Not born in Germany,0.05261,100,2476,0.04382,0.06141
1996,Urban regions,West,Born in Germany or immigrated <1950,0.82261,5205,7304,0.81384,0.83137
1996,Urban regions,West,Not born in Germany,0.17739,2099,7304,0.16863,0.18616
1996,Urban regions,East,Born in Germany or immigrated <1950,0.96069,1198,1239,0.94986,0.97151
1996,Urban regions,East,Not born in Germany,0.03931,41,1239,0.02849,0.05014
