year,pgisced97,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Born in Germany or immigrated <1950,0.96346,85,85,0.92333,1.00358
1984,Pre-primary Level,female,Born in Germany or immigrated <1950,0.98489,81,81,0.95815,1.01162
1984,Primary Level,male,Born in Germany or immigrated <1950,0.38425,39,411,0.33717,0.43133
1984,Primary Level,male,Not born in Germany,0.61575,372,411,0.56867,0.66283
1984,Primary Level,female,Born in Germany or immigrated <1950,0.30332,42,588,0.26613,0.34051
1984,Primary Level,female,Not born in Germany,0.69668,546,588,0.65949,0.73387
1984,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.85615,641,1143,0.83580,0.87650
1984,Lower Secondary Level,male,Not born in Germany,0.14385,502,1143,0.12350,0.16420
1984,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.91909,1750,2305,0.90795,0.93022
1984,Lower Secondary Level,female,Not born in Germany,0.08091,555,2305,0.06978,0.09205
1984,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.92052,2485,3159,0.91109,0.92996
1984,Upper Secondary Level,male,Not born in Germany,0.07948,674,3159,0.07004,0.08891
1984,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.94272,2196,2547,0.93370,0.95175
1984,Upper Secondary Level,female,Not born in Germany,0.05728,351,2547,0.04825,0.06630
1984,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.82895,107,193,0.77569,0.88221
1984,Post-secondary Non-tertiary Level,male,Not born in Germany,0.17105,86,193,0.11779,0.22431
1984,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.87382,79,116,0.81313,0.93451
1984,Post-secondary Non-tertiary Level,female,Not born in Germany,0.12618,37,116,0.06549,0.18687
1984,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.94592,357,357,0.92242,0.96941
1984,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92633,251,251,0.89395,0.95872
1984,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91933,456,535,0.89623,0.94243
1984,Second Stage of Tertiary Education,male,Not born in Germany,0.08067,79,535,0.05757,0.10377
1984,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.89614,213,255,0.85862,0.93366
1984,Second Stage of Tertiary Education,female,Not born in Germany,0.10386,42,255,0.06634,0.14138
1985,No answer / don't know,female,Not born in Germany,0.21319,38,38,0.08122,0.34517
1985,Pre-primary Level,male,Born in Germany or immigrated <1950,0.95657,99,99,0.91622,0.99693
1985,Pre-primary Level,female,Born in Germany or immigrated <1950,0.95592,66,66,0.90601,1.00582
1985,Primary Level,male,Born in Germany or immigrated <1950,0.48307,48,346,0.43034,0.53580
1985,Primary Level,male,Not born in Germany,0.51693,298,346,0.46420,0.56966
1985,Primary Level,female,Born in Germany or immigrated <1950,0.32827,41,488,0.28656,0.36997
1985,Primary Level,female,Not born in Germany,0.67173,447,488,0.63003,0.71344
1985,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.85203,576,1026,0.83030,0.87377
1985,Lower Secondary Level,male,Not born in Germany,0.14797,450,1026,0.12623,0.16970
1985,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.91710,1574,2035,0.90512,0.92909
1985,Lower Secondary Level,female,Not born in Germany,0.08290,461,2035,0.07091,0.09488
1985,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91830,2254,2841,0.90822,0.92837
1985,Upper Secondary Level,male,Not born in Germany,0.08170,587,2841,0.07163,0.09178
1985,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.94118,2022,2340,0.93164,0.95071
1985,Upper Secondary Level,female,Not born in Germany,0.05882,318,2340,0.04929,0.06836
1985,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.85167,102,170,0.79809,0.90526
1985,Post-secondary Non-tertiary Level,male,Not born in Germany,0.14833,68,170,0.09474,0.20191
1985,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.88178,72,105,0.81973,0.94383
1985,Post-secondary Non-tertiary Level,female,Not born in Germany,0.11822,33,105,0.05617,0.18027
1985,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.94158,333,333,0.91635,0.96681
1985,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.93536,239,239,0.90412,0.96660
1985,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92002,440,509,0.89643,0.94361
1985,Second Stage of Tertiary Education,male,Not born in Germany,0.07998,69,509,0.05639,0.10357
1985,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.89863,205,246,0.86084,0.93642
1985,Second Stage of Tertiary Education,female,Not born in Germany,0.10137,41,246,0.06358,0.13916
1986,No answer / don't know,female,Not born in Germany,0.19550,32,32,0.05589,0.33511
1986,Pre-primary Level,male,Born in Germany or immigrated <1950,0.93625,94,94,0.88660,0.98591
1986,Pre-primary Level,female,Born in Germany or immigrated <1950,0.93489,63,63,0.87348,0.99631
1986,Primary Level,male,Born in Germany or immigrated <1950,0.47018,46,323,0.41566,0.52469
1986,Primary Level,male,Not born in Germany,0.52982,277,323,0.47531,0.58434
1986,Primary Level,female,Born in Germany or immigrated <1950,0.36907,46,455,0.32469,0.41346
1986,Primary Level,female,Not born in Germany,0.63093,409,455,0.58654,0.67531
1986,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.83667,554,1008,0.81383,0.85950
1986,Lower Secondary Level,male,Not born in Germany,0.16333,454,1008,0.14050,0.18617
1986,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.90657,1437,1899,0.89348,0.91966
1986,Lower Secondary Level,female,Not born in Germany,0.09343,462,1899,0.08034,0.10652
1986,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91526,2168,2733,0.90481,0.92570
1986,Upper Secondary Level,male,Not born in Germany,0.08474,565,2733,0.07430,0.09519
1986,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.93879,1953,2260,0.92891,0.94868
1986,Upper Secondary Level,female,Not born in Germany,0.06121,307,2260,0.05132,0.07109
1986,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.85304,93,163,0.79852,0.90756
1986,Post-secondary Non-tertiary Level,male,Not born in Germany,0.14696,70,163,0.09244,0.20148
1986,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.90070,79,111,0.84481,0.95659
1986,Post-secondary Non-tertiary Level,female,Not born in Germany,0.09930,32,111,0.04341,0.15519
1986,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.93413,306,306,0.90630,0.96197
1986,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92963,226,226,0.89621,0.96305
1986,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91403,432,505,0.88956,0.93851
1986,Second Stage of Tertiary Education,male,Not born in Germany,0.08597,73,505,0.06149,0.11044
1986,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.90014,207,244,0.86244,0.93783
1986,Second Stage of Tertiary Education,female,Not born in Germany,0.09986,37,244,0.06217,0.13756
1987,No answer / don't know,male,Born in Germany or immigrated <1950,0.81997,31,62,0.72355,0.91639
1987,No answer / don't know,male,Not born in Germany,0.18003,31,62,0.08361,0.27645
1987,No answer / don't know,female,Born in Germany or immigrated <1950,0.79329,32,32,0.65074,0.93584
1987,Pre-primary Level,male,Born in Germany or immigrated <1950,0.93208,81,81,0.87694,0.98722
1987,Pre-primary Level,female,Born in Germany or immigrated <1950,0.94715,78,78,0.89718,0.99713
1987,Primary Level,male,Born in Germany or immigrated <1950,0.42849,43,309,0.37323,0.48376
1987,Primary Level,male,Not born in Germany,0.57151,266,309,0.51624,0.62677
1987,Primary Level,female,Born in Germany or immigrated <1950,0.31683,40,442,0.27341,0.36025
1987,Primary Level,female,Not born in Germany,0.68317,402,442,0.63975,0.72659
