year,bula_h,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Born in Germany or immigrated <1950,0.94720,52,52,0.88582,1.00858
1984,Schleswig-Holstein,2nd Quintile,Born in Germany or immigrated <1950,0.94655,68,68,0.89269,1.00041
1984,Schleswig-Holstein,3rd Quintile,Born in Germany or immigrated <1950,0.94165,56,56,0.87969,1.00360
1984,Schleswig-Holstein,4th Quintile,Born in Germany or immigrated <1950,0.98094,86,86,0.95187,1.01001
1984,Schleswig-Holstein,5th Quintile,Born in Germany or immigrated <1950,0.99375,82,82,0.97658,1.01091
1984,Hamburg,2nd Quintile,Born in Germany or immigrated <1950,0.87938,37,37,0.77298,0.98577
1984,Hamburg,3rd Quintile,Born in Germany or immigrated <1950,0.94449,46,46,0.87759,1.01139
1984,Hamburg,4th Quintile,Born in Germany or immigrated <1950,0.93983,54,54,0.87580,1.00385
1984,Hamburg,5th Quintile,Born in Germany or immigrated <1950,0.94976,62,62,0.89494,1.00458
1984,Lower Saxony,1st Quintile,Born in Germany or immigrated <1950,0.93618,218,299,0.90843,0.96394
1984,Lower Saxony,1st Quintile,Not born in Germany,0.06382,81,299,0.03606,0.09157
1984,Lower Saxony,2nd Quintile,Born in Germany or immigrated <1950,0.92955,200,232,0.89655,0.96255
1984,Lower Saxony,2nd Quintile,Not born in Germany,0.07045,32,232,0.03745,0.10345
1984,Lower Saxony,3rd Quintile,Born in Germany or immigrated <1950,0.95798,206,206,0.93051,0.98545
1984,Lower Saxony,4th Quintile,Born in Germany or immigrated <1950,0.95086,215,247,0.92384,0.97787
1984,Lower Saxony,4th Quintile,Not born in Germany,0.04914,32,247,0.02213,0.07616
1984,Lower Saxony,5th Quintile,Born in Germany or immigrated <1950,0.94145,194,194,0.90832,0.97457
1984,North Rhine-Westphalia,1st Quintile,Born in Germany or immigrated <1950,0.83869,418,774,0.81276,0.86462
1984,North Rhine-Westphalia,1st Quintile,Not born in Germany,0.16131,356,774,0.13538,0.18724
1984,North Rhine-Westphalia,2nd Quintile,Born in Germany or immigrated <1950,0.88734,412,632,0.86267,0.91201
1984,North Rhine-Westphalia,2nd Quintile,Not born in Germany,0.11266,220,632,0.08799,0.13733
1984,North Rhine-Westphalia,3rd Quintile,Born in Germany or immigrated <1950,0.90048,435,582,0.87614,0.92482
