year,bula_h,migback,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Born in Germany or immigrated <1950,0.82514,341,341,0.78476,0.86552
1984,Schleswig-Holstein,Direct migration background,Not born in Germany,0.75304,40,40,0.61769,0.88838
1984,Hamburg,No migration background,Born in Germany or immigrated <1950,0.92546,220,220,0.89067,0.96024
1984,Hamburg,Direct migration background,Not born in Germany,0.87111,88,88,0.80070,0.94152
1984,Lower Saxony,No migration background,Born in Germany or immigrated <1950,0.83680,1028,1028,0.81420,0.85940
1984,Lower Saxony,Direct migration background,Not born in Germany,0.89092,200,200,0.84760,0.93423
1984,Bremen,No migration background,Born in Germany or immigrated <1950,0.93523,98,98,0.88625,0.98421
1984,Bremen,Direct migration background,Not born in Germany,0.96555,34,34,0.90332,1.02778
1984,North Rhine-Westphalia,No migration background,Born in Germany or immigrated <1950,0.83511,2267,2267,0.81983,0.85039
1984,North Rhine-Westphalia,Direct migration background,Not born in Germany,0.87908,950,950,0.85833,0.89982
1984,North Rhine-Westphalia,Indirect migration background,Born in Germany or immigrated <1950,0.08130,39,39,-0.00560,0.16820
1984,Hesse,No migration background,Born in Germany or immigrated <1950,0.86232,765,765,0.83788,0.88675
1984,Hesse,Direct migration background,Not born in Germany,0.91771,470,470,0.89284,0.94258
1984,"Rhineland-Palatinate, Saarland",No migration background,Born in Germany or immigrated <1950,0.86664,696,696,0.84136,0.89191
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Not born in Germany,0.88483,150,150,0.83357,0.93609
1984,Baden-Wuerttemberg,No migration background,Born in Germany or immigrated <1950,0.81768,1347,1347,0.79705,0.83831
1984,Baden-Wuerttemberg,Direct migration background,Not born in Germany,0.89832,879,879,0.87832,0.91831
1984,Bavaria,No migration background,Born in Germany or immigrated <1950,0.83783,1620,1620,0.81988,0.85579
1984,Bavaria,Direct migration background,Not born in Germany,0.89212,446,446,0.86329,0.92094
1984,Berlin,No migration background,Born in Germany or immigrated <1950,0.86351,290,290,0.82393,0.90309
1984,Berlin,Direct migration background,Not born in Germany,0.85673,116,116,0.79269,0.92076
1985,Schleswig-Holstein,No migration background,Born in Germany or immigrated <1950,0.83020,313,313,0.78854,0.87186
1985,Schleswig-Holstein,Direct migration background,Not born in Germany,0.92828,39,39,0.84623,1.01032
1985,Hamburg,No migration background,Born in Germany or immigrated <1950,0.94062,209,209,0.90850,0.97273
1985,Hamburg,Direct migration background,Not born in Germany,0.88115,69,69,0.80424,0.95807
1985,Lower Saxony,No migration background,Born in Germany or immigrated <1950,0.85595,945,945,0.83355,0.87835
1985,Lower Saxony,Direct migration background,Not born in Germany,0.91602,154,154,0.87207,0.95997
1985,Bremen,No migration background,Born in Germany or immigrated <1950,0.93382,90,90,0.88217,0.98547
1985,North Rhine-Westphalia,No migration background,Born in Germany or immigrated <1950,0.84566,2118,2118,0.83027,0.86105
1985,North Rhine-Westphalia,Direct migration background,Not born in Germany,0.89501,800,800,0.87375,0.91626
1985,North Rhine-Westphalia,Indirect migration background,Born in Germany or immigrated <1950,0.11164,43,43,0.01640,0.20689
1985,Hesse,No migration background,Born in Germany or immigrated <1950,0.87253,703,703,0.84786,0.89720
1985,Hesse,Direct migration background,Not born in Germany,0.94531,420,420,0.92354,0.96708
1985,"Rhineland-Palatinate, Saarland",No migration background,Born in Germany or immigrated <1950,0.87417,634,634,0.84834,0.90001
1985,"Rhineland-Palatinate, Saarland",Direct migration background,Not born in Germany,0.90464,129,129,0.85376,0.95552
1985,Baden-Wuerttemberg,No migration background,Born in Germany or immigrated <1950,0.83292,1222,1222,0.81199,0.85384
1985,Baden-Wuerttemberg,Direct migration background,Not born in Germany,0.91674,785,785,0.89740,0.93608
1985,Baden-Wuerttemberg,Indirect migration background,Born in Germany or immigrated <1950,0.15453,34,34,0.03120,0.27786
1985,Bavaria,No migration background,Born in Germany or immigrated <1950,0.84933,1486,1486,0.83113,0.86752
1985,Bavaria,Direct migration background,Not born in Germany,0.90638,382,382,0.87713,0.93563
1985,Berlin,No migration background,Born in Germany or immigrated <1950,0.88231,259,259,0.84299,0.92163
1985,Berlin,Direct migration background,Not born in Germany,0.87894,102,102,0.81533,0.94256
1986,Schleswig-Holstein,No migration background,Born in Germany or immigrated <1950,0.83144,284,284,0.78782,0.87505
1986,Schleswig-Holstein,Direct migration background,Not born in Germany,0.95905,38,38,0.89520,1.02291
1986,Hamburg,No migration background,Born in Germany or immigrated <1950,0.94544,184,184,0.91254,0.97835
1986,Hamburg,Direct migration background,Not born in Germany,0.92863,70,70,0.86789,0.98938
1986,Lower Saxony,No migration background,Born in Germany or immigrated <1950,0.85937,926,926,0.83696,0.88177
1986,Lower Saxony,Direct migration background,Not born in Germany,0.90572,172,172,0.86192,0.94952
1986,Bremen,No migration background,Born in Germany or immigrated <1950,0.94257,85,85,0.89281,0.99233
1986,North Rhine-Westphalia,No migration background,Born in Germany or immigrated <1950,0.84328,2040,2040,0.82750,0.85906
1986,North Rhine-Westphalia,Direct migration background,Not born in Germany,0.90886,774,774,0.88858,0.92915
1986,North Rhine-Westphalia,Indirect migration background,Born in Germany or immigrated <1950,0.12237,44,44,0.02442,0.22032
1986,Hesse,No migration background,Born in Germany or immigrated <1950,0.86529,661,661,0.83924,0.89134
1986,Hesse,Direct migration background,Not born in Germany,0.93520,378,378,0.91035,0.96005
1986,"Rhineland-Palatinate, Saarland",No migration background,Born in Germany or immigrated <1950,0.87166,634,634,0.84560,0.89771
1986,"Rhineland-Palatinate, Saarland",Direct migration background,Not born in Germany,0.93546,126,126,0.89239,0.97854
1986,Baden-Wuerttemberg,No migration background,Born in Germany or immigrated <1950,0.83950,1179,1179,0.81854,0.86046
1986,Baden-Wuerttemberg,Direct migration background,Not born in Germany,0.92871,766,766,0.91047,0.94694
1986,Baden-Wuerttemberg,Indirect migration background,Born in Germany or immigrated <1950,0.15838,43,43,0.04796,0.26880
1986,Bavaria,No migration background,Born in Germany or immigrated <1950,0.84624,1369,1369,0.82713,0.86536
1986,Bavaria,Direct migration background,Not born in Germany,0.90397,373,373,0.87402,0.93391
1986,Bavaria,Indirect migration background,Born in Germany or immigrated <1950,0.22310,31,31,0.07412,0.37208
1986,Berlin,No migration background,Born in Germany or immigrated <1950,0.89013,243,243,0.85073,0.92953
1986,Berlin,Direct migration background,Not born in Germany,0.90602,106,106,0.85020,0.96183
1987,Schleswig-Holstein,No migration background,Born in Germany or immigrated <1950,0.82275,281,281,0.77802,0.86748
1987,Schleswig-Holstein,Direct migration background,Not born in Germany,0.95394,43,43,0.89054,1.01733
1987,Hamburg,No migration background,Born in Germany or immigrated <1950,0.94318,160,160,0.90719,0.97916
1987,Hamburg,Direct migration background,Not born in Germany,0.88362,63,63,0.80380,0.96344
1987,Lower Saxony,No migration background,Born in Germany or immigrated <1950,0.85655,926,926,0.83396,0.87914
1987,Lower Saxony,Direct migration background,Not born in Germany,0.93072,168,168,0.89221,0.96923
1987,Bremen,No migration background,Born in Germany or immigrated <1950,0.93868,79,79,0.88544,0.99192
1987,North Rhine-Westphalia,No migration background,Born in Germany or immigrated <1950,0.84401,2013,2013,0.82816,0.85987
1987,North Rhine-Westphalia,Direct migration background,Not born in Germany,0.93165,764,764,0.91374,0.94955
1987,North Rhine-Westphalia,Indirect migration background,Born in Germany or immigrated <1950,0.11259,50,50,0.02408,0.20109
1987,Hesse,No migration background,Born in Germany or immigrated <1950,0.86777,648,648,0.84167,0.89387
1987,Hesse,Direct migration background,Not born in Germany,0.92948,394,394,0.90417,0.95479
1987,"Rhineland-Palatinate, Saarland",No migration background,Born in Germany or immigrated <1950,0.87333,628,628,0.84729,0.89936
1987,"Rhineland-Palatinate, Saarland",Direct migration background,Not born in Germany,0.93642,130,130,0.89432,0.97853
1987,Baden-Wuerttemberg,No migration background,Born in Germany or immigrated <1950,0.83340,1158,1158,0.81192,0.85487
1987,Baden-Wuerttemberg,Direct migration background,Not born in Germany,0.94197,759,759,0.92533,0.95862
1987,Baden-Wuerttemberg,Indirect migration background,Born in Germany or immigrated <1950,0.14849,45,45,0.04342,0.25356
1987,Bavaria,No migration background,Born in Germany or immigrated <1950,0.84288,1330,1330,0.82331,0.86244
1987,Bavaria,Direct migration background,Not born in Germany,0.92929,359,359,0.90274,0.95585
