year,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Born in Germany or immigrated <1950,0.90602,8798,12171,0.90084,0.91121
1984,West,Not born in Germany,0.09398,3373,12171,0.08879,0.09916
1985,West,Born in Germany or immigrated <1950,0.90615,8120,11026,0.90071,0.91159
1985,West,Not born in Germany,0.09385,2906,11026,0.08841,0.09929
1986,West,Born in Germany or immigrated <1950,0.90079,7758,10585,0.89510,0.90649
1986,West,Not born in Germany,0.09921,2827,10585,0.09351,0.10490
1987,West,Born in Germany or immigrated <1950,0.89633,7640,10455,0.89049,0.90217
1987,West,Not born in Germany,0.10367,2815,10455,0.09783,0.10951
1988,West,Born in Germany or immigrated <1950,0.89896,7303,9972,0.89305,0.90488
1988,West,Not born in Germany,0.10104,2669,9972,0.09512,0.10695
1989,West,Born in Germany or immigrated <1950,0.89213,7076,9664,0.88595,0.89832
1989,West,Not born in Germany,0.10787,2588,9664,0.10168,0.11405
1990,West,Born in Germany or immigrated <1950,0.88517,6931,9463,0.87874,0.89159
1990,West,Not born in Germany,0.11483,2532,9463,0.10841,0.12126
1990,East,Born in Germany or immigrated <1950,0.96437,4285,4428,0.95891,0.96983
1990,East,Not born in Germany,0.03563,143,4428,0.03017,0.04109
1991,West,Born in Germany or immigrated <1950,0.87891,6965,9448,0.87233,0.88549
1991,West,Not born in Germany,0.12109,2483,9448,0.11451,0.12767
1991,East,Born in Germany or immigrated <1950,0.95926,3999,4140,0.95323,0.96528
1991,East,Not born in Germany,0.04074,141,4140,0.03472,0.04677
1992,West,Born in Germany or immigrated <1950,0.87337,6934,9341,0.86662,0.88011
1992,West,Not born in Germany,0.12663,2407,9341,0.11989,0.13338
1992,East,Born in Germany or immigrated <1950,0.95613,3831,3976,0.94977,0.96250
1992,East,Not born in Germany,0.04387,145,3976,0.03750,0.05023
1993,West,Born in Germany or immigrated <1950,0.86645,6932,9274,0.85953,0.87337
1993,West,Not born in Germany,0.13355,2342,9274,0.12663,0.14047
1993,East,Born in Germany or immigrated <1950,0.95676,3694,3829,0.95032,0.96321
1993,East,Not born in Germany,0.04324,135,3829,0.03679,0.04968
1994,West,Born in Germany or immigrated <1950,0.86322,6883,9098,0.85616,0.87028
1994,West,Not born in Germany,0.13678,2215,9098,0.12972,0.14384
1994,East,Born in Germany or immigrated <1950,0.95057,3633,3776,0.94366,0.95749
1994,East,Not born in Germany,0.04943,143,3776,0.04251,0.05634
1995,West,Born in Germany or immigrated <1950,0.83732,6955,9593,0.82994,0.84471
1995,West,Not born in Germany,0.16268,2638,9593,0.15529,0.17006
1995,East,Born in Germany or immigrated <1950,0.94990,3550,3693,0.94286,0.95693
1995,East,Not born in Germany,0.05010,143,3693,0.04307,0.05714
1996,West,Born in Germany or immigrated <1950,0.83913,6906,9364,0.83169,0.84658
1996,West,Not born in Germany,0.16087,2458,9364,0.15342,0.16831
1996,East,Born in Germany or immigrated <1950,0.94975,3544,3684,0.94269,0.95681
1996,East,Not born in Germany,0.05025,140,3684,0.04319,0.05731
1997,West,Born in Germany or immigrated <1950,0.83973,6853,9195,0.83223,0.84723
1997,West,Not born in Germany,0.16027,2342,9195,0.15277,0.16777
1997,East,Born in Germany or immigrated <1950,0.95084,3505,3635,0.94381,0.95787
1997,East,Not born in Germany,0.04916,130,3635,0.04213,0.05619
1998,West,Born in Germany or immigrated <1950,0.84384,8094,10375,0.83685,0.85083
1998,West,Not born in Germany,0.15616,2281,10375,0.14917,0.16315
1998,East,Born in Germany or immigrated <1950,0.95799,3747,3865,0.95166,0.96431
1998,East,Not born in Germany,0.04201,118,3865,0.03569,0.04834
1999,West,Born in Germany or immigrated <1950,0.84627,7796,9891,0.83916,0.85337
1999,West,Not born in Germany,0.15373,2095,9891,0.14663,0.16084
1999,East,Born in Germany or immigrated <1950,0.96100,3674,3783,0.95483,0.96717
1999,East,Not born in Germany,0.03900,109,3783,0.03283,0.04517
2000,West,Born in Germany or immigrated <1950,0.84817,15104,18260,0.84297,0.85338
2000,West,Not born in Germany,0.15183,3156,18260,0.14662,0.15703
2000,East,Born in Germany or immigrated <1950,0.96894,5703,5852,0.96450,0.97339
2000,East,Not born in Germany,0.03106,149,5852,0.02661,0.03550
2001,West,Born in Germany or immigrated <1950,0.85101,13692,16486,0.84557,0.85644
2001,West,Not born in Germany,0.14899,2794,16486,0.14356,0.15443
2001,East,Born in Germany or immigrated <1950,0.97141,5313,5435,0.96697,0.97584
2001,East,Not born in Germany,0.02859,122,5435,0.02416,0.03303
2002,West,Born in Germany or immigrated <1950,0.84798,14916,17598,0.84268,0.85329
2002,West,Not born in Germany,0.15202,2682,17598,0.14671,0.15732
2002,East,Born in Germany or immigrated <1950,0.97157,5314,5429,0.96715,0.97599
2002,East,Not born in Germany,0.02843,115,5429,0.02401,0.03285
2003,West,Born in Germany or immigrated <1950,0.84696,14307,16822,0.84152,0.85240
2003,West,Not born in Germany,0.15304,2515,16822,0.14760,0.15848
2003,East,Born in Germany or immigrated <1950,0.97535,5240,5344,0.97120,0.97951
2003,East,Not born in Germany,0.02465,104,5344,0.02049,0.02880
2004,West,Born in Germany or immigrated <1950,0.84470,13954,16391,0.83916,0.85025
2004,West,Not born in Germany,0.15530,2437,16391,0.14975,0.16084
2004,East,Born in Germany or immigrated <1950,0.97602,5122,5223,0.97187,0.98017
2004,East,Not born in Germany,0.02398,101,5223,0.01983,0.02813
2005,West,Born in Germany or immigrated <1950,0.84524,13393,15662,0.83958,0.85090
2005,West,Not born in Germany,0.15476,2269,15662,0.14910,0.16042
2005,East,Born in Germany or immigrated <1950,0.97317,4938,5037,0.96870,0.97763
2005,East,Not born in Germany,0.02683,99,5037,0.02237,0.03130
2006,West,Born in Germany or immigrated <1950,0.84593,14630,16905,0.84049,0.85137
2006,West,Not born in Germany,0.15407,2275,16905,0.14863,0.15951
2006,East,Born in Germany or immigrated <1950,0.97254,5256,5366,0.96817,0.97691
2006,East,Not born in Germany,0.02746,110,5366,0.02309,0.03183
2007,West,Born in Germany or immigrated <1950,0.84821,13718,15760,0.84260,0.85381
2007,West,Not born in Germany,0.15179,2042,15760,0.14619,0.15740
2007,East,Born in Germany or immigrated <1950,0.97510,4999,5090,0.97082,0.97938
2007,East,Not born in Germany,0.02490,91,5090,0.02062,0.02918
2008,West,Born in Germany or immigrated <1950,0.84992,12932,14763,0.84416,0.85568
2008,West,Not born in Germany,0.15008,1831,14763,0.14432,0.15584
2008,East,Born in Germany or immigrated <1950,0.97945,4729,4808,0.97543,0.98346
2008,East,Not born in Germany,0.02055,79,4808,0.01654,0.02457
2009,West,Born in Germany or immigrated <1950,0.85549,12092,13684,0.84960,0.86138
2009,West,Not born in Germany,0.14451,1592,13684,0.13862,0.15040
2009,East,Born in Germany or immigrated <1950,0.97991,4495,4570,0.97584,0.98398
2009,East,Not born in Germany,0.02009,75,4570,0.01602,0.02416
2010,West,Born in Germany or immigrated <1950,0.83970,15950,18811,0.83446,0.84494
2010,West,Not born in Germany,0.16030,2861,18811,0.15506,0.16554
2010,East,Born in Germany or immigrated <1950,0.97813,5381,5517,0.97427,0.98199
2010,East,Not born in Germany,0.02187,136,5517,0.01801,0.02573
2011,West,Born in Germany or immigrated <1950,0.84485,19313,22516,0.84012,0.84958
2011,West,Not born in Germany,0.15515,3203,22516,0.15042,0.15988
2011,East,Born in Germany or immigrated <1950,0.97744,6214,6384,0.97380,0.98108
2011,East,Not born in Germany,0.02256,170,6384,0.01892,0.02620
2012,West,Born in Germany or immigrated <1950,0.83787,18886,21922,0.83299,0.84275
2012,West,Not born in Germany,0.16213,3036,21922,0.15725,0.16701
2012,East,Born in Germany or immigrated <1950,0.97421,6067,6244,0.97027,0.97814
2012,East,Not born in Germany,0.02579,177,6244,0.02186,0.02973
2013,West,Born in Germany or immigrated <1950,0.83695,18863,24981,0.83236,0.84153
2013,West,Not born in Germany,0.16305,6118,24981,0.15847,0.16764
2013,East,Born in Germany or immigrated <1950,0.96317,5743,6202,0.95848,0.96786
2013,East,Not born in Germany,0.03683,459,6202,0.03214,0.04152
2014,West,Born in Germany or immigrated <1950,0.83641,17028,21986,0.83152,0.84130
2014,West,Not born in Germany,0.16359,4958,21986,0.15870,0.16848
2014,East,Born in Germany or immigrated <1950,0.96181,5294,5668,0.95682,0.96680
2014,East,Not born in Germany,0.03819,374,5668,0.03320,0.04318
2015,West,Born in Germany or immigrated <1950,0.83028,16185,21846,0.82530,0.83526
2015,West,Not born in Germany,0.16972,5661,21846,0.16474,0.17470
2015,East,Born in Germany or immigrated <1950,0.95514,5047,5496,0.94967,0.96062
2015,East,Not born in Germany,0.04486,449,5496,0.03938,0.05033
2016,West,Born in Germany or immigrated <1950,0.82557,14998,22299,0.82059,0.83055
2016,West,Not born in Germany,0.17443,7301,22299,0.16945,0.17941
