year,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Born in Germany or immigrated <1950,0.67029,1471,2490,0.65182,0.68876
1984,1st Quintile,Not born in Germany,0.09835,1019,2490,0.08665,0.11005
1984,2nd Quintile,Born in Germany or immigrated <1950,0.70378,1633,2399,0.68550,0.72205
1984,2nd Quintile,Not born in Germany,0.08981,766,2399,0.07837,0.10125
1984,3rd Quintile,Born in Germany or immigrated <1950,0.74083,1750,2355,0.72313,0.75853
1984,3rd Quintile,Not born in Germany,0.07679,605,2355,0.06603,0.08755
1984,4th Quintile,Born in Germany or immigrated <1950,0.79009,1896,2485,0.77408,0.80611
1984,4th Quintile,Not born in Germany,0.06461,589,2485,0.05494,0.07428
1984,5th Quintile,Born in Germany or immigrated <1950,0.83725,2029,2419,0.82253,0.85196
1984,5th Quintile,Not born in Germany,0.05911,390,2419,0.04971,0.06851
1985,1st Quintile,Born in Germany or immigrated <1950,0.67487,1348,2257,0.65554,0.69420
1985,1st Quintile,Not born in Germany,0.10029,909,2257,0.08789,0.11268
1985,2nd Quintile,Born in Germany or immigrated <1950,0.71050,1511,2159,0.69136,0.72963
1985,2nd Quintile,Not born in Germany,0.08663,648,2159,0.07476,0.09850
1985,3rd Quintile,Born in Germany or immigrated <1950,0.77128,1651,2207,0.75375,0.78880
1985,3rd Quintile,Not born in Germany,0.07171,556,2207,0.06094,0.08248
1985,4th Quintile,Born in Germany or immigrated <1950,0.79621,1733,2213,0.77943,0.81300
1985,4th Quintile,Not born in Germany,0.07613,480,2213,0.06507,0.08718
1985,5th Quintile,Born in Germany or immigrated <1950,0.84704,1872,2182,0.83193,0.86215
1985,5th Quintile,Not born in Germany,0.05804,310,2182,0.04823,0.06785
1986,1st Quintile,Born in Germany or immigrated <1950,0.67750,1268,2074,0.65738,0.69762
1986,1st Quintile,Not born in Germany,0.10402,806,2074,0.09088,0.11716
1986,2nd Quintile,Born in Germany or immigrated <1950,0.69663,1408,2093,0.67693,0.71633
1986,2nd Quintile,Not born in Germany,0.09570,685,2093,0.08309,0.10830
1986,3rd Quintile,Born in Germany or immigrated <1950,0.75040,1552,2099,0.73188,0.76892
1986,3rd Quintile,Not born in Germany,0.08123,547,2099,0.06954,0.09292
1986,4th Quintile,Born in Germany or immigrated <1950,0.80495,1718,2218,0.78846,0.82145
1986,4th Quintile,Not born in Germany,0.07226,500,2218,0.06148,0.08304
1986,5th Quintile,Born in Germany or immigrated <1950,0.84239,1808,2095,0.82678,0.85800
1986,5th Quintile,Not born in Germany,0.06219,287,2095,0.05185,0.07253
1987,1st Quintile,Born in Germany or immigrated <1950,0.67624,1236,2036,0.65591,0.69657
1987,1st Quintile,Not born in Germany,0.10795,800,2036,0.09446,0.12143
1987,2nd Quintile,Born in Germany or immigrated <1950,0.69201,1396,2064,0.67208,0.71193
1987,2nd Quintile,Not born in Germany,0.09533,668,2064,0.08265,0.10800
1987,3rd Quintile,Born in Germany or immigrated <1950,0.74070,1541,2104,0.72197,0.75943
1987,3rd Quintile,Not born in Germany,0.08639,563,2104,0.07438,0.09840
1987,4th Quintile,Born in Germany or immigrated <1950,0.79778,1672,2157,0.78083,0.81473
1987,4th Quintile,Not born in Germany,0.07851,485,2157,0.06716,0.08987
1987,5th Quintile,Born in Germany or immigrated <1950,0.83695,1794,2091,0.82111,0.85279
1987,5th Quintile,Not born in Germany,0.06421,297,2091,0.05370,0.07472
1988,1st Quintile,Born in Germany or immigrated <1950,0.66598,1193,1973,0.64517,0.68680
1988,1st Quintile,Not born in Germany,0.11168,780,1973,0.09778,0.12558
1988,2nd Quintile,Born in Germany or immigrated <1950,0.69945,1367,1984,0.67927,0.71963
1988,2nd Quintile,Not born in Germany,0.08657,617,1984,0.07419,0.09895
1988,3rd Quintile,Born in Germany or immigrated <1950,0.75217,1481,2006,0.73327,0.77107
1988,3rd Quintile,Not born in Germany,0.07978,525,2006,0.06792,0.09165
1988,4th Quintile,Born in Germany or immigrated <1950,0.78523,1573,2064,0.76750,0.80295
1988,4th Quintile,Not born in Germany,0.08532,491,2064,0.07327,0.09738
1988,5th Quintile,Born in Germany or immigrated <1950,0.85153,1687,1943,0.83572,0.86734
1988,5th Quintile,Not born in Germany,0.05881,256,1943,0.04834,0.06927
1989,1st Quintile,Born in Germany or immigrated <1950,0.66315,1144,1932,0.64207,0.68424
1989,1st Quintile,Not born in Germany,0.12002,788,1932,0.10552,0.13451
1989,2nd Quintile,Born in Germany or immigrated <1950,0.66935,1300,1965,0.64854,0.69015
1989,2nd Quintile,Not born in Germany,0.11028,665,1965,0.09643,0.12414
1989,3rd Quintile,Born in Germany or immigrated <1950,0.74140,1420,1895,0.72168,0.76112
1989,3rd Quintile,Not born in Germany,0.08515,475,1895,0.07258,0.09772
1989,4th Quintile,Born in Germany or immigrated <1950,0.81462,1572,2009,0.79762,0.83162
1989,4th Quintile,Not born in Germany,0.07600,437,2009,0.06441,0.08759
1989,5th Quintile,Born in Germany or immigrated <1950,0.84413,1639,1862,0.82765,0.86061
1989,5th Quintile,Not born in Germany,0.05991,223,1862,0.04913,0.07069
1990,1st Quintile,Born in Germany or immigrated <1950,0.64062,1098,1905,0.61907,0.66218
1990,1st Quintile,Not born in Germany,0.13332,807,1905,0.11806,0.14859
1990,2nd Quintile,Born in Germany or immigrated <1950,0.67658,1313,1889,0.65548,0.69768
1990,2nd Quintile,Not born in Germany,0.10281,576,1889,0.08911,0.11651
1990,3rd Quintile,Born in Germany or immigrated <1950,0.71274,1361,1896,0.69237,0.73311
1990,3rd Quintile,Not born in Germany,0.10663,535,1896,0.09273,0.12053
1990,4th Quintile,Born in Germany or immigrated <1950,0.82416,1563,1943,0.80723,0.84109
1990,4th Quintile,Not born in Germany,0.06920,380,1943,0.05791,0.08048
1990,5th Quintile,Born in Germany or immigrated <1950,0.83620,1593,1827,0.81922,0.85317
1990,5th Quintile,Not born in Germany,0.06681,234,1827,0.05536,0.07827
1991,1st Quintile,Born in Germany or immigrated <1950,0.64236,1095,1843,0.62047,0.66425
1991,1st Quintile,Not born in Germany,0.13084,748,1843,0.11544,0.14624
1991,2nd Quintile,Born in Germany or immigrated <1950,0.66307,1290,1893,0.64177,0.68437
1991,2nd Quintile,Not born in Germany,0.11751,603,1893,0.10300,0.13202
1991,3rd Quintile,Born in Germany or immigrated <1950,0.71216,1397,1883,0.69170,0.73262
1991,3rd Quintile,Not born in Germany,0.10000,486,1883,0.08645,0.11356
1991,4th Quintile,Born in Germany or immigrated <1950,0.78919,1540,1944,0.77105,0.80732
1991,4th Quintile,Not born in Germany,0.08447,404,1944,0.07211,0.09684
1991,5th Quintile,Born in Germany or immigrated <1950,0.83088,1605,1846,0.81377,0.84798
1991,5th Quintile,Not born in Germany,0.06972,241,1846,0.05810,0.08134
1992,1st Quintile,Born in Germany or immigrated <1950,0.69619,2250,2772,0.67907,0.71332
1992,1st Quintile,Not born in Germany,0.09243,522,2772,0.08165,0.10322
1992,2nd Quintile,Born in Germany or immigrated <1950,0.66702,2258,2870,0.64978,0.68427
1992,2nd Quintile,Not born in Germany,0.09356,612,2870,0.08290,0.10421
1992,3rd Quintile,Born in Germany or immigrated <1950,0.70731,2075,2671,0.69006,0.72457
1992,3rd Quintile,Not born in Germany,0.10338,596,2671,0.09183,0.11493
1992,4th Quintile,Born in Germany or immigrated <1950,0.76221,2061,2602,0.74585,0.77857
1992,4th Quintile,Not born in Germany,0.09846,541,2602,0.08701,0.10991
1992,5th Quintile,Born in Germany or immigrated <1950,0.83442,2120,2399,0.81955,0.84930
1992,5th Quintile,Not born in Germany,0.06501,279,2399,0.05514,0.07487
1993,1st Quintile,Born in Germany or immigrated <1950,0.67079,1997,2597,0.65271,0.68887
1993,1st Quintile,Not born in Germany,0.10979,600,2597,0.09776,0.12182
1993,2nd Quintile,Born in Germany or immigrated <1950,0.67869,2234,2834,0.66149,0.69588
1993,2nd Quintile,Not born in Germany,0.09881,600,2834,0.08783,0.10980
1993,3rd Quintile,Born in Germany or immigrated <1950,0.70579,2161,2679,0.68853,0.72305
1993,3rd Quintile,Not born in Germany,0.09705,518,2679,0.08584,0.10826
1993,4th Quintile,Born in Germany or immigrated <1950,0.76528,2158,2608,0.74901,0.78155
1993,4th Quintile,Not born in Germany,0.09087,450,2608,0.07984,0.10190
1993,5th Quintile,Born in Germany or immigrated <1950,0.82072,2074,2383,0.80531,0.83612
1993,5th Quintile,Not born in Germany,0.07918,309,2383,0.06833,0.09002
1994,1st Quintile,Born in Germany or immigrated <1950,0.64290,1843,2521,0.62419,0.66161
1994,1st Quintile,Not born in Germany,0.12822,678,2521,0.11517,0.14128
1994,2nd Quintile,Born in Germany or immigrated <1950,0.67523,2133,2667,0.65745,0.69301
1994,2nd Quintile,Not born in Germany,0.10009,534,2667,0.08870,0.11149
1994,3rd Quintile,Born in Germany or immigrated <1950,0.72753,2231,2714,0.71077,0.74428
1994,3rd Quintile,Not born in Germany,0.08918,483,2714,0.07845,0.09990
1994,4th Quintile,Born in Germany or immigrated <1950,0.76246,2169,2542,0.74592,0.77901
1994,4th Quintile,Not born in Germany,0.08686,373,2542,0.07591,0.09781
1994,5th Quintile,Born in Germany or immigrated <1950,0.81239,2135,2423,0.79684,0.82794
1994,5th Quintile,Not born in Germany,0.08666,288,2423,0.07546,0.09787
1995,1st Quintile,Born in Germany or immigrated <1950,0.57325,1684,2540,0.55401,0.59249
1995,1st Quintile,Not born in Germany,0.16978,856,2540,0.15518,0.18439
1995,2nd Quintile,Born in Germany or immigrated <1950,0.66532,2165,2886,0.64810,0.68254
1995,2nd Quintile,Not born in Germany,0.12402,721,2886,0.11199,0.13605
1995,3rd Quintile,Born in Germany or immigrated <1950,0.70054,2194,2723,0.68334,0.71775
1995,3rd Quintile,Not born in Germany,0.11336,529,2723,0.10145,0.12528
1995,4th Quintile,Born in Germany or immigrated <1950,0.77588,2278,2664,0.76005,0.79172
1995,4th Quintile,Not born in Germany,0.08720,386,2664,0.07649,0.09792
1995,5th Quintile,Born in Germany or immigrated <1950,0.81381,2181,2469,0.79846,0.82917
1995,5th Quintile,Not born in Germany,0.08433,288,2469,0.07337,0.09530
1996,1st Quintile,Born in Germany or immigrated <1950,0.58425,1724,2575,0.56521,0.60329
1996,1st Quintile,Not born in Germany,0.17355,851,2575,0.15892,0.18818
1996,2nd Quintile,Born in Germany or immigrated <1950,0.65478,1998,2628,0.63660,0.67296
1996,2nd Quintile,Not born in Germany,0.11916,630,2628,0.10677,0.13154
