year,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Born in Germany or immigrated <1950,0.90602,8798,12171,0.90084,0.91121
1984,Not born in Germany,0.09398,3373,12171,0.08879,0.09916
1985,Born in Germany or immigrated <1950,0.90615,8120,11026,0.90071,0.91159
1985,Not born in Germany,0.09385,2906,11026,0.08841,0.09929
1986,Born in Germany or immigrated <1950,0.90079,7758,10585,0.89510,0.90649
1986,Not born in Germany,0.09921,2827,10585,0.09351,0.10490
1987,Born in Germany or immigrated <1950,0.89633,7640,10455,0.89049,0.90217
1987,Not born in Germany,0.10367,2815,10455,0.09783,0.10951
1988,Born in Germany or immigrated <1950,0.89896,7303,9972,0.89305,0.90488
1988,Not born in Germany,0.10104,2669,9972,0.09512,0.10695
1989,Born in Germany or immigrated <1950,0.89213,7076,9664,0.88595,0.89832
1989,Not born in Germany,0.10787,2588,9664,0.10168,0.11405
1990,Born in Germany or immigrated <1950,0.90077,11216,13891,0.89580,0.90575
1990,Not born in Germany,0.09923,2675,13891,0.09425,0.10420
1991,Born in Germany or immigrated <1950,0.89527,10964,13588,0.89012,0.90042
1991,Not born in Germany,0.10473,2624,13588,0.09958,0.10988
1992,Born in Germany or immigrated <1950,0.89004,10765,13317,0.88473,0.89536
1992,Not born in Germany,0.10996,2552,13317,0.10464,0.11527
1993,Born in Germany or immigrated <1950,0.88450,10626,13103,0.87902,0.88997
1993,Not born in Germany,0.11550,2477,13103,0.11003,0.12098
1994,Born in Germany or immigrated <1950,0.88052,10516,12874,0.87492,0.88613
1994,Not born in Germany,0.11948,2358,12874,0.11387,0.12508
1995,Born in Germany or immigrated <1950,0.85913,10505,13286,0.85322,0.86505
1995,Not born in Germany,0.14087,2781,13286,0.13495,0.14678
1996,Born in Germany or immigrated <1950,0.86024,10450,13048,0.85429,0.86619
1996,Not born in Germany,0.13976,2598,13048,0.13381,0.14571
1997,Born in Germany or immigrated <1950,0.86092,10358,12830,0.85493,0.86691
1997,Not born in Germany,0.13908,2472,12830,0.13309,0.14507
1998,Born in Germany or immigrated <1950,0.86577,11841,14240,0.86017,0.87137
1998,Not born in Germany,0.13423,2399,14240,0.12863,0.13983
1999,Born in Germany or immigrated <1950,0.86796,11470,13674,0.86229,0.87364
1999,Not born in Germany,0.13204,2204,13674,0.12636,0.13771
2000,Born in Germany or immigrated <1950,0.87127,20807,24112,0.86704,0.87550
2000,Not born in Germany,0.12873,3305,24112,0.12450,0.13296
2001,Born in Germany or immigrated <1950,0.87381,19005,21921,0.86942,0.87821
2001,Not born in Germany,0.12619,2916,21921,0.12179,0.13058
2002,Born in Germany or immigrated <1950,0.87140,20230,23027,0.86707,0.87572
2002,Not born in Germany,0.12860,2797,23027,0.12428,0.13293
2003,Born in Germany or immigrated <1950,0.87118,19547,22166,0.86677,0.87559
2003,Not born in Germany,0.12882,2619,22166,0.12441,0.13323
2004,Born in Germany or immigrated <1950,0.86921,19076,21614,0.86472,0.87371
2004,Not born in Germany,0.13079,2538,21614,0.12629,0.13528
2005,Born in Germany or immigrated <1950,0.86913,18331,20699,0.86454,0.87373
2005,Not born in Germany,0.13087,2368,20699,0.12627,0.13546
2006,Born in Germany or immigrated <1950,0.86985,19886,22271,0.86543,0.87426
2006,Not born in Germany,0.13015,2385,22271,0.12574,0.13457
2007,Born in Germany or immigrated <1950,0.87228,18717,20850,0.86775,0.87681
2007,Not born in Germany,0.12772,2133,20850,0.12319,0.13225
2008,Born in Germany or immigrated <1950,0.87392,17661,19571,0.86927,0.87857
2008,Not born in Germany,0.12608,1910,19571,0.12143,0.13073
2009,Born in Germany or immigrated <1950,0.87873,16587,18254,0.87399,0.88347
2009,Not born in Germany,0.12127,1667,18254,0.11653,0.12601
2010,Born in Germany or immigrated <1950,0.86498,21331,24328,0.86068,0.86927
2010,Not born in Germany,0.13502,2997,24328,0.13073,0.13932
2011,Born in Germany or immigrated <1950,0.86891,25527,28900,0.86502,0.87280
2011,Not born in Germany,0.13109,3373,28900,0.12720,0.13498
2012,Born in Germany or immigrated <1950,0.86209,24953,28166,0.85806,0.86611
2012,Not born in Germany,0.13791,3213,28166,0.13389,0.14194
2013,Born in Germany or immigrated <1950,0.85960,24606,31183,0.85575,0.86346
2013,Not born in Germany,0.14040,6577,31183,0.13654,0.14425
2014,Born in Germany or immigrated <1950,0.85867,22322,27654,0.85456,0.86277
2014,Not born in Germany,0.14133,5332,27654,0.13723,0.14544
2015,Born in Germany or immigrated <1950,0.85237,21232,27342,0.84817,0.85658
2015,Not born in Germany,0.14763,6110,27342,0.14342,0.15183
2016,Born in Germany or immigrated <1950,0.84737,19747,27972,0.84315,0.85158
2016,Not born in Germany,0.15263,8225,27972,0.14842,0.15685
2017,Born in Germany or immigrated <1950,0.84561,22213,31259,0.84160,0.84961
2017,Not born in Germany,0.15439,9046,31259,0.15039,0.15840
2018,Born in Germany or immigrated <1950,0.84230,21463,29889,0.83816,0.84643
2018,Not born in Germany,0.15770,8426,29889,0.15357,0.16184
2019,Born in Germany or immigrated <1950,0.84153,22230,29830,0.83739,0.84567
2019,Not born in Germany,0.15847,7600,29830,0.15433,0.16261
2020,Born in Germany or immigrated <1950,0.85291,20468,30012,0.84890,0.85691
2020,Not born in Germany,0.14709,9544,30012,0.14309,0.15110
2021,Born in Germany or immigrated <1950,0.84533,14363,19932,0.84031,0.85035
2021,Not born in Germany,0.15467,5569,19932,0.14965,0.15969
2022,Born in Germany or immigrated <1950,0.82630,20029,28273,0.82188,0.83071
2022,Not born in Germany,0.17370,8244,28273,0.16929,0.17812
