year,sex,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.01662,156,8598,0.01392,0.01932
2009,male,No,0.81916,8442,8598,0.81103,0.82730
2009,female,Yes,0.01339,131,9420,0.01107,0.01572
2009,female,No,0.83779,9289,9420,0.83034,0.84523
2011,male,Yes,0.01928,240,9789,0.01656,0.02201
2011,male,No,0.74698,9549,9789,0.73837,0.75560
2011,female,Yes,0.01618,184,10956,0.01381,0.01854
2011,female,No,0.75140,10772,10956,0.74330,0.75949
2013,male,Yes,0.01817,227,8834,0.01539,0.02096
2013,male,No,0.68836,8607,8834,0.67870,0.69802
2013,female,Yes,0.01504,183,10032,0.01266,0.01742
2013,female,No,0.70104,9849,10032,0.69208,0.71000
2015,male,Yes,0.02068,267,11458,0.01808,0.02329
2015,male,No,0.79647,11191,11458,0.78910,0.80384
2015,female,Yes,0.01723,223,13582,0.01504,0.01942
2015,female,No,0.81583,13359,13582,0.80932,0.82235
2017,male,Yes,0.02002,287,12261,0.01754,0.02250
2017,male,No,0.80479,11974,12261,0.79777,0.81180
2017,female,Yes,0.01738,221,14288,0.01524,0.01953
2017,female,No,0.82572,14067,14288,0.81950,0.83194
2019,male,Yes,0.02271,329,12278,0.02007,0.02535
2019,male,No,0.79975,11949,12278,0.79267,0.80683
2019,female,Yes,0.01615,206,13440,0.01402,0.01828
2019,female,No,0.82415,13234,13440,0.81771,0.83058
2021,male,Yes,0.02157,216,9292,0.01862,0.02453
2021,male,No,0.79631,9076,9292,0.78812,0.80450
2021,female,Yes,0.01923,153,9865,0.01652,0.02193
2021,female,No,0.80885,9712,9865,0.80109,0.81661
