year,regtyp,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.01496,182,11682,0.01275,0.01716
2009,Urban regions,No,0.82623,11500,11682,0.81936,0.83310
2009,Rural regions,Yes,0.01503,105,6336,0.01204,0.01803
2009,Rural regions,No,0.83367,6231,6336,0.82450,0.84284
2011,Urban regions,Yes,0.01749,261,13360,0.01527,0.01971
2011,Urban regions,No,0.74860,13099,13360,0.74125,0.75596
2011,Rural regions,Yes,0.01812,163,7385,0.01508,0.02117
2011,Rural regions,No,0.75050,7222,7385,0.74063,0.76037
2013,Urban regions,Yes,0.01538,239,12047,0.01318,0.01758
2013,Urban regions,No,0.68163,11808,12047,0.67331,0.68995
2013,Rural regions,Yes,0.01905,171,6819,0.01580,0.02229
2013,Rural regions,No,0.72206,6648,6819,0.71143,0.73269
2015,Urban regions,Yes,0.01838,311,16171,0.01631,0.02045
2015,Urban regions,No,0.80154,15860,16171,0.79539,0.80769
2015,Rural regions,Yes,0.02010,179,8869,0.01718,0.02302
2015,Rural regions,No,0.81633,8690,8869,0.80827,0.82439
2017,Urban regions,Yes,0.01717,300,17147,0.01523,0.01912
2017,Urban regions,No,0.81465,16847,17147,0.80884,0.82047
2017,Rural regions,Yes,0.02202,208,9402,0.01905,0.02498
2017,Rural regions,No,0.81676,9194,9402,0.80894,0.82458
2019,Urban regions,Yes,0.01826,321,16365,0.01620,0.02031
2019,Urban regions,No,0.81135,16044,16365,0.80535,0.81734
2019,Rural regions,Yes,0.02188,202,8806,0.01882,0.02493
2019,Rural regions,No,0.81208,8604,8806,0.80392,0.82024
2021,Urban regions,Yes,0.01932,242,12996,0.01695,0.02169
2021,Urban regions,No,0.80261,12754,12996,0.79577,0.80946
2021,Rural regions,Yes,0.02267,127,6167,0.01895,0.02638
2021,Rural regions,No,0.80262,6040,6167,0.79269,0.81256
